,4ian/GDevelop,MonoGame/MonoGame,godotengine/godot
2017-05-10,0,0,1
2017-05-11,0,0,5
2017-05-12,0,0,13
2017-05-13,2,0,2
2017-05-14,1,0,7
2017-05-15,0,4,9
2017-05-16,1,2,5
2017-05-17,0,0,7
2017-05-18,2,0,14
2017-05-19,0,0,8
2017-05-20,4,0,16
2017-05-21,5,0,2
2017-05-22,0,2,17
2017-05-23,0,0,16
2017-05-24,0,0,5
2017-05-25,1,2,12
2017-05-26,3,0,11
2017-05-27,2,3,25
2017-05-28,0,7,12
2017-05-29,0,0,8
2017-05-30,0,0,6
2017-05-31,0,0,10
2017-06-01,3,1,5
2017-06-02,0,2,1
2017-06-03,4,1,4
2017-06-04,2,0,7
2017-06-05,1,0,10
2017-06-06,0,4,2
2017-06-07,0,0,17
2017-06-08,3,0,14
2017-06-09,0,0,5
2017-06-10,0,0,3
2017-06-11,6,0,7
2017-06-12,0,1,11
2017-06-13,3,5,11
2017-06-14,0,0,21
2017-06-15,0,2,13
2017-06-16,2,0,25
2017-06-17,5,2,16
2017-06-18,3,0,3
2017-06-19,2,0,21
2017-06-20,1,0,10
2017-06-21,2,0,2
2017-06-22,1,9,14
2017-06-23,0,1,11
2017-06-24,0,0,19
2017-06-25,0,0,25
2017-06-26,0,1,30
2017-06-27,2,4,13
2017-06-28,0,0,10
2017-06-29,0,0,4
2017-06-30,1,0,5
2017-07-01,1,0,12
2017-07-02,5,1,4
2017-07-03,2,1,18
2017-07-04,1,0,4
2017-07-05,0,0,18
2017-07-06,0,0,9
2017-07-07,0,0,4
2017-07-08,0,1,23
2017-07-09,3,0,4
2017-07-10,0,0,16
2017-07-11,1,0,19
2017-07-12,1,0,8
2017-07-13,0,1,12
2017-07-14,2,2,6
2017-07-15,3,1,10
2017-07-16,4,3,7
2017-07-17,2,2,19
2017-07-18,8,1,20
2017-07-19,0,2,13
2017-07-20,0,4,8
2017-07-21,0,5,7
2017-07-22,0,0,25
2017-07-23,4,2,31
2017-07-24,0,0,26
2017-07-25,1,0,36
2017-07-26,0,2,28
2017-07-27,0,0,24
2017-07-28,1,1,20
2017-07-29,1,1,10
2017-07-30,1,11,10
2017-07-31,3,1,16
2017-08-01,8,1,16
2017-08-02,3,0,17
2017-08-03,7,0,13
2017-08-04,0,1,13
2017-08-05,0,0,11
2017-08-06,0,0,11
2017-08-07,0,0,46
2017-08-08,1,0,25
2017-08-09,0,0,15
2017-08-10,1,5,11
2017-08-11,0,2,24
2017-08-12,0,4,10
2017-08-13,0,2,21
2017-08-14,4,2,11
2017-08-15,3,0,25
2017-08-16,2,2,33
2017-08-17,3,0,17
2017-08-18,0,1,23
2017-08-19,1,0,36
2017-08-20,8,0,23
2017-08-21,0,2,37
2017-08-22,0,2,42
2017-08-23,0,0,21
2017-08-24,1,2,17
2017-08-25,0,0,14
2017-08-26,18,0,30
2017-08-27,0,2,47
2017-08-28,3,4,16
2017-08-29,6,6,37
2017-08-30,0,3,37
2017-08-31,0,1,43
2017-09-01,0,1,33
2017-09-02,0,0,25
2017-09-03,0,0,21
2017-09-04,0,0,49
2017-09-05,1,0,20
2017-09-06,0,0,14
2017-09-07,4,2,20
2017-09-08,0,2,10
2017-09-09,2,2,17
2017-09-10,0,0,12
2017-09-11,3,3,33
2017-09-12,2,3,78
2017-09-13,0,0,43
2017-09-14,0,6,31
2017-09-15,0,2,17
2017-09-16,6,1,25
2017-09-17,0,0,93
2017-09-18,0,0,15
2017-09-19,4,2,32
2017-09-20,2,0,22
2017-09-21,0,4,24
2017-09-22,0,0,26
2017-09-23,2,0,20
2017-09-24,5,2,39
2017-09-25,0,4,43
2017-09-26,2,0,23
2017-09-27,1,3,13
2017-09-28,0,0,14
2017-09-29,0,3,15
2017-09-30,2,0,17
2017-10-01,9,0,21
2017-10-02,0,0,50
2017-10-03,0,1,24
2017-10-04,2,2,22
2017-10-05,0,2,13
2017-10-06,0,0,22
2017-10-07,3,0,30
2017-10-08,7,0,18
2017-10-09,2,0,47
2017-10-10,0,0,20
2017-10-11,0,0,28
2017-10-12,3,2,17
2017-10-13,0,4,28
2017-10-14,1,0,29
2017-10-15,8,8,33
2017-10-16,0,0,17
2017-10-17,1,0,18
2017-10-18,1,0,11
2017-10-19,0,0,12
2017-10-20,0,0,40
2017-10-21,3,0,37
2017-10-22,14,0,47
2017-10-23,0,0,34
2017-10-24,4,0,19
2017-10-25,0,0,13
2017-10-26,2,1,12
2017-10-27,0,0,19
2017-10-28,3,0,13
2017-10-29,0,0,26
2017-10-30,0,2,28
2017-10-31,2,0,29
2017-11-01,3,0,17
2017-11-02,6,1,8
2017-11-03,1,0,11
2017-11-04,0,0,16
2017-11-05,5,0,16
2017-11-06,2,0,15
2017-11-07,3,0,12
2017-11-08,4,1,20
2017-11-09,2,1,28
2017-11-10,0,1,36
2017-11-11,3,1,14
2017-11-12,6,0,29
2017-11-13,0,0,43
2017-11-14,2,1,17
2017-11-15,2,1,18
2017-11-16,1,1,28
2017-11-17,0,0,22
2017-11-18,2,0,14
2017-11-19,9,0,64
2017-11-20,1,0,71
2017-11-21,2,3,39
2017-11-22,1,1,22
2017-11-23,0,4,13
2017-11-24,3,2,34
2017-11-25,0,0,26
2017-11-26,1,2,44
2017-11-27,5,2,17
2017-11-28,1,2,15
2017-11-29,0,0,18
2017-11-30,0,0,14
2017-12-01,0,1,17
2017-12-02,0,0,6
2017-12-03,3,1,10
2017-12-04,2,1,23
2017-12-05,2,0,25
2017-12-06,4,0,56
2017-12-07,0,0,35
2017-12-08,0,0,22
2017-12-09,6,0,66
2017-12-10,2,0,50
2017-12-11,1,0,24
2017-12-12,2,1,13
2017-12-13,0,1,18
2017-12-14,0,1,25
2017-12-15,3,0,46
2017-12-16,10,0,46
2017-12-17,3,0,56
2017-12-18,0,0,19
2017-12-19,1,0,26
2017-12-20,3,0,24
2017-12-21,0,0,17
2017-12-22,1,0,15
2017-12-23,9,0,15
2017-12-24,13,1,14
2017-12-25,5,0,26
2017-12-26,3,0,24
2017-12-27,0,0,25
2017-12-28,0,0,11
2017-12-29,0,1,12
2017-12-30,0,0,8
2017-12-31,0,0,16
2018-01-01,0,0,18
2018-01-02,0,0,10
2018-01-03,0,0,49
2018-01-04,3,0,57
2018-01-05,1,1,30
2018-01-06,2,0,39
2018-01-07,1,0,32
2018-01-08,0,0,40
2018-01-09,19,0,21
2018-01-10,2,2,25
2018-01-11,0,0,36
2018-01-12,0,2,37
2018-01-13,2,0,34
2018-01-14,1,0,17
2018-01-15,0,1,19
