,microsoft/vscode,nteract/nteract,nteract/hydrogen
2019-12-13,54,7,5
2019-12-14,9,3,1
2019-12-15,2,6,0
2019-12-16,54,5,0
2019-12-17,54,12,0
2019-12-18,77,10,0
2019-12-19,48,8,0
2019-12-20,31,3,0
2019-12-21,2,0,0
2019-12-22,1,1,0
2019-12-23,19,8,0
2019-12-24,15,4,0
2019-12-25,2,2,0
2019-12-26,3,2,0
2019-12-27,6,1,0
2019-12-28,2,1,0
2019-12-29,2,1,0
2019-12-30,36,3,0
2019-12-31,31,4,0
2020-01-01,0,2,0
2020-01-02,19,4,0
2020-01-03,16,0,0
2020-01-04,1,1,0
2020-01-05,5,0,0
2020-01-06,58,2,0
2020-01-07,61,36,0
2020-01-08,51,2,0
2020-01-09,59,0,0
2020-01-10,77,10,0
2020-01-11,11,0,0
2020-01-12,13,1,0
2020-01-13,80,3,0
2020-01-14,67,6,0
2020-01-15,75,15,0
2020-01-16,61,8,0
2020-01-17,68,6,0
2020-01-18,8,1,0
2020-01-19,18,0,0
2020-01-20,41,5,0
2020-01-21,88,9,0
2020-01-22,61,16,0
2020-01-23,68,11,0
2020-01-24,58,8,0
2020-01-25,6,28,0
2020-01-26,20,22,0
2020-01-27,94,17,0
2020-01-28,29,12,0
2020-01-29,88,26,0
2020-01-30,49,13,0
2020-01-31,26,11,0
2020-02-01,4,5,0
2020-02-02,4,0,0
2020-02-03,41,10,0
2020-02-04,106,10,0
2020-02-05,110,2,0
2020-02-06,101,2,0
2020-02-07,108,0,0
2020-02-08,9,0,0
2020-02-09,9,0,1
2020-02-10,89,4,0
2020-02-11,83,35,10
2020-02-12,60,4,7
2020-02-13,75,8,6
2020-02-14,59,5,0
2020-02-15,13,7,0
2020-02-16,2,7,0
2020-02-17,66,4,0
2020-02-18,61,5,0
2020-02-19,88,9,0
2020-02-20,102,6,0
2020-02-21,77,6,0
2020-02-22,14,4,0
2020-02-23,31,0,0
2020-02-24,25,6,1
2020-02-25,35,2,0
2020-02-26,88,0,0
2020-02-27,71,13,0
2020-02-28,59,3,0
2020-02-29,4,2,0
2020-03-01,7,0,0
2020-03-02,72,0,0
2020-03-03,52,8,0
2020-03-04,86,0,0
2020-03-05,70,3,2
2020-03-06,62,7,8
2020-03-07,19,2,0
2020-03-08,8,2,2
2020-03-09,65,1,0
2020-03-10,55,7,0
2020-03-11,41,13,0
2020-03-12,58,11,0
2020-03-13,54,0,0
2020-03-14,9,1,0
2020-03-15,5,1,0
2020-03-16,43,2,0
2020-03-17,54,11,6
2020-03-18,58,11,3
2020-03-19,54,5,0
2020-03-20,36,4,0
2020-03-21,8,1,1
2020-03-22,3,2,0
2020-03-23,53,4,0
2020-03-24,72,6,0
2020-03-25,74,5,0
2020-03-26,89,2,0
2020-03-27,113,1,0
2020-03-28,21,0,0
2020-03-29,20,1,0
2020-03-30,84,2,0
2020-03-31,48,6,0
2020-04-01,74,0,0
2020-04-02,43,0,0
2020-04-03,57,0,0
2020-04-04,5,0,0
2020-04-05,14,2,0
2020-04-06,72,1,0
2020-04-07,76,3,1
2020-04-08,58,3,0
2020-04-09,82,1,3
2020-04-10,34,1,2
2020-04-11,21,0,0
2020-04-12,21,0,0
2020-04-13,45,0,0
2020-04-14,76,6,0
2020-04-15,62,2,0
2020-04-16,91,1,1
2020-04-17,105,0,0
2020-04-18,21,1,0
2020-04-19,36,6,0
2020-04-20,74,3,0
2020-04-21,85,6,0
2020-04-22,98,2,0
2020-04-23,70,1,0
2020-04-24,83,4,3
2020-04-25,7,2,2
