,facebook/react,angular/angular,sveltejs/svelte
2016-12-16,6,6.0,13
2016-12-17,8,0.0,14
2016-12-18,0,0.0,11
2016-12-19,3,2.0,0
2016-12-20,7,5.0,13
2016-12-21,24,9.0,4
2016-12-22,12,8.0,0
2016-12-23,0,0.0,0
2016-12-24,1,0.0,5
2016-12-25,1,0.0,0
2016-12-26,0,0.0,1
2016-12-27,3,11.0,1
2016-12-28,4,6.0,1
2016-12-29,8,2.0,0
2016-12-30,3,0.0,1
2016-12-31,0,0.0,1
2017-01-01,1,0.0,0
2017-01-02,0,0.0,0
2017-01-03,12,6.0,8
2017-01-04,11,0.0,15
2017-01-05,3,8.0,4
2017-01-06,59,4.0,0
2017-01-07,1,6.0,0
2017-01-08,2,0.0,0
2017-01-09,15,10.0,0
2017-01-10,11,6.0,0
2017-01-11,5,5.0,0
2017-01-12,21,1.0,0
2017-01-13,14,3.0,1
2017-01-14,3,0.0,0
2017-01-15,1,0.0,0
2017-01-16,1,0.0,0
2017-01-17,8,6.0,5
2017-01-18,1,9.0,6
2017-01-19,0,7.0,0
2017-01-20,3,2.0,0
2017-01-21,3,0.0,0
2017-01-22,0,0.0,0
2017-01-23,9,5.0,2
2017-01-24,7,11.0,6
2017-01-25,17,6.0,6
2017-01-26,6,8.0,0
2017-01-27,1,23.0,0
2017-01-28,2,7.0,0
2017-01-29,0,17.0,0
2017-01-30,5,3.0,0
2017-01-31,23,13.0,4
2017-02-01,2,25.0,8
2017-02-02,17,2.0,2
2017-02-03,2,15.0,2
2017-02-04,1,0.0,0
2017-02-05,0,0.0,0
2017-02-06,14,4.0,3
2017-02-07,7,11.0,0
2017-02-08,9,8.0,2
2017-02-09,10,21.0,0
2017-02-10,3,15.0,0
2017-02-11,1,7.0,0
2017-02-12,0,0.0,0
2017-02-13,17,3.0,0
2017-02-14,3,3.0,0
2017-02-15,0,11.0,4
2017-02-16,1,15.0,1
2017-02-17,1,1.0,0
2017-02-18,0,9.0,0
2017-02-19,4,0.0,0
2017-02-20,0,0.0,0
2017-02-21,5,21.0,0
2017-02-22,12,6.0,0
2017-02-23,25,19.0,0
2017-02-24,15,31.0,13
2017-02-25,2,9.0,2
2017-02-26,0,2.0,0
2017-02-27,1,5.0,20
2017-02-28,6,3.0,17
2017-03-01,24,16.0,28
2017-03-02,12,20.0,7
2017-03-03,7,0.0,2
2017-03-04,2,0.0,5
2017-03-05,0,11.0,0
2017-03-06,10,6.0,13
2017-03-07,4,27.0,33
2017-03-08,2,35.0,4
2017-03-09,2,10.0,3
2017-03-10,2,10.0,6
2017-03-11,1,1.0,0
2017-03-12,1,0.0,1
2017-03-13,8,28.0,0
2017-03-14,6,13.0,1
2017-03-15,2,39.0,7
2017-03-16,11,15.0,11
2017-03-17,2,27.0,21
2017-03-18,0,0.0,13
2017-03-19,2,6.0,18
2017-03-20,3,7.0,0
2017-03-21,2,40.0,0
2017-03-22,3,10.0,0
2017-03-23,4,18.0,4
2017-03-24,5,13.0,0
2017-03-25,1,14.0,0
2017-03-26,3,0.0,12
2017-03-27,6,10.0,5
2017-03-28,2,27.0,5
2017-03-29,4,11.0,9
2017-03-30,11,9.0,2
2017-03-31,8,16.0,1
2017-04-01,0,13.0,2
2017-04-02,0,7.0,18
2017-04-03,1,2.0,2
2017-04-04,3,5.0,22
2017-04-05,17,0.0,5
2017-04-06,2,0.0,4
2017-04-07,8,0.0,1
2017-04-08,1,0.0,22
2017-04-09,1,0.0,4
2017-04-10,2,8.0,22
2017-04-11,14,9.0,13
2017-04-12,1,26.0,10
2017-04-13,6,5.0,3
2017-04-14,4,16.0,4
2017-04-15,2,21.0,0
2017-04-16,0,8.0,4
2017-04-17,0,15.0,34
2017-04-18,14,18.0,15
2017-04-19,8,18.0,36
2017-04-20,24,24.0,7
2017-04-21,7,22.0,3
2017-04-22,2,0.0,0
2017-04-23,1,1.0,0
2017-04-24,1,13.0,0
2017-04-25,10,10.0,14
2017-04-26,11,10.0,6
2017-04-27,4,11.0,0
2017-04-28,2,22.0,1
2017-04-29,1,2.0,0
2017-04-30,0,5.0,12
2017-05-01,13,15.0,16
2017-05-02,4,8.0,2
2017-05-03,8,21.0,18
2017-05-04,1,20.0,23
2017-05-05,5,13.0,5
2017-05-06,1,4.0,20
2017-05-07,0,1.0,5
2017-05-08,0,9.0,0
2017-05-09,5,14.0,0
2017-05-10,2,14.0,1
2017-05-11,8,14.0,0
2017-05-12,2,10.0,0
2017-05-13,0,0.0,0
2017-05-14,0,3.0,0
2017-05-15,0,4.0,0
2017-05-16,1,9.0,0
2017-05-17,2,7.0,0
2017-05-18,4,20.0,0
2017-05-19,1,14.0,2
2017-05-20,2,1.0,0
2017-05-21,3,1.0,9
2017-05-22,3,8.0,4
2017-05-23,3,14.0,0
2017-05-24,3,4.0,0
2017-05-25,8,5.0,1
2017-05-26,9,20.0,1
2017-05-27,0,3.0,16
2017-05-28,0,0.0,13
2017-05-29,1,0.0,1
2017-05-30,7,9.0,0
2017-05-31,2,11.0,0
2017-06-01,4,9.0,17
2017-06-02,4,3.0,0
2017-06-03,0,2.0,15
2017-06-04,1,1.0,0
2017-06-05,9,5.0,0
2017-06-06,9,12.0,1
2017-06-07,3,11.0,0
2017-06-08,4,20.0,0
2017-06-09,13,24.0,3
2017-06-10,2,10.0,0
2017-06-11,1,2.0,13
2017-06-12,0,12.0,3
2017-06-13,5,20.0,6
2017-06-14,7,6.0,3
2017-06-15,2,9.0,6
2017-06-16,3,14.0,2
2017-06-17,0,0.0,10
2017-06-18,0,0.0,7
2017-06-19,7,8.0,0
2017-06-20,1,10.0,0
2017-06-21,3,11.0,0
2017-06-22,1,14.0,0
2017-06-23,2,45.0,17
2017-06-24,0,1.0,3
2017-06-25,1,0.0,27
2017-06-26,6,6.0,7
2017-06-27,6,5.0,2
2017-06-28,4,0.0,1
2017-06-29,2,10.0,0
2017-06-30,2,5.0,1
2017-07-01,8,4.0,9
2017-07-02,2,0.0,2
2017-07-03,0,4.0,6
2017-07-04,2,0.0,1
2017-07-05,1,9.0,3
2017-07-06,1,11.0,3
2017-07-07,1,29.0,6
2017-07-08,0,4.0,10
2017-07-09,2,0.0,0
2017-07-10,1,7.0,5
2017-07-11,4,40.0,8
2017-07-12,5,0.0,0
2017-07-13,9,21.0,0
2017-07-14,2,12.0,0
2017-07-15,0,3.0,0
2017-07-16,0,0.0,0
2017-07-17,1,11.0,0
2017-07-18,3,26.0,0
2017-07-19,7,6.0,0
