,statsmodels/statsmodels,mlpack/mlpack,scikit-learn/scikit-learn
2018-02-05,0,21.0,2
2018-02-06,0,5.899999999999999,1
2018-02-07,0,9.254999999999999,3
2018-02-08,0,10.9415,5
2018-02-09,0,9.5430875,2
2018-02-10,1,2.3977482500000002,3
2018-02-11,0,2.956876237500001,1
2018-02-12,0,8.14883952875,5
2018-02-13,2,2.7405659691718767,4
2018-02-14,0,9.064727271370314,5
2018-02-15,0,145.73149928529062,0
2018-02-16,0,-5.140418614598449,2
2018-02-17,0,-8.683263382904691,3
2018-02-18,0,1.6434123482406235,5
2018-02-19,2,1.4845828972421993,2
2018-02-20,0,9.13450548841407,3
2018-02-21,0,3.851377150812506,0
2018-02-22,0,2.3654676116484423,4
2018-02-23,0,3.802179387042192,1
2018-02-24,0,16.99627129400938,2
2018-02-25,2,3.8901669233546876,2
2018-02-26,5,38.642944468890626,7
2018-02-27,0,12.407946002904685,5
2018-02-28,0,9.28692992058125,6
2018-03-01,0,25.810099647907812,3
2018-03-02,0,13.43152342786875,1
2018-03-03,13,27.886908931175,1
2018-03-04,3,0.5431668856859382,1
2018-03-05,40,-2.498722513078121,3
2018-03-06,2,9.833362491107817,2
2018-03-07,0,2.355664539245318,6
2018-03-08,0,1.213484897134379,4
2018-03-09,0,25.75559778277813,1
2018-03-10,0,0.6561644128750004,1
2018-03-11,0,11.213194823551564,0
2018-03-12,1,1.8602156202046878,1
2018-03-13,1,2.7833642799671896,2
2018-03-14,0,10.061022498225002,2
2018-03-15,0,15.483135153939063,2
2018-03-16,0,26.723453075221876,2
2018-03-17,0,-0.877141080831251,1
2018-03-18,0,-1.0956649960843743,2
2018-03-19,6,3.902444811351564,0
2018-03-20,8,2.9071853681687534,0
2018-03-21,7,4.14697109224219,0
2018-03-22,20,6.146847073632815,5
2018-03-23,5,3.9728166977875015,0
2018-03-24,17,5.160059453884376,2
2018-03-25,2,0.2060429543593758,1
2018-03-26,1,10.866895223825,1
2018-03-27,0,1.0489428605843751,2
2018-03-28,0,5.591569042206251,1
2018-03-29,2,6.401731964226563,1
2018-03-30,3,22.233680615659377,1
2018-03-31,0,10.556530902868749,1
2018-04-01,0,-0.19849059882500075,1
2018-04-02,0,3.857343763717188,2
2018-04-03,0,19.984133362490628,4
2018-04-04,0,4.455979856771876,2
2018-04-05,4,5.254565381282813,1
2018-04-06,10,5.454819393123438,2
2018-04-07,1,3.569096382337502,0
2018-04-08,0,-1.1556505068312481,0
2018-04-09,0,3.605350672950002,2
2018-04-10,2,6.557802146798439,1
2018-04-11,1,2.2386493284406264,2
2018-04-12,3,-0.47522992991562396,2
2018-04-13,12,7.061111780587501,3
2018-04-14,5,-0.4283452644124992,2
2018-04-15,1,4.098411542868751,0
2018-04-16,2,11.921144490518751,5
2018-04-17,12,10.067445212385937,2
2018-04-18,12,-0.25317406430468825,1
2018-04-19,23,2.5482168814,1
2018-04-20,4,3.673728444340626,1
2018-04-21,2,3.6436831345890637,3
2018-04-22,11,-0.3770597770531241,2
2018-04-23,3,6.059213881135939,5
2018-04-24,7,2.618889788117188,0
2018-04-25,7,4.773763468345313,7
2018-04-26,8,3.6891460460375,4
2018-04-27,9,2.7788962491156255,0
2018-04-28,2,-0.14153471897187453,0
2018-04-29,5,-0.8040056115078117,0
2018-04-30,4,7.459120500554689,0
2018-05-01,3,0.8095423463546878,0
2018-05-02,3,2.1254330401859383,3
2018-05-03,2,3.1667614305125,3
2018-05-04,0,7.08692852220625,5
2018-05-05,4,3.6728797890078124,0
2018-05-06,0,-1.216680823159375,3
2018-05-07,4,0.2925273024640629,2
2018-05-08,4,1.389513065875001,1
2018-05-09,2,1.3504969149312511,2
2018-05-10,0,3.4057427208812507,0
2018-05-11,2,8.214308057829687,1
2018-05-12,1,1.6399478544812496,1
2018-05-13,7,-0.020752897865625064,0
2018-05-14,9,4.314204516070313,0
2018-05-15,2,4.060990769484375,2
2018-05-16,4,5.937090828932813,1
2018-05-17,2,12.664720021396874,0
2018-05-18,32,4.828670489115624,3
2018-05-19,40,6.120450421465625,0
2018-05-20,2,5.079580379379688,1
2018-05-21,2,5.182364335626564,0
2018-05-22,0,0.18288501363593834,2
2018-05-23,1,12.655622873492188,4
2018-05-24,2,-1.319489788789062,4
2018-05-25,3,-0.42015507372031125,3
2018-05-26,9,0.9364119658875012,1
