,middleman/middleman,getpelican/pelican,jekyll/jekyll
2010-09-14,0.0,0.0,0
2010-09-15,0.0,9.0,0
2010-09-16,0.0,2.0,0
2010-09-17,0.0,0.0,0
2010-09-18,0.0,0.0,0
2010-09-19,0.0,2.0,0
2010-09-20,0.0,0.0,0
2010-09-21,0.0,0.0,0
2010-09-22,2.0,0.0,0
2010-09-23,-0.7999999999999998,0.0,0
2010-09-24,0.76,1.0,0
2010-09-25,0.4720000000000001,0.0,0
2010-09-26,-0.6032,0.0,0
2010-09-27,-0.24390400000000004,3.0,0
2010-09-28,-0.15152640000000006,6.0,0
2010-09-29,-0.10829312000000005,0.0,0
2010-09-30,-0.08322662400000001,0.0,0
2010-10-01,-0.06693007359999999,0.0,0
2010-10-02,-0.03352627199999999,0.0,0
2010-10-03,-0.02795386879999999,0.0,0
2010-10-04,-0.012798156799999997,0.0,0
2010-10-05,0.0,0.0,0
2010-10-06,0.0,0.0,0
2010-10-07,0.0,0.0,0
2010-10-08,0.0,0.0,0
2010-10-09,0.0,0.0,0
2010-10-10,0.0,0.0,0
2010-10-11,0.0,0.0,0
2010-10-12,0.0,0.0,0
2010-10-13,0.0,3.0,0
2010-10-14,0.0,5.0,0
2010-10-15,0.0,1.0,0
2010-10-16,1.0,5.0,0
2010-10-17,-0.3999999999999999,4.0,0
2010-10-18,-0.12,0.0,0
2010-10-19,-0.064,0.0,0
2010-10-20,0.9583999999999999,0.0,0
2010-10-21,-0.42995199999999995,0.0,0
2010-10-22,-0.1429632,0.0,0
2010-10-23,-0.08237056,0.0,0
2010-10-24,-0.05675571200000004,0.0,0
2010-10-25,-0.042750156800000015,0.0,0
2010-10-26,-0.022963200000000007,0.0,0
2010-10-27,-0.018370559999999994,0.0,0
2010-10-28,-0.015155711999999993,0.0,0
2010-10-29,-0.012798156799999997,8.0,0
2010-10-30,0.0,18.0,0
2010-10-31,0.0,3.0,0
2010-11-01,3.0,0.0,0
2010-11-02,-1.1999999999999997,0.0,0
2010-11-03,-0.36,1.0,0
2010-11-04,-0.192,0.0,0
2010-11-05,-0.12480000000000013,2.0,0
2010-11-06,-0.08985600000000005,10.0,0
2010-11-07,-0.06888960000000002,7.0,0
2010-11-08,-0.05511167999999998,5.0,0
2010-11-09,-0.04546713599999998,0.0,0
2010-11-10,-0.03839447039999999,0.0,0
2010-11-11,0.0,4.0,0
2010-11-12,0.0,6.0,1
2010-11-13,0.0,0.0,0
2010-11-14,0.0,1.0,0
2010-11-15,0.0,7.0,0
2010-11-16,0.0,3.0,0
2010-11-17,0.0,2.0,8
2010-11-18,0.0,2.0,3
2010-11-19,0.0,1.0,2
2010-11-20,0.0,8.0,1
2010-11-21,0.0,1.0,3
2010-11-22,0.0,0.0,0
2010-11-23,0.0,0.0,3
2010-11-24,0.0,2.0,0
2010-11-25,0.0,0.0,0
2010-11-26,0.0,1.0,0
2010-11-27,0.0,1.0,0
2010-11-28,0.0,0.0,0
2010-11-29,0.0,0.0,0
2010-11-30,0.0,0.0,1
2010-12-01,0.0,4.0,1
2010-12-02,0.0,1.0,0
2010-12-03,0.0,1.0,0
2010-12-04,0.0,0.0,0
2010-12-05,0.0,3.0,0
2010-12-06,0.0,2.0,0
2010-12-07,0.0,0.0,0
2010-12-08,0.0,0.0,0
2010-12-09,0.0,0.0,0
2010-12-10,0.0,2.0,0
2010-12-11,0.0,0.0,2
2010-12-12,0.0,2.0,0
2010-12-13,0.0,3.0,0
2010-12-14,0.0,4.0,5
2010-12-15,0.0,9.0,2
2010-12-16,0.0,7.0,0
2010-12-17,0.0,5.0,2
2010-12-18,0.0,11.0,0
2010-12-19,0.0,4.0,2
2010-12-20,0.0,5.0,0
2010-12-21,0.0,2.0,0
2010-12-22,0.0,3.0,0
2010-12-23,0.0,0.0,0
2010-12-24,2.0,0.0,0
2010-12-25,-0.7999999999999998,2.0,0
2010-12-26,-0.24,1.0,0
2010-12-27,-0.128,1.0,0
2010-12-28,-0.0832000000000001,0.0,0
2010-12-29,-0.059904000000000034,4.0,0
2010-12-30,-0.04592640000000001,0.0,0
2010-12-31,-0.03674111999999999,0.0,1
2011-01-01,1.969688576,2.0,0
2011-01-02,0.17440368640000015,0.0,0
2011-01-03,-0.6399999999999999,0.0,0
2011-01-04,-0.248,0.0,0
2011-01-05,1.8527999999999998,9.0,0
2011-01-06,1.0984960000000001,2.0,0
2011-01-07,-1.1158783999999997,0.0,0
2011-01-08,-0.42770431999999997,0.0,0
2011-01-09,-0.25988198400000007,0.0,0
2011-01-10,0.8161439743999999,0.0,0
2011-01-11,-0.5186285568,1.0,0
2011-01-12,-0.20266752,6.0,0
2011-01-13,-0.131052544,0.0,1
2011-01-14,-0.09750773760000003,0.0,0
2011-01-15,-0.05554831360000001,0.0,0
2011-01-16,-0.022963200000000007,0.0,0
2011-01-17,-0.018370559999999994,0.0,0
2011-01-18,0.984844288,0.0,0
2011-01-19,-0.4127981567999999,2.0,0
2011-01-20,-0.12,1.0,0
