,gohugoio/hugo,gatsbyjs/gatsby,vercel/next.js
2016-11-05,3,0.0,7
2016-11-06,4,0.0,6
2016-11-07,1,3.0,1
2016-11-08,0,-1.5,0
2016-11-09,0,2.625,1
2016-11-10,0,-0.6875,0
2016-11-11,0,0.0078125,0
2016-11-12,0,1.10546875,0
2016-11-13,1,1.6337890625,1
2016-11-14,0,2.01806640625,4
2016-11-15,1,-1.667205810546875,0
2016-11-16,2,-0.3945465087890625,3
2016-11-17,0,5.877227783203125,3
2016-11-18,2,0.9712677001953125,2
2016-11-19,1,-3.7036895751953125,0
2016-11-20,2,-1.2963714599609375,0
2016-11-21,1,3.24066162109375,2
2016-11-22,52,-2.5084381103515625,5
2016-11-23,27,-0.853118896484375,3
2016-11-24,1,-0.4893341064453125,1
2016-11-25,0,0.6606292724609375,0
2016-11-26,0,-0.7512054443359375,0
2016-11-27,4,-0.2615814208984375,0
2016-11-28,1,6.873046875,3
2016-11-29,3,-3.5914306640625,0
2016-11-30,3,1.05401611328125,0
2016-12-01,1,7.5419921875,9
2016-12-02,1,-5.03955078125,16
2016-12-03,3,-1.454498291015625,4
2016-12-04,3,-0.7950897216796875,0
2016-12-05,0,-0.51904296875,3
2016-12-06,2,6.621246337890625,6
2016-12-07,0,-2.7931671142578125,0
2016-12-08,0,-0.54620361328125,1
2016-12-09,1,8.7978515625,6
2016-12-10,2,-1.5591278076171875,0
2016-12-11,1,-3.54296875,2
2016-12-12,1,0.6650390625,1
2016-12-13,0,-1.80126953125,1
2016-12-14,1,0.192047119140625,0
2016-12-15,11,-1.0450286865234375,5
2016-12-16,3,0.5297088623046875,7
2016-12-17,0,-0.8234710693359375,12
2016-12-18,0,-0.366546630859375,2
2016-12-19,5,7.83428955078125,16
2016-12-20,1,-4.08575439453125,30
2016-12-21,2,-1.065277099609375,10
2016-12-22,5,-0.533599853515625,20
2016-12-23,7,-0.3395233154296875,7
2016-12-24,0,-0.231842041015625,9
2016-12-25,4,-0.1749725341796875,2
2016-12-26,4,-0.12890625,9
2016-12-27,3,9.895263671875,8
2016-12-28,10,-2.0872802734375,9
2016-12-29,3,-1.75,6
2016-12-30,0,-0.5,6
2016-12-31,4,-1.203125,11
2017-01-01,5,-0.578125,9
2017-01-02,11,7.611328125,6
2017-01-03,5,4.7109375,5
2017-01-04,4,-5.72711181640625,0
2017-01-05,6,1.19000244140625,12
2017-01-06,6,-0.4369354248046875,6
2017-01-07,2,-1.9693145751953125,4
2017-01-08,1,-0.8585662841796875,5
2017-01-09,0,5.4443359375,4
2017-01-10,1,-3.409912109375,5
2017-01-11,3,5.928680419921875,2
2017-01-12,0,5.9374542236328125,10
2017-01-13,0,0.819122314453125,3
2017-01-14,1,-5.4104766845703125,1
2017-01-15,2,-1.918304443359375,5
2017-01-16,0,-1.1162109375,15
2017-01-17,0,0.23101806640625,4
2017-01-18,4,1.925262451171875,2
2017-01-19,0,3.978668212890625,3
2017-01-20,1,0.2424163818359375,12
2017-01-21,0,-3.17730712890625,4
