,NativeScript/NativeScript,flutter/flutter,facebook/react-native
2019-02-28,3,10,21.0
2019-03-01,5,20,8.899999999999999
2019-03-02,0,3,6.954999999999998
2019-03-03,0,1,17.0065
2019-03-04,2,8,16.947587499999997
2019-03-05,2,0,17.32276075
2019-03-06,0,16,2.8188509874999994
2019-03-07,0,9,1.8696119912500013
2019-03-08,1,14,3.425608405421878
2019-03-09,0,15,-2.412296350176559
2019-03-10,0,6,-1.5481119237859344
2019-03-11,0,9,1.8572064423796903
2019-03-12,3,14,7.81939508275469
2019-03-13,1,8,22.355921939703126
2019-03-14,5,10,6.731705349385936
2019-03-15,6,24,20.428316789670312
2019-03-16,0,6,1.232283109226561
2019-03-17,0,2,-1.5508299027156238
2019-03-18,2,11,17.27433379875
2019-03-19,0,13,25.831658494703127
2019-03-20,6,15,10.233322040251561
2019-03-21,7,21,10.833361314801563
2019-03-22,6,7,7.971575082731251
2019-03-23,0,4,3.4193790315312524
2019-03-24,0,2,0.05298964284531538
2019-03-25,4,6,8.84727008305469
2019-03-26,3,12,12.36645457141719
2019-03-27,0,17,6.780566593114064
2019-03-28,4,11,2.1252542374734382
2019-03-29,5,17,10.852096324226563
2019-03-30,0,8,0.34483379452343854
2019-03-31,0,3,0.17829610220937675
2019-04-01,0,6,16.623062246951566
2019-04-02,2,14,7.2468301804703135
2019-04-03,6,11,15.448835651870313
2019-04-04,0,19,15.699084188054687
2019-04-05,1,17,2.2853073208124997
2019-04-06,0,3,-0.6907139456328117
2019-04-07,0,2,1.0584138604859397
2019-04-08,0,9,8.38067115886094
2019-04-09,0,13,4.8409262231468775
2019-04-10,3,16,20.929847254196876
2019-04-11,0,17,5.4598085366093745
2019-04-12,3,2,4.18466125455625
2019-04-13,0,2,-2.3449665062765623
2019-04-14,0,0,0.6060142950031275
2019-04-15,3,12,16.795278555881254
2019-04-16,0,16,8.319049900985938
2019-04-17,1,13,9.395602907281251
2019-04-18,0,18,4.279834479139062
2019-04-19,0,13,-0.3146027992171865
2019-04-20,0,1,2.456719111067189
2019-04-21,0,0,-0.4326298352515605
2019-04-22,0,19,2.961356203968752
2019-04-23,1,15,16.817855601896877
2019-04-24,0,17,9.39492726868125
2019-04-25,0,29,13.479683467167186
2019-04-26,0,17,8.005633385959374
2019-04-27,0,6,0.26614260871718765
2019-04-28,0,1,-1.9078642033843738
2019-04-29,0,21,14.703044266840628
2019-04-30,0,17,25.425041712901564
2019-05-01,2,23,6.691186650574999
2019-05-02,0,22,1.5473693706656246
2019-05-03,6,17,20.46100406506875
2019-05-04,0,9,-1.9478321724968737
2019-05-05,0,0,-2.3877410169421855
2019-05-06,3,16,4.40267120239219
2019-05-07,11,8,21.178680109250003
2019-05-08,9,9,16.427854623737502
2019-05-09,10,13,21.063152417071876
2019-05-10,6,20,6.398817018276561
2019-05-11,1,2,-2.651190854539062
2019-05-12,0,3,-1.3827175593578098
2019-05-13,2,13,13.31651632992813
2019-05-14,2,19,8.220488608156252
2019-05-15,4,14,12.177164697925
2019-05-16,1,13,17.734056337610937
2019-05-17,2,10,1.043068202640625
2019-05-18,0,3,1.3189827846796884
2019-05-19,0,2,-2.021201324660936
2019-05-20,1,20,25.67268150319844
2019-05-21,6,22,9.272851355979688
2019-05-22,9,8,23.64772431253906
2019-05-23,1,8,6.346343243120311
2019-05-24,0,9,23.321578607382815
2019-05-25,0,3,-2.936857003332813
2019-05-26,0,2,-1.9315471022421846
2019-05-27,0,2,-1.1261711213937469
2019-05-28,0,13,10.30489140982813
2019-05-29,0,15,5.454553726076565
2019-05-30,0,31,17.73366946936094
2019-05-31,3,14,25.60334646460781
2019-06-01,0,8,1.3218520156828113
2019-06-02,0,1,-0.10386235325156257
2019-06-03,5,25,8.865912135662501
2019-06-04,2,23,12.416064879448442
2019-06-05,3,14,6.852930821276564
2019-06-06,4,23,15.071906977943751
2019-06-07,2,19,16.38761590315
2019-06-08,0,13,-3.1337280931718743
2019-06-09,0,6,0.5595839221140642
2019-06-10,1,19,13.153348599487503
2019-06-11,0,18,12.204674930470315
2019-06-12,1,15,10.812737239370314
2019-06-13,1,16,14.734803049304688
2019-06-14,0,16,4.292958152859375
2019-06-15,0,7,0.04618591029062635
2019-06-16,0,4,-2.112282889984373
2019-06-17,2,5,4.638501077167191
2019-06-18,2,16,10.339703628407815
2019-06-19,0,23,9.677343044226564
2019-06-20,1,19,9.475727947242188
2019-06-21,5,11,28.375975822715624
2019-06-22,0,7,-2.5876574385218767
2019-06-23,0,4,0.44678116566562576
2019-06-24,3,9,22.03544611489219
2019-06-25,8,13,3.225583116906252
2019-06-26,8,14,21.137274373596878
2019-06-27,6,17,13.75002627088125
2019-06-28,9,26,8.790415154631251
2019-06-29,0,0,-0.7845168639156244
2019-06-30,0,0,-2.6353876933953093
2019-07-01,1,8,14.331887558381254
2019-07-02,0,5,14.10740575626719
2019-07-03,5,13,1.5367791630281258
2019-07-04,2,2,14.571425574873437
2019-07-05,0,1,0.7023938161062508
2019-07-06,0,0,-1.225479003599998
2019-07-07,0,0,-0.49027947201406086
2019-07-08,2,17,14.88270383989219
2019-07-09,5,16,4.562369343
2019-07-10,11,13,11.890104844409375
2019-07-11,1,15,15.360357805560938
2019-07-12,0,16,5.761590868554688
2019-07-13,0,5,5.283185046076563
2019-07-14,0,0,-2.3849418694093742
2019-07-15,1,7,12.49834010694844
2019-07-16,13,13,3.472520090464064
2019-07-17,11,27,26.866061445815628
