,jashkenas/underscore,ramda/ramda,lodash/lodash
2013-07-21,0,0.0,3
2013-07-22,0,0.0,6
2013-07-23,2,0.0,2
2013-07-24,12,0.0,1
2013-07-25,7,0.0,4
2013-07-26,0,0.0,2
2013-07-27,3,0.0,4
2013-07-28,6,0.0,4
2013-07-29,0,0.0,2
2013-07-30,0,0.0,2
2013-07-31,2,0.0,3
2013-08-01,1,0.0,4
2013-08-02,1,0.0,3
2013-08-03,0,0.0,6
2013-08-04,0,0.0,8
2013-08-05,0,0.0,0
2013-08-06,0,0.0,5
2013-08-07,3,0.0,3
2013-08-08,0,0.0,2
2013-08-09,2,0.0,9
2013-08-10,0,0.0,9
2013-08-11,2,1.0,1
2013-08-12,1,-0.6000000000000001,1
2013-08-13,0,4.88,0
2013-08-14,0,-0.056000000000000494,2
2013-08-15,3,-2.4336,3
2013-08-16,0,-0.6628479999999999,3
2013-08-17,0,-0.3527551999999998,2
2013-08-18,0,-0.22796543999999994,1
2013-08-19,2,0.8373396479999999,1
2013-08-20,0,2.2766051328,2
2013-08-21,0,-1.0104780800000004,1
2013-08-22,2,0.910468608,2
2013-08-23,0,-1.5471062016000001,1
2013-08-24,0,-0.4196479999999999,1
2013-08-25,0,-0.23089919999999997,6
2013-08-26,0,-0.15323904,6
2013-08-27,0,0.8884321279999999,5
2013-08-28,0,1.3140410368,4
2013-08-29,0,-0.3816974336000003,3
2013-08-30,0,-0.9251827712,13
2013-08-31,0,-0.2826041344,2
2013-09-01,0,-0.14604799999999996,1
2013-09-02,0,0.9039488,4
2013-09-03,0,4.33071616,0
2013-09-04,4,0.8270535679999993,6
2013-09-05,0,-3.0981082112000005,2
2013-09-06,0,1.1790555136,2
2013-09-07,10,-1.6233500672,3
2013-09-08,0,0.49460480000000007,4
2013-09-09,2,-0.9000934400000001,4
2013-09-10,0,-0.329188352,1
2013-09-11,0,-0.2136015872000001,2
2013-09-12,0,-0.15098214400000007,1
2013-09-13,0,-0.08270714880000006,5
2013-09-14,0,-0.03743590400000003,6
2013-09-15,0,-0.029929574400000027,0
2013-09-16,0,-0.01034035200000001,5
2013-09-17,0,-0.00850206720000001,6
2013-09-18,0,0.0,6
2013-09-19,0,0.0,6
2013-09-20,1,0.0,5
2013-09-21,0,0.0,3
2013-09-22,0,0.0,1
2013-09-23,1,0.0,3
2013-09-24,2,0.0,1
2013-09-25,0,0.0,3
2013-09-26,0,0.0,4
2013-09-27,0,0.0,4
2013-09-28,0,0.0,2
2013-09-29,0,0.0,7
2013-09-30,0,0.0,3
2013-10-01,0,0.0,4
2013-10-02,0,0.0,2
2013-10-03,0,0.0,5
2013-10-04,0,0.0,1
2013-10-05,0,0.0,3
2013-10-06,0,1.0,1
2013-10-07,0,-0.6000000000000001,1
2013-10-08,0,0.88,4
2013-10-09,0,-0.6560000000000001,1
