,stylelint/stylelint,kristerkari/stylelint-scss,sds/scss-lint
2016-03-15,21.0,0,0
2016-03-16,0.8000000000000007,0,0
2016-03-17,0.3199999999999985,0,0
2016-03-18,11.991999999999999,0,2
2016-03-19,3.0144,0,0
2016-03-20,-3.3682560000000015,0,0
2016-03-21,5.110515199999998,0,0
2016-03-22,1.2593868799999997,0,0
2016-03-23,2.5992340480000005,1,0
2016-03-24,2.4946697216000002,0,0
2016-03-25,8.687314432,2,4
2016-03-26,-3.510475059199999,0,0
2016-03-27,5.1915695104,0,0
2016-03-28,3.4888323072,0,0
2016-03-29,4.472155136,1,2
2016-03-30,3.1714900991999997,1,0
2016-03-31,6.2856336384,2,0
2016-04-01,4.683168768,0,0
2016-04-02,-2.360029184,0,0
2016-04-03,3.969425305599999,0,0
2016-04-04,6.535108096,0,0
2016-04-05,5.7587044352,0,0
2016-04-06,1.4931623936,0,4
2016-04-07,11.1314813952,0,0
2016-04-08,-0.4477640703999999,1,0
2016-04-09,9.9409506304,0,0
2016-04-10,0.6106139647999997,0,0
2016-04-11,0.7349246975999995,0,0
2016-04-12,10.2253060096,0,0
2016-04-13,14.6887056384,0,0
2016-04-14,2.9651800064000007,0,0
2016-04-15,3.1968639999999997,0,3
2016-04-16,0.6747428863999989,0,1
2016-04-17,-3.4456344576000006,0,0
2016-04-18,0.8610946047999994,0,0
2016-04-19,5.93328384,0,0
2016-04-20,7.0453274624,1,0
2016-04-21,24.3370810368,0,0
2016-04-22,5.511235174400001,0,0
2016-04-23,0.02263255039999912,0,0
2016-04-24,5.642732236799999,0,0
2016-04-25,38.423282688,0,0
2016-04-26,-6.222672895999999,0,1
2016-04-27,-3.3473513472000036,0,3
2016-04-28,-0.5363704832000016,6,0
2016-04-29,-2.8503295999999994,1,0
2016-04-30,0.22792161280000034,0,0
2016-05-01,-2.3966134272,0,0
2016-05-02,15.4523058176,0,0
2016-05-03,-0.5690291199999971,7,0
2016-05-04,2.9730480128000005,2,0
2016-05-05,3.3937464319999995,3,0
2016-05-06,19.3836279808,0,0
2016-05-07,7.148442726400001,0,0
2016-05-08,13.645333913599998,0,0
2016-05-09,-6.657693491200001,0,0
2016-05-10,7.528713215999998,3,0
2016-05-11,11.3957450752,2,0
2016-05-12,2.2624344063999997,8,0
2016-05-13,9.3077113856,0,0
2016-05-14,-4.5771403263999995,2,0
2016-05-15,-1.3054696448000005,1,0
2016-05-16,24.5104391168,0,5
2016-05-17,-5.032660377599999,0,0
2016-05-18,15.360373247999998,0,0
2016-05-19,21.8624807936,4,0
2016-05-20,1.2537138176000013,3,0
2016-05-21,3.7323609087999987,1,0
2016-05-22,10.3921383424,0,0
2016-05-23,-6.445107814400001,4,3
2016-05-24,-2.6464155648000003,4,0
2016-05-25,-1.8184219647999997,4,0
2016-05-26,-2.0495013887999995,0,0
2016-05-27,-1.549904793599998,0,0
2016-05-28,8.929253068800001,0,0
2016-05-29,-0.5985341439999985,0,0
2016-05-30,-0.6008616959999993,1,0
2016-05-31,-1.0768651264,15,0
2016-06-01,0.4566855679999997,1,0
2016-06-02,0.40258293759999986,3,0
2016-06-03,-0.5814293504000001,0,0
2016-06-04,0.6363391999999998,1,0
2016-06-05,1.5202406400000006,1,0
2016-06-06,1.2904683520000004,2,0
2016-06-07,-0.6932912128,0,0
2016-06-08,0.6605751295999998,0,0
2016-06-09,0.579949568,0,7
2016-06-10,0.5544421375999999,0,0
2016-06-11,35.5506743296,1,0
2016-06-12,8.549301248000003,0,0
2016-06-13,18.737765785599997,1,0
2016-06-14,-0.1412789248000017,3,0
2016-06-15,-5.665430220800003,11,0
2016-06-16,-2.348639232000002,0,0
2016-06-17,-1.6117965824000011,0,1
2016-06-18,4.849720217599999,0,0
2016-06-19,-1.0442625023999978,0,0
2016-06-20,5.692701593600002,0,0
2016-06-21,0.15024783360000216,0,0
2016-06-22,4.9559997440000005,0,0
2016-06-23,7.5929376768,1,0
2016-06-24,31.801811968,4,0
2016-06-25,-0.6272897023999988,0,0
2016-06-26,-5.502275174400002,0,1
2016-06-27,10.852486963199999,0,2
2016-06-28,1.0508178432000008,0,1
2016-06-29,3.051747020799999,0,0
2016-06-30,9.221314764799999,0,0
2016-07-01,4.094571827199999,0,2
2016-07-02,4.5012188160000015,0,0
