,d3/d3,highcharts/highcharts,plotly/plotly.js
2016-07-19,0,0,17
2016-07-20,0,0,8
2016-07-21,0,5,21
2016-07-22,0,16,9
2016-07-23,1,0,0
2016-07-24,0,0,0
2016-07-25,0,14,10
2016-07-26,1,13,3
2016-07-27,0,6,2
2016-07-28,0,0,11
2016-07-29,3,0,10
2016-07-30,0,0,1
2016-07-31,0,0,0
2016-08-01,0,0,15
2016-08-02,0,8,15
2016-08-03,2,3,15
2016-08-04,0,7,41
2016-08-05,0,4,12
2016-08-06,0,3,0
2016-08-07,5,2,0
2016-08-08,0,5,7
2016-08-09,0,1,13
2016-08-10,0,0,14
2016-08-11,1,9,22
2016-08-12,0,6,15
2016-08-13,0,0,9
2016-08-14,0,0,0
2016-08-15,0,7,6
2016-08-16,3,5,1
2016-08-17,0,5,2
2016-08-18,0,9,7
2016-08-19,0,24,21
2016-08-20,0,2,0
2016-08-21,0,4,0
2016-08-22,0,15,16
2016-08-23,0,4,3
2016-08-24,0,5,2
2016-08-25,0,1,0
2016-08-26,0,0,0
2016-08-27,0,0,0
2016-08-28,0,0,0
2016-08-29,0,8,1
2016-08-30,3,9,0
2016-08-31,0,12,0
2016-09-01,0,10,6
2016-09-02,0,8,4
2016-09-03,0,0,0
2016-09-04,0,0,0
2016-09-05,0,9,0
2016-09-06,0,8,58
2016-09-07,0,8,25
2016-09-08,0,1,14
2016-09-09,0,4,13
2016-09-10,0,0,1
2016-09-11,1,5,0
2016-09-12,2,15,10
2016-09-13,0,8,0
2016-09-14,0,5,16
2016-09-15,0,11,10
2016-09-16,0,14,21
2016-09-17,0,4,0
2016-09-18,0,4,0
2016-09-19,6,27,0
2016-09-20,2,8,12
2016-09-21,0,25,17
2016-09-22,2,14,12
2016-09-23,0,23,19
2016-09-24,0,0,0
2016-09-25,0,0,0
2016-09-26,0,14,10
2016-09-27,0,31,3
2016-09-28,0,20,18
2016-09-29,0,20,24
2016-09-30,0,15,11
2016-10-01,0,6,0
2016-10-02,0,0,0
2016-10-03,0,19,20
2016-10-04,0,13,19
2016-10-05,0,19,14
2016-10-06,0,18,23
2016-10-07,1,13,2
2016-10-08,0,0,0
2016-10-09,0,0,0
2016-10-10,0,9,3
2016-10-11,2,2,26
2016-10-12,0,8,12
2016-10-13,0,10,18
2016-10-14,0,23,15
2016-10-15,0,0,1
2016-10-16,0,0,0
2016-10-17,0,5,19
2016-10-18,0,14,12
2016-10-19,1,22,11
2016-10-20,3,10,14
2016-10-21,0,17,4
2016-10-22,0,0,0
2016-10-23,0,0,0
2016-10-24,0,19,55
