,gogs/gogs,gitlabhq/gitlabhq,gitbucket/gitbucket
2014-03-12,4,16,5
2014-03-13,27,23,6
2014-03-14,17,33,7
2014-03-15,36,5,8
2014-03-16,31,3,0
2014-03-17,37,33,0
2014-03-18,10,8,4
2014-03-19,43,24,1
2014-03-20,44,24,2
2014-03-21,24,17,0
2014-03-22,18,7,0
2014-03-23,49,4,0
2014-03-24,32,38,5
2014-03-25,52,44,0
2014-03-26,35,30,0
2014-03-27,20,24,1
2014-03-28,14,11,1
2014-03-29,19,2,2
2014-03-30,22,1,2
2014-03-31,10,21,3
2014-04-01,8,28,1
2014-04-02,12,38,5
2014-04-03,4,23,0
2014-04-04,11,18,1
2014-04-05,8,5,0
2014-04-06,16,14,0
2014-04-07,9,42,3
2014-04-08,5,32,4
2014-04-09,8,27,3
2014-04-10,21,15,5
2014-04-11,22,18,4
2014-04-12,25,3,0
2014-04-13,12,12,0
2014-04-14,16,28,0
2014-04-15,16,17,1
2014-04-16,11,7,0
2014-04-17,2,11,6
2014-04-18,6,10,3
2014-04-19,4,1,0
2014-04-20,4,1,0
2014-04-21,8,4,2
2014-04-22,14,18,1
2014-04-23,26,26,2
2014-04-24,4,17,2
2014-04-25,3,11,2
2014-04-26,9,2,4
2014-04-27,11,4,5
2014-04-28,0,13,8
2014-04-29,3,12,13
2014-04-30,6,9,4
2014-05-01,23,8,1
2014-05-02,9,16,2
2014-05-03,4,4,1
2014-05-04,0,0,2
2014-05-05,13,20,7
2014-05-06,6,16,2
2014-05-07,11,15,5
2014-05-08,8,38,0
2014-05-09,9,4,0
2014-05-10,1,1,15
2014-05-11,21,3,2
2014-05-12,11,13,2
2014-05-13,8,28,1
2014-05-14,10,20,0
2014-05-15,8,15,0
2014-05-16,9,10,2
2014-05-17,0,1,0
2014-05-18,3,4,11
2014-05-19,5,18,0
2014-05-20,0,14,1
2014-05-21,2,4,0
2014-05-22,1,29,0
2014-05-23,0,30,0
2014-05-24,6,10,0
2014-05-25,0,0,1
2014-05-26,9,34,0
2014-05-27,0,26,0
2014-05-28,4,29,1
2014-05-29,1,38,0
2014-05-30,5,14,1
2014-05-31,1,6,5
2014-06-01,5,1,5
2014-06-02,1,18,6
2014-06-03,4,52,0
2014-06-04,1,29,1
2014-06-05,1,26,4
2014-06-06,3,21,3
2014-06-07,1,10,3
2014-06-08,4,3,0
2014-06-09,0,4,4
2014-06-10,1,41,2
2014-06-11,2,27,0
2014-06-12,6,17,0
2014-06-13,1,24,0
2014-06-14,0,29,5
2014-06-15,0,4,6
2014-06-16,0,11,2
2014-06-17,1,16,0
2014-06-18,0,18,0
2014-06-19,1,12,2
2014-06-20,2,13,2
2014-06-21,3,3,0
2014-06-22,5,4,2
2014-06-23,6,26,1
2014-06-24,6,45,1
2014-06-25,10,25,1
2014-06-26,1,35,1
2014-06-27,3,5,0
