,ethereum/go-ethereum,NethermindEth/nethermind,hyperledger/besu
2018-11-09,2,23,1.0
2018-11-10,0,19,-0.30000000000000004
2018-11-11,0,4,2.895
2018-11-12,3,33,2.0404999999999998
2018-11-13,4,17,3.7448375
2018-11-14,8,8,1.97677975
2018-11-15,8,30,-0.04726836249999966
2018-11-16,5,14,0.45389447625000034
2018-11-17,0,2,-1.423692554265625
2018-11-18,1,10,2.221450928017188
2018-11-19,3,28,7.560887715953125
2018-11-20,6,6,2.568944291254687
2018-11-21,5,0,2.7745348564734376
2018-11-22,5,39,-0.3018877057265623
2018-11-23,3,13,-0.46162488396249923
2018-11-24,0,15,-1.9092200974968747
2018-11-25,0,0,0.8986370897843754
2018-11-26,15,16,0.624260210953125
2018-11-27,3,25,-0.4165552580890628
2018-11-28,8,1,2.910462250310937
2018-11-29,9,12,5.215480673759375
2018-11-30,2,9,2.1136893228062497
2018-12-01,1,8,-1.6916683982296874
2018-12-02,2,4,-0.5435133489656245
2018-12-03,4,1,3.80453265646875
2018-12-04,4,27,0.7556447662531247
2018-12-05,1,2,-0.9551024257312499
2018-12-06,1,8,2.691421740954688
2018-12-07,3,13,5.0024293484593745
2018-12-08,0,0,-1.0652943627078129
2018-12-09,0,1,-1.921478619179687
2018-12-10,17,0,5.989040663751563
2018-12-11,7,0,0.20786181918906177
2018-12-12,2,0,1.8490053097890629
2018-12-13,3,9,1.7136374110359376
2018-12-14,7,10,1.6640095784546878
2018-12-15,0,2,-2.389914467790625
2018-12-16,0,0,-0.19761411366093729
2018-12-17,3,14,3.952758669784375
2018-12-18,4,0,1.8543367113906246
2018-12-19,0,0,3.7849524120734372
2018-12-20,2,0,4.169127848239063
2018-12-21,3,0,0.60779763500625
2018-12-22,4,0,-2.7423726324937494
2018-12-23,1,0,-1.3860512391812496
2018-12-24,0,0,-0.9012455355156249
2018-12-25,0,0,-0.6771730170609376
2018-12-26,0,0,-0.5270146132265628
2018-12-27,0,0,0.6245816802249996
2018-12-28,1,0,-0.5684665917562506
2018-12-29,2,0,-0.26359075969218776
2018-12-30,0,6,-0.11383365293125006
2018-12-31,0,5,0.9598375
2019-01-01,0,2,-0.32972025000000005
2019-01-02,2,8,0.8717191375000001
2019-01-03,6,4,0.62154272625
2019-01-04,5,7,2.538960783234375
2019-01-05,2,10,-0.10780366323281254
2019-01-06,1,3,0.2620566375000002
2019-01-07,6,2,6.3276599762500005
2019-01-08,1,0,2.5461346707343746
2019-01-09,1,0,3.520355200517188
2019-01-10,4,1,1.0839406719843754
2019-01-11,5,0,3.452029436251563
2019-01-12,0,0,-2.0893059497796873
2019-01-13,0,0,-0.796126517714062
2019-01-14,0,3,13.620463141251562
2019-01-15,7,15,7.616452025657812
2019-01-16,4,1,1.865681431042188
2019-01-17,7,0,4.893925613242188
2019-01-18,3,2,-3.5276896014593753
2019-01-19,1,0,-2.2857483397749996
2019-01-20,0,0,1.7217893425875
2019-01-21,2,0,6.320142551251562
2019-01-22,2,0,6.758546876532812
2019-01-23,4,0,4.622781668554687
2019-01-24,14,4,1.5793971813484369
2019-01-25,2,14,1.38652661648125
2019-01-26,2,5,-2.1189380396093753
2019-01-27,1,0,-2.703448150731249
2019-01-28,2,1,4.350864768454688
2019-01-29,8,3,19.993420509928125
2019-01-30,7,0,11.56192012148281
2019-01-31,1,4,9.587988695532813
2019-02-01,2,0,1.1832484828125
2019-02-02,0,8,-7.815317740723437
2019-02-03,1,0,-1.0252548379281237
2019-02-04,7,0,9.411637193534375
2019-02-05,4,6,1.7816329031562503
2019-02-06,5,0,5.461430422493749
2019-02-07,17,5,2.7197819715828118
2019-02-08,6,2,3.2758708555468745
2019-02-09,0,6,-4.5097345733453125
2019-02-10,0,5,-0.9689900793109372
2019-02-11,0,7,7.590793140953124
2019-02-12,10,7,7.446660014848437
2019-02-13,3,0,4.201699370098437
2019-02-14,13,0,2.371500333465625
2019-02-15,2,0,-0.11126982270156205
2019-02-16,1,0,-4.044812668735937
2019-02-17,1,0,-2.168118608360937
2019-02-18,15,9,12.569717565735937
2019-02-19,15,0,21.71519559587812
2019-02-20,6,0,8.579224378984375
2019-02-21,7,1,1.0421693710500008
2019-02-22,3,0,-4.821409235203124
2019-02-23,1,1,-2.874021889690624
2019-02-24,2,0,-2.528883391164062
2019-02-25,5,0,7.41104263
2019-02-26,9,6,15.152132936531249
2019-02-27,4,0,1.4858974233187485
2019-02-28,9,0,3.258614625417187
2019-03-01,6,14,-4.207507532095313
2019-03-02,2,0,-2.603695605857812
2019-03-03,0,1,-1.4252995719796875
2019-03-04,4,2,13.07893896926875
2019-03-05,2,7,7.173667819110936
2019-03-06,4,3,-0.5098528301406251
2019-03-07,11,8,0.2060473551875006
2019-03-08,6,0,-1.8914544599843754
2019-03-09,0,0,-2.659741952109375
2019-03-10,0,1,0.4539479955187504
2019-03-11,1,3,0.28539555125156246
2019-03-12,6,2,5.323209851532812
2019-03-13,4,6,1.8712630285546865
2019-03-14,7,1,4.152482233629687
2019-03-15,4,0,-1.3800641107250002
2019-03-16,1,1,-2.119310224695312
