,spring-projects/spring-framework,apache/tomcat,apache/struts
2020-12-29,-0.4616735743999998,2,0
2020-12-30,0.7981345791999999,1,0
2020-12-31,-0.310387712,0,0
2021-01-01,-0.15966935040000008,0,0
2021-01-02,1.900928,0,4
2021-01-03,0.5255424000000001,0,5
2021-01-04,4.58061056,6,2
2021-01-05,2.7747957760000004,5,0
2021-01-06,5.6429345792,0,3
2021-01-07,0.9409402879999997,2,0
2021-01-08,2.4011370495999995,1,2
2021-01-09,-1.6923622400000005,0,0
2021-01-10,-0.9491901440000005,0,4
2021-01-11,13.3227727872,0,5
2021-01-12,7.693875609600001,0,0
2021-01-13,-2.72181504,0,0
2021-01-14,2.964913254399999,1,0
2021-01-15,-2.2765554688,7,0
2021-01-16,-1.2700628992000005,0,0
2021-01-17,-0.8903766016000003,1,0
2021-01-18,0.3447731199999997,7,0
2021-01-19,3.2642693120000006,1,0
2021-01-20,-1.3319064575999988,2,0
2021-01-21,3.3958158336,2,0
2021-01-22,4.889992089600001,10,0
2021-01-23,-1.742282752,0,5
2021-01-24,2.2054271999999995,1,0
2021-01-25,1.8789580799999999,0,0
2021-01-26,5.774161407999999,13,0
2021-01-27,2.9110486016,7,0
2021-01-28,1.9550429183999993,13,0
2021-01-29,1.1274808319999996,1,1
2021-01-30,-1.6692980736,0,0
2021-01-31,-0.9656346624000004,0,0
2021-02-01,0.3569751039999999,11,0
2021-02-02,8.295853772800001,6,0
2021-02-03,4.738921164800001,0,0
2021-02-04,5.5437827072,1,0
2021-02-05,5.203722239999999,8,0
2021-02-06,-2.9969765376,0,0
2021-02-07,-1.546860851200001,0,1
2021-02-08,1.9676620799999993,3,1
2021-02-09,1.6171822079999998,1,0
2021-02-10,1.5318358016000002,0,0
2021-02-11,6.5042177024,1,0
2021-02-12,0.5773990912000007,3,0
2021-02-13,-0.7762644991999998,0,0
2021-02-14,6.8375507967999996,0,0
2021-02-15,23.71852544,0,0
2021-02-16,4.651682304,2,0
2021-02-17,0.9310102527999984,3,0
2021-02-18,-1.8996073472000012,6,0
2021-02-19,-0.7096067072000007,5,0
2021-02-20,-2.2048110592000003,0,0
2021-02-21,0.5431456767999994,0,0
2021-02-22,5.491201433600001,2,0
2021-02-23,2.539125964800002,2,1
2021-02-24,4.668042137600001,1,0
2021-02-25,8.4985998336,8,0
2021-02-26,1.5762830336000002,8,1
