,rails/rails,django/django,sinatra/sinatra
2019-10-08,7,2.0,0
2019-10-09,4,11.8,0
2019-10-10,13,3.709999999999999,0
2019-10-11,16,4.903,0
2019-10-12,3,-1.2083250000000008,0
2019-10-13,8,-0.6926834999999992,0
2019-10-14,7,3.505962475000001,0
2019-10-15,10,5.2153097075,1
2019-10-16,8,2.90522845646875,0
2019-10-17,14,0.9499419824906252,0
2019-10-18,3,5.151160026990626,0
2019-10-19,10,-1.0918461407734372,0
2019-10-20,0,-0.6093916652156244,0
2019-10-21,14,6.599861140000001,0
2019-10-22,2,1.9863080204375003,0
2019-10-23,5,8.1265954017625,0
2019-10-24,7,6.575674165221875,0
2019-10-25,6,5.445568286325,1
2019-10-26,1,-1.5655123331656253,7
2019-10-27,3,-0.9198399527156242,0
2019-10-28,2,4.373007338750002,0
2019-10-29,4,8.007711107640626,0
2019-10-30,11,5.469546476951563,0
2019-10-31,6,5.460304967751562,0
2019-11-01,4,-0.6046045506984374,0
2019-11-02,2,-1.0152152613968741,0
2019-11-03,3,-0.6587902802515614,0
2019-11-04,9,9.540118656250002,0
2019-11-05,3,6.626701331171875,0
2019-11-06,9,9.435984208929687,2
2019-11-07,6,5.021614249817187,0
2019-11-08,10,5.2335111448890625,0
2019-11-09,6,-1.7233277807671872,0
2019-11-10,12,-1.010740477535936,0
2019-11-11,1,4.262345187500002,0
2019-11-12,2,3.9133304123437513,0
2019-11-13,14,2.7874829742656257,0
2019-11-14,6,0.8902677752906252,0
2019-11-15,13,2.137166057245313,0
2019-11-16,11,-0.813666408860937,0
2019-11-17,3,-0.4798357802515617,0
2019-11-18,3,14.687429456250001,0
2019-11-19,8,5.249820903671875,0
2019-11-20,5,2.416115112242187,0
2019-11-21,17,7.7155590552578115,0
2019-11-22,11,3.324549375075,0
2019-11-23,3,-1.4508913941187493,0
2019-11-24,10,-0.8995939951078116,0
2019-11-25,3,9.348530968750001,0
2019-11-26,3,1.4778081310156257,0
2019-11-27,5,7.8136223733515635,0
2019-11-28,7,3.417281451435937,0
2019-11-29,0,1.6276962914656254,1
2019-11-30,4,-1.1280862379015621,0
2019-12-01,1,-0.6854271376796863,0
2019-12-02,7,12.515713750000002,0
2019-12-03,17,5.31000641859375,0
2019-12-04,18,7.38830295684375,0
2019-12-05,7,4.208234106501562,1
2019-12-06,19,5.3701751733484375,0
2019-12-07,2,-1.6513544517265621,1
2019-12-08,3,-0.9810824701078111,0
2019-12-09,20,5.295122111250001,0
2019-12-10,11,4.838159944546876,0
2019-12-11,7,3.662204134673438,0
2019-12-12,8,7.755396950107812,0
2019-12-13,16,-0.6306304246671877,2
2019-12-14,8,1.0144531936750005,0
2019-12-15,9,-0.8392770427515618,0
2019-12-16,11,2.4694194975000014,0
2019-12-17,36,0.28750463190625075,0
2019-12-18,44,6.425828662940626,0
2019-12-19,19,3.92602654095625,0
2019-12-20,23,1.9289856989296874,0
2019-12-21,9,0.09914187166093746,0
2019-12-22,9,-0.605275766067187,0
2019-12-23,10,5.5901294436781255,0
2019-12-24,5,-0.9030039727968746,0
2019-12-25,10,-0.5172435568734369,0
2019-12-26,4,-0.3574483123953121,0
2019-12-27,22,4.722948365920313,0
2019-12-28,7,-0.6784933979765624,0
2019-12-29,5,-0.33873694562343737,0
2019-12-30,1,5.782538969964063,2
2019-12-31,9,5.2392776219062505,0
2020-01-01,1,-1.0009768652156255,7
2020-01-02,14,3.4931899375,0
2020-01-03,10,4.24955651875,0
2020-01-04,11,0.05148293492187528,0
2020-01-05,6,-0.6566668376796873,0
2020-01-06,11,2.5843157475000007,0
2020-01-07,19,3.3797484444062507,0
