,apache/tomee,dropwizard/dropwizard,spring-projects/spring-boot
2013-01-21,5,1,0
2013-01-22,4,1,0
2013-01-23,3,1,0
2013-01-24,6,0,0
2013-01-25,12,0,0
2013-01-26,0,0,0
2013-01-27,1,0,0
2013-01-28,4,0,0
2013-01-29,9,1,0
2013-01-30,3,0,0
2013-01-31,7,0,0
2013-02-01,1,1,0
2013-02-02,1,0,0
2013-02-03,1,17,0
2013-02-04,6,0,0
2013-02-05,0,1,0
2013-02-06,8,1,0
2013-02-07,10,0,0
2013-02-08,4,0,0
2013-02-09,2,1,0
2013-02-10,3,0,0
2013-02-11,1,0,0
2013-02-12,1,3,0
2013-02-13,10,0,0
2013-02-14,6,0,0
2013-02-15,1,1,0
2013-02-16,0,9,0
2013-02-17,7,2,0
2013-02-18,7,1,0
2013-02-19,7,3,0
2013-02-20,3,1,0
2013-02-21,5,2,0
2013-02-22,3,0,0
2013-02-23,0,0,0
2013-02-24,0,0,0
2013-02-25,0,0,0
2013-02-26,3,1,0
2013-02-27,1,0,0
2013-02-28,0,1,0
2013-03-01,0,0,0
2013-03-02,0,0,0
2013-03-03,1,22,0
2013-03-04,1,2,0
2013-03-05,4,1,0
2013-03-06,5,0,0
2013-03-07,3,0,0
2013-03-08,0,0,0
2013-03-09,0,0,0
2013-03-10,0,2,0
2013-03-11,1,0,0
2013-03-12,14,0,0
2013-03-13,3,0,0
2013-03-14,6,0,0
2013-03-15,3,0,0
2013-03-16,15,1,0
2013-03-17,5,0,0
2013-03-18,0,7,0
2013-03-19,7,4,0
2013-03-20,11,5,0
2013-03-21,1,0,0
2013-03-22,3,0,0
2013-03-23,1,0,0
2013-03-24,0,0,0
2013-03-25,11,2,0
2013-03-26,2,4,0
2013-03-27,1,0,0
2013-03-28,2,0,0
2013-03-29,1,6,0
2013-03-30,2,0,0
2013-03-31,4,0,0
2013-04-01,0,4,0
2013-04-02,10,12,0
2013-04-03,7,0,0
2013-04-04,1,1,0
2013-04-05,1,8,0
2013-04-06,0,0,0
2013-04-07,0,0,0
2013-04-08,5,7,0
2013-04-09,2,0,0
2013-04-10,2,0,0
