,hashicorp/nomad,docker-archive/classicswarm,kubernetes/kubernetes
2020-08-14,9,0,22
2020-08-15,0,0,5
2020-08-16,0,0,3
2020-08-17,5,0,12
2020-08-18,7,0,12
2020-08-19,7,0,11
2020-08-20,13,0,10
2020-08-21,2,0,16
2020-08-22,0,0,2
2020-08-23,3,0,1
2020-08-24,18,0,4
2020-08-25,20,0,9
2020-08-26,9,0,12
2020-08-27,16,0,68
2020-08-28,13,0,92
2020-08-29,5,0,9
2020-08-30,0,0,9
2020-08-31,15,0,21
