,saltstack/salt,cfengine/core,ansible/ansible
2020-05-05,9,3,12.0
2020-05-06,22,0,3.799999999999999
2020-05-07,119,0,3.959999999999999
2020-05-08,25,3,2.932999999999999
2020-05-09,10,0,-1.0154499999999997
2020-05-10,44,0,-0.6192134999999992
2020-05-11,8,1,4.544159600000001
2020-05-12,16,4,7.1378318325
2020-05-13,4,0,5.6744347000625
2020-05-14,15,0,14.540755673240625
2020-05-15,15,1,7.619476887242186
2020-05-16,11,0,3.754348735257812
2020-05-17,7,0,-1.87897697264375
2020-05-18,71,4,0.8408181687500016
2020-05-19,42,8,3.935781777421877
2020-05-20,30,0,6.718068659445314
2020-05-21,31,0,4.378011223603126
2020-05-22,60,0,2.454380986498438
2020-05-23,9,1,-1.3301729482312494
2020-05-24,0,0,-0.764606178453124
2020-05-25,4,0,-0.5052995702156238
2020-05-26,0,4,7.640748292718751
2020-05-27,1,0,6.9031720848500004
2020-05-28,0,1,11.602249005695313
2020-05-29,0,0,19.94302451661875
2020-05-30,0,0,-2.2669663672781266
2020-05-31,0,0,-0.7883294101437501
2020-06-01,0,1,3.7251574000000014
2020-06-02,0,1,3.5683615800000026
2020-06-03,0,0,2.5348667633750015
2020-06-04,17,1,8.618201099337501
2020-06-05,10,3,6.109268530509375
2020-06-06,0,0,1.108160071939063
2020-06-07,6,0,-1.3794805775562495
2020-06-08,0,8,6.226662290698439
2020-06-09,37,10,8.723675551135939
2020-06-10,0,33,13.228247762242187
2020-06-11,0,2,15.505649172757812
2020-06-12,0,1,1.837848352199999
2020-06-13,0,0,-1.2507583682343748
2020-06-14,0,0,-1.4971348468343733
2020-06-15,0,4,7.96435119364219
2020-06-16,0,0,13.302740658890627
2020-06-17,0,7,3.435956983342188
2020-06-18,0,8,5.959373434406251
2020-06-19,0,6,9.949694583929688
2020-06-20,0,0,-2.3961028569749994
2020-06-21,0,0,-1.3037469381953113
2020-06-22,0,12,5.090327193714064
2020-06-23,0,5,11.691623664109377
2020-06-24,0,0,2.845626354442188
2020-06-25,0,2,6.313913613867188
2020-06-26,0,3,1.2204610256593749
2020-06-27,1,0,-0.34982357647499884
2020-06-28,0,0,-0.9555885554312488
2020-06-29,0,2,11.385947910000002
2020-06-30,0,0,9.31314050815625
2020-07-01,0,0,8.95544148433125
2020-07-02,0,0,9.761620994454686
2020-07-03,0,0,2.578566131945312
2020-07-04,0,0,-1.8811779555843744
2020-07-05,0,0,-1.164280770623436
2020-07-06,0,0,2.1459604049640646
2020-07-07,0,0,8.021653947562502
2020-07-08,0,0,2.398403767646876
2020-07-09,0,0,5.712926761432813
2020-07-10,0,0,9.538836884667187
2020-07-11,0,0,1.088059454490625
2020-07-12,0,0,-1.3036810501796874
2020-07-13,98,0,7.1906562987500005
2020-07-14,32,0,10.593198994703126
2020-07-15,24,1,6.952908002751562
2020-07-16,0,0,1.9473488138640622
2020-07-17,0,0,4.4256097024968755
2020-07-18,0,0,-1.6107084996734364
2020-07-19,0,0,0.010248083057814217
2020-07-20,0,1,14.22940897239219
2020-07-21,0,0,6.938429028375
2020-07-22,14,5,6.965297607275
2020-07-23,6,0,3.9365895924281245
2020-07-24,6,4,3.232020647614063
2020-07-25,0,0,-0.5583810507374991
2020-07-26,0,0,-1.0859302489656235
2020-07-27,0,4,2.2490423807343767
2020-07-28,25,7,9.101262073479688
2020-07-29,64,4,7.372840803570313
2020-07-30,30,1,13.254306520035938
2020-07-31,11,3,2.5463824553328114
2020-08-01,0,0,-0.7958036265437498
2020-08-02,0,0,-1.1906786131953115
2020-08-03,2,10,14.184211683714064
2020-08-04,1,7,13.868336235953127
2020-08-05,0,5,1.2056006084859372
2020-08-06,1,5,4.03406440125
2020-08-07,3,10,8.166317638192188
2020-08-08,0,0,-0.14126929936718646
2020-08-09,0,0,-1.4105107631953113
2020-08-10,1,1,8.051161503714065
2020-08-11,2,0,0.36600261476562634
2020-08-12,2,1,6.790084843710939
2020-08-13,27,0,1.4504293048625
2020-08-14,3,0,1.8687712242625008
2020-08-15,0,0,-1.0176393878718746
2020-08-16,0,0,-0.6396167638906238
2020-08-17,0,6,15.580613503678126
2020-08-18,5,12,14.076063940359374
2020-08-19,2,3,4.408687843645311
2020-08-20,3,2,2.957888664553124
2020-08-21,11,27,7.269223151915625
2020-08-22,0,0,-0.9668694966546865
2020-08-23,0,1,-1.285794257607811
2020-08-24,118,1,3.0942789100000017
2020-08-25,6,1,4.882227514250002
2020-08-26,23,3,4.623346164925001
2020-08-27,4,7,6.624596824565625
2020-08-28,2,3,-0.5432888115796877
2020-08-29,0,0,-0.9586447760703121
2020-08-30,0,0,-0.6314815358390615
2020-08-31,6,0,6.577753787464064
2020-09-01,8,0,6.9665959954375
2020-09-02,14,4,8.606019684262499
2020-09-03,5,2,3.230785424190624
2020-09-04,29,0,0.5393291844093748
2020-09-05,0,0,0.9351236166968757
2020-09-06,0,0,-0.8685919400359363
2020-09-07,0,22,-0.5944319737499987
2020-09-08,28,17,0.5337433638906262
2020-09-09,57,1,4.514356003123439
2020-09-10,8,2,3.1781000433062503
2020-09-11,0,8,0.16615849206249989
2020-09-12,0,0,0.47351921878906245
2020-09-13,0,0,-0.4143635811031247
2020-09-14,35,2,2.7333065324281254
2020-09-15,12,2,10.50946674125
2020-09-16,3,1,0.6105359057343744
2020-09-17,1,0,8.089606034885938
2020-09-18,1,0,-1.4700107234921882
2020-09-19,0,0,-0.7918951694093742
2020-09-20,0,0,-0.5325624530515618
2020-09-21,2,1,3.5953419212140636
2020-09-22,1,3,10.277889627203125
2020-09-23,13,14,0.44890649422031226
2020-09-24,6,3,13.979632729823438
2020-09-25,42,0,9.910937477787499
2020-09-26,3,0,-2.299344172823438
2020-09-27,3,0,-1.2387572999999996
2020-09-28,7,0,6.126672077500002
2020-09-29,47,0,4.623670814187502
2020-09-30,122,0,7.533134566684376
2020-10-01,50,0,5.194626402323438
2020-10-02,13,0,9.28591574469375
2020-10-03,2,0,-2.1490947942265626
2020-10-04,2,0,-1.170083317931249
2020-10-05,78,1,2.2401838012500015
2020-10-06,5,5,8.107896768890626
2020-10-07,65,8,2.479536550404688
2020-10-08,57,3,2.7505540563937503
2020-10-09,2,5,2.836913977317188
2020-10-10,1,0,-1.092356160923437
2020-10-11,0,0,0.34642583460468834
2020-10-12,0,16,3.487143798750001
2020-10-13,12,10,2.2266867447031258
2020-10-14,0,5,3.2186987902515627
2020-10-15,0,1,2.1194517401140627
2020-10-16,0,8,-0.7805101972062498
2020-10-17,3,0,-0.4604851747062495
2020-10-18,1,0,-0.3138374063937493
2020-10-19,9,2,4.780116364484376
2020-10-20,1,6,4.319048506651563
2020-10-21,0,6,-0.8711611716906252
2020-10-22,0,9,2.5357491015796874
2020-10-23,0,20,4.391887150809375
2020-10-24,0,5,-0.8440928076078124
2020-10-25,0,0,-0.45689381249999983
2020-10-26,0,4,2.6742339562500006
2020-10-27,0,1,6.445027203671875
2020-10-28,4,1,1.9550943847421873
2020-10-29,3,0,0.15841458607031234
2020-10-30,0,0,5.419339079703125
2020-10-31,0,0,0.003474127314062714
2020-11-01,0,0,-0.654785050179687
2020-11-02,0,2,5.58957207375
2020-11-03,1,0,3.0855613997031255
2020-11-04,4,2,9.074019150032813
2020-11-05,21,5,7.455320571951562
2020-11-06,3,1,1.297535939376562
2020-11-07,0,0,-1.2462529268796874
2020-11-08,0,0,-0.8015255032312489
2020-11-09,20,0,10.439760919964064
2020-11-10,13,0,7.45955696190625
2020-11-11,7,5,1.238588307721875
2020-11-12,19,2,2.7128921559499997
2020-11-13,2,4,0.7778280687500008
2020-11-14,12,0,-0.9330413618703114
2020-11-15,0,0,-0.5810169451078114
2020-11-16,8,6,0.5715109787500011
2020-11-17,0,1,5.549627253078126
2020-11-18,5,5,2.0583351662140625
2020-11-19,0,8,4.226506578129688
2020-11-20,2,6,1.0876802978296871
2020-11-21,0,0,-0.7033237861749998
2020-11-22,0,0,-0.4211477175718746
2020-11-23,8,1,2.7012714787500007
2020-11-24,16,3,-0.5375252780156246
2020-11-25,1,3,-0.332133381879687
2020-11-26,0,5,-0.24639056051249963
2020-11-27,4,2,-0.15721301518593703
2020-11-28,0,0,-0.10948113871093719
2020-11-29,1,0,-0.05628374257187484
2020-11-30,15,5,4.96671891125
2020-12-01,12,1,4.471295060953125
2020-12-02,5,0,5.249803442392187
2020-12-03,18,0,11.032499999999999
2020-12-04,9,0,2.284187499999999
2020-12-05,2,0,-0.2948962500000003
2020-12-06,12,0,-0.8923688124999996
2020-12-07,1,9,2.3750709562500014
2020-12-08,0,8,9.213166878671876
2020-12-09,7,3,4.465528344742188
2020-12-10,63,5,0.5632067042265625
