,NethermindEth/nethermind,hyperledger/besu,ethereum/go-ethereum
2019-01-09,0,6.0,1
2019-01-10,1,1.6000000000000005,4
2019-01-11,0,3.6800000000000006,5
2019-01-12,0,-2.2639999999999993,0
2019-01-13,0,-0.6256000000000002,0
2019-01-14,3,13.749888,0
2019-01-15,15,6.308812800000001,7
2019-01-16,1,0.5126118400000008,4
2019-01-17,0,3.906252288000001,7
2019-01-18,2,-4.7165503488,3
2019-01-19,0,-2.685540659200001,1
2019-01-20,0,1.5430607871999995,0
2019-01-21,0,5.8943501311999995,2
2019-01-22,0,5.810623283200001,2
2019-01-23,0,3.3969029120000016,4
2019-01-24,4,0.39039426560000123,14
2019-01-25,14,0.4881453055999998,2
2019-01-26,5,-2.8756843520000004,2
2019-01-27,0,-3.034375065600001,1
2019-01-28,1,4.2939287552,2
2019-01-29,3,19.3934338048,8
2019-01-30,0,9.190743756800003,7
2019-01-31,4,7.237386035200002,1
2019-02-01,0,-1.1118213119999982,2
2019-02-02,8,-9.3137744896,0
2019-02-03,0,-1.3017755648000016,1
2019-02-04,0,9.0425867264,7
2019-02-05,6,0.44059084799999937,4
2019-02-06,0,4.4894456832000005,5
2019-02-07,5,1.4840923136000015,17
2019-02-08,2,2.1913461760000006,6
2019-02-09,6,-5.584943411199999,0
2019-02-10,5,-1.2476290048000007,0
2019-02-11,7,7.332137983999999,0
2019-02-12,7,6.4170535936,10
2019-02-13,0,2.8644653056000013,3
2019-02-14,0,1.1657460736000012,13
2019-02-15,0,-1.1093833728,2
2019-02-16,0,-4.714601779200001,1
2019-02-17,0,-2.2841362432000007,1
2019-02-18,9,12.5453064192,15
2019-02-19,0,20.3251518464,15
2019-02-20,0,5.692978688000004,6
2019-02-21,1,-1.3029154815999977,7
2019-02-22,0,-6.331480063999999,3
2019-02-23,1,-3.456691814400001,1
2019-02-24,0,-2.8485795840000008,2
2019-02-25,0,7.2641177599999995,5
2019-02-26,6,14.153242112000001,9
2019-02-27,0,-0.6270702591999981,4
2019-02-28,0,1.9540214784000014,9
2019-03-01,14,-5.4368678911999995,6
2019-03-02,0,-3.017471180800001,2
2019-03-03,1,-1.6117484544000011,0
2019-03-04,2,12.952758374399998,4
2019-03-05,7,5.6718815232000015,2
2019-03-06,3,-2.009937407999999,4
2019-03-07,8,-0.6287042559999989,11
2019-03-08,0,-2.5451950080000003,6
2019-03-09,0,-2.973706752000001,0
2019-03-10,1,0.39745341439999926,0
2019-03-11,3,0.08225413120000002,1
2019-03-12,2,5.110309683200001,6
2019-03-13,6,1.1580600320000007,4
2019-03-14,1,3.5537104896000002,7
2019-03-15,0,-2.1804126207999994,4
2019-03-16,1,-2.451332608,1
2019-03-17,15,-1.2139278336000003,0
2019-03-18,9,6.203245055999999,6
2019-03-19,12,7.6078183424,0
2019-03-20,2,4.315814502400001,3
2019-03-21,2,4.892114022400001,2
2019-03-22,2,-0.8020218879999987,4
2019-03-23,24,-4.1471625216,0
2019-03-24,10,-2.7558107136000003,0
2019-03-25,0,1.3576908799999994,7
2019-03-26,2,4.619129856,3
2019-03-27,5,7.9260872704,7
2019-03-28,0,-1.4941442047999987,2
2019-03-29,11,-1.44068096,2
2019-03-30,1,-3.1991405568,0
2019-03-31,1,0.45030174719999927,0
2019-04-01,10,5.2119237632,5
2019-04-02,5,2.2358205440000005,9
2019-04-03,7,-0.9376031743999995,1
2019-04-04,0,7.1166019584,7
2019-04-05,0,1.620427878400001,7
2019-04-06,9,-4.806648319999999,1
2019-04-07,16,1.9796100096,0
2019-04-08,12,0.14945945599999977,47
2019-04-09,11,3.4184807424,9
2019-04-10,4,6.309070950400001,8
2019-04-11,27,2.4548959232000005,4
2019-04-12,12,0.6528464896000008,3
2019-04-13,5,-3.6653803519999997,0
2019-04-14,2,-1.4596709376000008,0
2019-04-15,6,6.2101662719999995,2
2019-04-16,8,1.6902688768000003,6
2019-04-17,20,7.857948057600001,4
2019-04-18,12,-5.616641740799999,2
2019-04-19,15,-2.969165824,1
2019-04-20,5,-0.6118692864000006,0
2019-04-21,12,-0.4369328128000005,0
2019-04-22,0,0.7662784511999998,0
2019-04-23,14,5.4662223872,1
2019-04-24,20,3.4176705536000007,0
2019-04-25,10,-2.116580044799999,6
2019-04-26,8,2.6071512064,2
2019-04-27,14,-0.09323591679999987,0
2019-04-28,46,1.4916833279999997,0
2019-04-29,15,12.201698611200001,0
2019-04-30,8,-3.2723499007999983,5
2019-05-01,7,2.7632333824,0
2019-05-02,3,4.1565097984,2
2019-05-03,0,-1.7204489216,0
2019-05-04,0,-3.9920193536,1
2019-05-05,24,-1.9943961600000004,0
2019-05-06,8,1.6935074815999995,0
2019-05-07,5,1.8512790527999998,5
2019-05-08,7,11.33233408,7
2019-05-09,11,-1.6864704511999982,0
2019-05-10,8,-0.3602707455999994,16
2019-05-11,1,-3.5280622592,1
2019-05-12,0,-0.6222902272000008,0
2019-05-13,18,6.56970752,11
2019-05-14,0,0.9234058240000005,2
2019-05-15,1,-0.6148291583999992,5
2019-05-16,0,1.1993218048000003,15
2019-05-17,0,4.0288130048,4
2019-05-18,0,-3.067192832,0
2019-05-19,0,-1.0238287872000003,0
2019-05-20,0,3.498807808,2
2019-05-21,4,2.1102057472,1
2019-05-22,0,8.7596077056,0
2019-05-23,106,-2.135234559999999,0
2019-05-24,11,-0.8485264383999995,0
2019-05-25,12,-3.0043763712000002,3
2019-05-26,0,0.4971106303999995,2
2019-05-27,7,0.24755333119999978,13
2019-05-28,10,4.2594040832,4
2019-05-29,10,0.6900751360000008,0
2019-05-30,10,-0.9194311679999996,2
2019-05-31,10,2.9235835904000003,3
2019-06-01,15,-1.9480901631999998,0
2019-06-02,31,-1.5951739904000002,0
2019-06-03,4,2.1521602559999997,4
2019-06-04,9,0.2101121024000001,5
2019-06-05,6,0.4127007744000002,5
2019-06-06,14,9.4490790912,4
2019-06-07,1,-2.0891200511999983,7
2019-06-08,2,-1.9408014336,1
2019-06-09,3,-1.7551400959999999,0
2019-06-10,27,5.0566597632,1
2019-06-11,15,4.953593344,5
2019-06-12,14,-1.4094982143999992,8
2019-06-13,9,1.0991745024000004,3
2019-06-14,12,3.0080159744,0
2019-06-15,6,-3.7891294207999997,0
2019-06-16,0,-1.5317453824000002,0
2019-06-17,5,0.053016883199999754,2
2019-06-18,9,2.923803648,4
2019-06-19,12,1.7552888832000004,2
2019-06-20,3,7.496886169600001,5
2019-06-21,20,0.013159321600000773,2
2019-06-22,4,-3.7944788991999996,0
2019-06-23,3,-1.6259601408000002,0
2019-06-24,6,0.03396863999999944,5
2019-06-25,19,3.911989248,2
2019-06-26,18,0.35370475520000033,1
2019-06-27,8,3.7256629248000004,2
2019-06-28,15,-1.4162025471999993,1
2019-06-29,10,-1.153712128,0
2019-06-30,22,-0.38551398400000014,0
2019-07-01,10,0.8793574399999997,1
2019-07-02,7,6.5771898879999995,5
2019-07-03,9,5.1130284032,6
2019-07-04,11,-3.025159679999999,1
2019-07-05,0,0.3058149376000001,2
2019-07-06,0,-1.5571381248000002,0
2019-07-07,7,-0.6070649856000006,0
2019-07-08,4,1.6868314112,10
2019-07-09,8,1.0345531392000002,6
2019-07-10,0,-1.1135594495999999,6
2019-07-11,35,14.6320306176,1
2019-07-12,9,-3.090321715199999,1
2019-07-13,1,2.0889467904,1
2019-07-14,0,-0.17626634239999994,0
2019-07-15,7,11.5764928512,0
2019-07-16,8,-2.6459721727999987,0
2019-07-17,3,6.1049486336,3
2019-07-18,2,-4.745443942399999,6
2019-07-19,0,-0.6503589888000003,1
2019-07-20,6,-3.2687495168000003,0
2019-07-21,8,3.3445828607999997,0
2019-07-22,27,2.8675418112,12
2019-07-23,9,1.1923196928000004,7
2019-07-24,5,2.3543905280000006,2
2019-07-25,0,3.071665664,4
2019-07-26,4,0.5344371712000004,0
2019-07-27,2,1.2024085504000004,0
2019-07-28,5,-3.7153864704,0
2019-07-29,20,10.30827008,0
2019-07-30,20,8.077778944,1
2019-07-31,17,-2.821293260799999,2
2019-08-01,1,-1.9960949760000002,1
2019-08-02,7,1.4152522751999999,1
2019-08-03,10,-2.8790424576,1
2019-08-04,0,-2.2346557440000003,0
2019-08-05,26,-0.320482304,1
2019-08-06,11,-0.31572838400000025,1
2019-08-07,10,7.7621397504,1
2019-08-08,37,-3.238832435199999,6
2019-08-09,16,0.19012607999999998,0
2019-08-10,0,-1.7000955904,0
2019-08-11,0,-0.8104616960000004,0
2019-08-12,7,2.5067000831999997,6
2019-08-13,2,3.446652928,4
2019-08-14,38,7.3638438912,1
2019-08-15,15,-3.005496524799999,5
2019-08-16,5,-1.6118802432,0
2019-08-17,8,-1.6209655808,0
2019-08-18,20,-0.9082459136000005,0
2019-08-19,10,2.3833523199999997,6
2019-08-20,8,0.33154406400000025,0
2019-08-21,12,-0.5337570303999999,4
2019-08-22,1,4.892747776,15
2019-08-23,66,0.050536448000000345,5
2019-08-24,17,-2.1978080255999997,0
2019-08-25,0,-0.9271917568000001,0
2019-08-26,15,2.4274099199999997,1
2019-08-27,11,2.390316544,2
2019-08-28,4,1.7252883456,0
2019-08-29,2,-1.4918649855999995,0
2019-08-30,0,0.5803558912,2
2019-08-31,6,-1.5545120768,0
2019-09-01,3,-0.6974920704000003,0
2019-09-02,3,0.5636275199999998,2
2019-09-03,2,2.276045824,4
2019-09-04,12,0.42463324160000027,2
2019-09-05,2,0.5998875648000004,0
2019-09-06,0,-1.3766894591999999,0
2019-09-07,0,-0.5658615808000002,0
2019-09-08,0,-0.34961551360000015,0
2019-09-09,1,0.7696358399999998,0
2019-09-10,0,1.4239022080000001,8
2019-09-11,2,5.9390671872,2
2019-09-12,0,3.7905529856000006,6
2019-09-13,0,5.1344922624,2
2019-09-14,0,-5.026748313599999,0
2019-09-15,0,-0.9020672000000005,0
2019-09-16,0,3.4588390399999995,5
2019-09-17,3,1.0832967679999999,4
2019-09-18,1,3.1339860992000004,2
2019-09-19,4,-1.7085490175999993,10
2019-09-20,2,-1.3749641215999997,3
2019-09-21,0,-1.5891117056000001,0
2019-09-22,4,1.1342220287999996,0
2019-09-23,2,3.674226688,1
2019-09-24,0,3.3586578432000005,3
2019-09-25,0,4.561284608000001,2
2019-09-26,5,-3.525031219199999,6
2019-09-27,0,-2.1373749248,1
2019-09-28,0,-1.1180384256000004,0
2019-09-29,0,3.2591327231999996,0
2019-09-30,3,8.858840576,2
2019-10-01,2,-4.305255833599999,0
2019-10-02,13,1.6991472640000005,3
2019-10-03,3,1.1931948032000004,2
2019-10-04,0,-1.8389489664000003,0
2019-10-05,1,-0.6117229568000002,0
2019-10-06,0,-1.29842944,0
2019-10-07,0,3.244129792,0
2019-10-08,0,-0.15353681919999973,0
2019-10-09,0,0.32717752320000026,0
2019-10-10,0,0.5041815552000002,0
2019-10-11,0,-0.48754923519999993,0
2019-10-12,0,-1.0557268992000002,0
2019-10-13,0,-0.5109106688000001,0
2019-10-14,5,0.6606892031999998,0
2019-10-15,1,4.355205632,1
2019-10-16,2,-0.3141235711999997,2
2019-10-17,0,4.4203879424,2
2019-10-18,6,-3.075878297599999,2
2019-10-19,0,-1.1267040256000003,0
2019-10-20,1,-0.6527213568000002,2
2019-10-21,0,1.5573094399999996,1
2019-10-22,0,2.867353088,0
2019-10-23,0,-1.1030970367999995,0
2019-10-24,2,3.7874744320000002,1
2019-10-25,6,-2.5757305855999997,0
2019-10-26,0,-0.9670929408000002,0
2019-10-27,0,-0.5273344000000002,0
2019-10-28,0,1.6334540799999997,3
2019-10-29,3,0.9234831360000002,5
2019-10-30,4,0.7405942784000001,3
2019-10-31,2,3.6737988608000003,4
2019-11-01,6,-2.5397767167999996,0
2019-11-02,1,-0.9350947840000001,2
2019-11-03,2,-0.5090304000000001,0
2019-11-04,1,3.6494284799999996,3
2019-11-05,2,2.1372610560000003,2
2019-11-06,0,3.7125351424,3
2019-11-07,0,-3.283760537599999,3
2019-11-08,9,2.7562251264,1
2019-11-09,0,-2.334198784,0
2019-11-10,0,0.05873919999999966,0
2019-11-11,2,0.99895296,0
2019-11-12,2,2.641715712,0
2019-11-13,1,1.7541531648000004,4
2019-11-14,1,1.5164203008000001,7
2019-11-15,0,-1.5994231807999997,1
2019-11-16,1,-1.445890048,0
2019-11-17,1,1.2223024127999997,2
2019-11-18,4,-0.29395763200000014,10
2019-11-19,18,1.9901473792,12
2019-11-20,6,3.2704937984000004,18
2019-11-21,2,1.2845390848000005,13
2019-11-22,8,-1.6236900351999997,4
2019-11-23,0,-1.4670267392,2
2019-11-24,0,-0.7463584768000003,2
2019-11-25,0,-0.49773158400000034,6
2019-11-26,2,4.6279122944,5
2019-11-27,1,0.7280771072000003,6
2019-11-28,0,-0.010618470399999858,3
2019-11-29,1,2.3770158080000003,6
2019-11-30,1,-2.3063483392,0
2019-12-01,0,0.1046418431999998,0
2019-12-02,3,1.056128,3
2019-12-03,1,-1.3070464,0
2019-12-04,10,3.39937536,0
2019-12-05,19,0.9923481600000006,3
2019-12-06,30,-1.9353401343999996,3
2019-12-07,9,-0.7850863616,0
2019-12-08,17,-0.4738895872000002,0
2019-12-09,48,-0.2965048320000002,0
2019-12-10,15,0.7751816192,5
2019-12-11,0,2.4320318464,0
2019-12-12,3,2.564265472,2
2019-12-13,5,-1.1206597631999995,0
2019-12-14,3,1.8480055296,0
2019-12-15,16,-1.7307519999999998,0
2019-12-16,17,1.2967807999999998,1
2019-12-17,17,-0.24066816000000002,1
2019-12-18,13,5.0431278079999995,2
2019-12-19,1,3.1074332672000007,0
2019-12-20,13,0.5465225216000005,2
2019-12-21,0,-1.9269640191999997,0
2019-12-22,0,-1.6477436928000002,0
2019-12-23,5,3.0965892096,0
2019-12-24,3,-2.196573184,0
2019-12-25,0,-0.9301625856000001,1
2019-12-26,0,-0.5917605887999999,0
2019-12-27,0,-0.4305686528000001,0
2019-12-28,0,-0.27559034880000005,0
2019-12-29,0,0.8417988608,0
2019-12-30,2,-0.4862803967999999,0
2019-12-31,9,-0.18062284799999997,0
2020-01-01,8,1.8848073728,0
2020-01-02,5,0.1584000000000001,0
2020-01-03,4,-0.6699519999999999,0
2020-01-04,1,-0.2709632,0
2020-01-05,1,0.8344294399999999,0
2020-01-06,2,-0.516659712,4
2020-01-07,7,3.7913234432,8
2020-01-08,6,-0.7237043199999997,3
