,rust-lang/rust,JetBrains/kotlin,apple/swift
2018-10-17,63,51,31
2018-10-18,73,26,16
2018-10-19,67,35,40
2018-10-20,54,0,25
2018-10-21,36,2,15
2018-10-22,52,34,16
2018-10-23,57,24,42
2018-10-24,58,38,49
2018-10-25,122,50,47
2018-10-26,77,27,79
2018-10-27,49,10,45
2018-10-28,61,0,9
2018-10-29,61,13,57
2018-10-30,70,10,68
2018-10-31,62,46,67
2018-11-01,96,30,54
2018-11-02,62,57,56
2018-11-03,71,0,20
2018-11-04,37,2,62
2018-11-05,99,0,45
2018-11-06,53,30,105
2018-11-07,81,35,89
2018-11-08,56,50,71
2018-11-09,49,16,101
2018-11-10,85,0,58
2018-11-11,60,0,5
2018-11-12,38,22,44
2018-11-13,63,40,73
2018-11-14,36,21,101
2018-11-15,67,14,83
2018-11-16,123,25,115
2018-11-17,34,5,45
2018-11-18,47,1,16
2018-11-19,52,14,9
2018-11-20,72,16,14
2018-11-21,108,91,10
2018-11-22,61,47,22
2018-11-23,42,47,8
2018-11-24,61,2,3
2018-11-25,63,0,1
2018-11-26,56,44,82
2018-11-27,127,52,75
2018-11-28,47,44,88
2018-11-29,84,43,74
2018-11-30,103,29,98
2018-12-01,18,1,25
2018-12-02,57,0,13
2018-12-03,79,7,49
2018-12-04,82,20,86
2018-12-05,59,33,60
2018-12-06,74,36,66
2018-12-07,57,29,79
2018-12-08,57,0,41
2018-12-09,57,1,14
2018-12-10,73,29,62
2018-12-11,78,63,49
2018-12-12,86,57,78
2018-12-13,53,37,84
2018-12-14,80,17,38
2018-12-15,57,3,55
2018-12-16,40,2,25
2018-12-17,56,13,48
2018-12-18,50,45,65
2018-12-19,117,12,47
2018-12-20,86,35,52
2018-12-21,79,34,77
2018-12-22,75,0,5
2018-12-23,54,0,8
2018-12-24,38,21,3
2018-12-25,60,26,6
2018-12-26,52,49,5
2018-12-27,76,13,0
2018-12-28,61,17,2
2018-12-29,73,6,0
2018-12-30,72,0,5
2018-12-31,50,0,1
2019-01-01,60,1,2
2019-01-02,83,6,71
2019-01-03,89,3,44
2019-01-04,68,0,81
2019-01-05,70,5,25
2019-01-06,63,0,10
2019-01-07,82,2,31
2019-01-08,91,5,88
2019-01-09,51,19,60
2019-01-10,45,41,66
2019-01-11,44,49,58
2019-01-12,80,0,24
2019-01-13,107,0,7
2019-01-14,69,35,53
2019-01-15,67,29,74
2019-01-16,46,29,65
2019-01-17,45,41,64
2019-01-18,82,31,80
2019-01-19,99,2,27
2019-01-20,55,1,25
2019-01-21,72,20,36
2019-01-22,102,10,82
2019-01-23,61,12,42
2019-01-24,76,34,46
2019-01-25,92,31,50
2019-01-26,111,3,60
2019-01-27,82,1,20
2019-01-28,65,48,46
2019-01-29,59,20,76
2019-01-30,72,25,59
2019-01-31,66,42,41
2019-02-01,107,19,62
2019-02-02,37,0,19
2019-02-03,69,5,25
2019-02-04,47,13,70
2019-02-05,79,26,76
2019-02-06,66,24,67
2019-02-07,131,30,62
2019-02-08,93,1,76
2019-02-09,68,0,9
2019-02-10,75,17,10
2019-02-11,83,6,66
2019-02-12,78,31,79
2019-02-13,106,25,55
2019-02-14,72,107,77
2019-02-15,41,35,48
2019-02-16,53,1,31
2019-02-17,60,22,24
2019-02-18,112,49,57
2019-02-19,42,81,98
2019-02-20,87,20,83
2019-02-21,70,26,67
2019-02-22,54,39,82
2019-02-23,83,1,38
2019-02-24,90,1,22
2019-02-25,58,116,87
2019-02-26,48,26,57
2019-02-27,81,22,48
2019-02-28,37,29,57
2019-03-01,50,33,69
2019-03-02,56,7,42
2019-03-03,59,2,18
2019-03-04,57,80,47
2019-03-05,71,52,77
2019-03-06,45,41,76
2019-03-07,56,33,61
2019-03-08,56,25,37
2019-03-09,39,2,11
2019-03-10,44,0,12
2019-03-11,50,16,42
2019-03-12,68,17,60
2019-03-13,56,30,62
2019-03-14,49,50,56
2019-03-15,109,56,64
2019-03-16,93,3,9
2019-03-17,51,0,19
2019-03-18,80,31,78
2019-03-19,64,49,47
2019-03-20,66,83,37
2019-03-21,58,58,54
2019-03-22,46,69,64
2019-03-23,60,10,26
2019-03-24,46,2,10
2019-03-25,72,45,52
2019-03-26,78,25,69
2019-03-27,60,41,101
2019-03-28,87,35,61
2019-03-29,91,34,79
2019-03-30,74,3,12
2019-03-31,49,3,26
2019-04-01,46,11,60
2019-04-02,87,29,80
2019-04-03,68,531,88
2019-04-04,67,68,44
2019-04-05,50,34,44
2019-04-06,36,6,44
2019-04-07,52,0,22
2019-04-08,47,29,41
2019-04-09,59,31,73
2019-04-10,51,67,48
2019-04-11,63,39,67
2019-04-12,74,30,53
2019-04-13,60,8,22
2019-04-14,92,0,28
2019-04-15,45,21,31
2019-04-16,64,30,56
2019-04-17,109,54,102
2019-04-18,73,28,44
2019-04-19,87,35,51
2019-04-20,51,0,36
2019-04-21,67,1,11
2019-04-22,75,62,35
2019-04-23,75,52,79
2019-04-24,74,31,85
2019-04-25,84,51,51
2019-04-26,51,37,55
2019-04-27,30,0,18
2019-04-28,43,1,5
2019-04-29,46,45,27
2019-04-30,74,154,26
2019-05-01,102,8,46
2019-05-02,98,4,62
2019-05-03,44,7,59
2019-05-04,104,1,37
2019-05-05,33,1,13
2019-05-06,41,62,58
2019-05-07,40,22,70
2019-05-08,39,21,59
2019-05-09,73,17,58
2019-05-10,57,7,64
2019-05-11,53,1,22
2019-05-12,44,0,13
2019-05-13,61,43,55
2019-05-14,62,34,86
2019-05-15,55,27,55
2019-05-16,57,15,51
2019-05-17,61,18,36
2019-05-18,45,70,29
2019-05-19,54,1,19
2019-05-20,100,28,57
2019-05-21,93,30,60
2019-05-22,75,30,44
2019-05-23,105,73,75
2019-05-24,59,43,36
2019-05-25,88,20,16
2019-05-26,51,7,15
2019-05-27,99,19,10
2019-05-28,115,124,36
2019-05-29,69,51,84
2019-05-30,63,85,56
2019-05-31,55,38,65
2019-06-01,64,0,36
2019-06-02,54,3,39
2019-06-03,84,38,41
2019-06-04,96,41,40
2019-06-05,64,47,61
2019-06-06,68,21,41
2019-06-07,44,37,17
2019-06-08,84,8,19
2019-06-09,71,1,12
2019-06-10,61,36,56
2019-06-11,93,27,65
2019-06-12,100,4,112
2019-06-13,44,49,66
2019-06-14,61,29,100
2019-06-15,85,5,22
2019-06-16,70,3,3
2019-06-17,30,26,48
2019-06-18,54,66,71
2019-06-19,65,36,49
2019-06-20,64,28,61
2019-06-21,75,19,37
2019-06-22,72,0,25
