,ramda/ramda,jashkenas/underscore,lodash/lodash
2013-09-21,0.0,0,3
2013-09-22,0.0,0,1
2013-09-23,0.0,1,3
2013-09-24,0.0,2,1
2013-09-25,0.0,0,3
2013-09-26,0.0,0,4
2013-09-27,0.0,0,4
2013-09-28,0.0,0,2
2013-09-29,0.0,0,7
2013-09-30,0.0,0,3
2013-10-01,0.0,0,4
2013-10-02,0.0,0,2
2013-10-03,0.0,0,5
2013-10-04,0.0,0,1
2013-10-05,0.0,0,3
2013-10-06,1.0,0,1
2013-10-07,-0.5,0,1
2013-10-08,0.875,0,4
2013-10-09,-0.5625,0,1
2013-10-10,-0.1640625,0,1
2013-10-11,-0.08984375,2,1
2013-10-12,-0.0595703125,0,2
2013-10-13,-0.04345703125,0,7
2013-10-14,0.966400146484375,0,4
2013-10-15,-0.5270233154296875,1,3
2013-10-16,0.861907958984375,0,1
2013-10-17,-0.5734100341796875,0,2
2013-10-18,-0.1640625,0,3
2013-10-19,-0.08984375,0,7
2013-10-20,-0.0595703125,0,1
2013-10-21,-0.04345703125,0,8
2013-10-22,-0.033599853515625,0,4
2013-10-23,-0.0270233154296875,0,2
2013-10-24,-0.013092041015625,0,5
2013-10-25,-0.0109100341796875,0,4
2013-10-26,0.0,0,3
2013-10-27,0.0,0,1
2013-10-28,0.0,0,11
2013-10-29,0.0,2,9
2013-10-30,0.0,0,8
2013-10-31,0.0,0,8
2013-11-01,0.0,0,1
2013-11-02,0.0,0,14
2013-11-03,0.0,0,12
2013-11-04,0.0,0,7
2013-11-05,0.0,0,10
2013-11-06,0.0,10,14
2013-11-07,0.0,6,7
2013-11-08,0.0,0,8
2013-11-09,0.0,0,2
2013-11-10,0.0,0,5
2013-11-11,0.0,0,5
2013-11-12,0.0,0,5
2013-11-13,0.0,0,6
2013-11-14,0.0,0,5
2013-11-15,0.0,0,3
2013-11-16,0.0,0,8
2013-11-17,0.0,0,1
2013-11-18,0.0,8,3
2013-11-19,0.0,6,3
2013-11-20,0.0,3,5
2013-11-21,0.0,0,5
2013-11-22,0.0,0,4
2013-11-23,0.0,0,3
2013-11-24,0.0,0,4
2013-11-25,0.0,0,1
2013-11-26,0.0,0,3
2013-11-27,0.0,0,3
2013-11-28,0.0,0,1
2013-11-29,0.0,0,4
2013-11-30,0.0,0,11
2013-12-01,0.0,0,4
2013-12-02,0.0,0,5
2013-12-03,0.0,2,3
2013-12-04,0.0,0,3
2013-12-05,2.0,0,7
2013-12-06,-1.0,0,3
2013-12-07,-0.25,0,4
2013-12-08,-0.125,0,7
2013-12-09,-0.078125,0,3
2013-12-10,-0.0546875,0,0
2013-12-11,-0.041015625,0,4
2013-12-12,0.9677734375,0,1
2013-12-13,-0.52618408203125,0,3
2013-12-14,1.853179931640625,0,8
2013-12-15,-1.0625,0,1
2013-12-16,0.7109375,0,16
2013-12-17,-0.65234375,0,7
2013-12-18,-0.2236328125,3,0
2013-12-19,-0.13330078125,0,6
2013-12-20,-0.093170166015625,0,4
2013-12-21,2.9295196533203125,2,7
2013-12-22,-1.54669189453125,1,1
2013-12-23,-0.412933349609375,0,4
2013-12-24,0.799407958984375,0,1
2013-12-25,-0.6280975341796875,0,1
2013-12-26,-0.20703125,0,1
2013-12-27,1.8759765625,0,1
2013-12-28,-0.08740234375,0,0
