,saltstack/salt,cfengine/core,ansible/ansible
2016-05-05,32,0,12
2016-05-06,24,0,10
2016-05-07,1,0,2
2016-05-08,0,0,0
2016-05-09,20,4,9
2016-05-10,24,2,14
2016-05-11,12,7,11
2016-05-12,27,3,33
2016-05-13,24,0,22
2016-05-14,0,0,8
2016-05-15,3,0,1
2016-05-16,32,1,19
2016-05-17,26,0,11
2016-05-18,11,2,25
2016-05-19,41,0,13
2016-05-20,27,0,8
2016-05-21,0,0,3
2016-05-22,0,0,1
2016-05-23,75,1,11
2016-05-24,40,2,14
2016-05-25,53,17,12
2016-05-26,50,2,10
2016-05-27,49,0,8
2016-05-28,8,0,2
2016-05-29,15,0,0
2016-05-30,19,1,0
2016-05-31,53,0,15
2016-06-01,63,1,32
2016-06-02,76,2,27
2016-06-03,60,1,13
2016-06-04,5,0,13
2016-06-05,12,0,1
2016-06-06,50,2,21
2016-06-07,32,0,14
2016-06-08,46,8,8
2016-06-09,47,0,9
2016-06-10,29,11,9
2016-06-11,8,1,0
2016-06-12,6,0,0
2016-06-13,54,4,11
2016-06-14,62,1,20
2016-06-15,43,0,18
2016-06-16,28,2,7
2016-06-17,33,0,15
2016-06-18,4,0,4
2016-06-19,0,0,1
2016-06-20,34,0,11
2016-06-21,47,0,4
2016-06-22,43,0,10
2016-06-23,34,6,14
2016-06-24,41,6,9
2016-06-25,11,0,1
2016-06-26,0,0,0
2016-06-27,29,1,9
2016-06-28,46,4,15
2016-06-29,31,5,8
2016-06-30,39,0,8
2016-07-01,14,1,10
2016-07-02,4,0,5
2016-07-03,0,0,3
2016-07-04,3,6,4
2016-07-05,37,3,21
2016-07-06,131,4,21
2016-07-07,49,1,19
2016-07-08,39,9,10
2016-07-09,6,0,10
2016-07-10,2,0,3
2016-07-11,40,2,9
2016-07-12,37,5,7
2016-07-13,49,4,2
2016-07-14,46,2,10
2016-07-15,42,3,12
2016-07-16,25,0,0
2016-07-17,12,0,0
2016-07-18,64,1,3
2016-07-19,44,0,1
2016-07-20,103,2,5
2016-07-21,50,0,7
2016-07-22,56,5,3
2016-07-23,5,0,8
2016-07-24,20,0,4
2016-07-25,49,0,8
2016-07-26,71,5,6
2016-07-27,75,4,1
2016-07-28,52,0,4
2016-07-29,39,0,7
2016-07-30,15,1,1
2016-07-31,7,0,1
2016-08-01,67,0,3
2016-08-02,99,0,4
2016-08-03,33,0,2
2016-08-04,25,0,21
2016-08-05,44,2,8
2016-08-06,51,0,2
2016-08-07,10,0,0
2016-08-08,34,4,20
2016-08-09,72,0,9
2016-08-10,59,0,7
2016-08-11,54,0,12
2016-08-12,31,0,10
2016-08-13,1,1,2
2016-08-14,3,0,0
2016-08-15,35,0,13
2016-08-16,59,0,10
2016-08-17,66,0,11
2016-08-18,49,0,12
2016-08-19,22,1,12
2016-08-20,40,0,17
2016-08-21,18,0,2
2016-08-22,72,0,8
2016-08-23,75,0,23
2016-08-24,36,0,28
2016-08-25,24,0,22
2016-08-26,29,0,22
2016-08-27,5,0,4
2016-08-28,2,0,0
2016-08-29,94,0,12
2016-08-30,59,0,12
2016-08-31,56,0,40
2016-09-01,53,0,13
2016-09-02,40,2,11
2016-09-03,24,0,8
2016-09-04,3,0,8
2016-09-05,2,0,3
2016-09-06,54,0,22
2016-09-07,40,1,22
2016-09-08,86,0,12
2016-09-09,34,6,23
2016-09-10,11,0,4
2016-09-11,11,0,4
2016-09-12,47,7,40
2016-09-13,37,1,19
2016-09-14,49,11,18
2016-09-15,55,2,17
2016-09-16,31,6,18
2016-09-17,15,0,12
2016-09-18,9,0,0
2016-09-19,58,0,26
2016-09-20,42,3,24
2016-09-21,46,2,11
2016-09-22,43,5,14
2016-09-23,43,8,21
2016-09-24,6,0,3
2016-09-25,5,2,1
2016-09-26,33,7,4
2016-09-27,53,3,11
2016-09-28,73,1,19
2016-09-29,65,22,9
2016-09-30,43,1,20
2016-10-01,11,0,2
2016-10-02,2,0,8
2016-10-03,26,3,20
2016-10-04,23,17,8
2016-10-05,41,3,8
2016-10-06,28,26,9
2016-10-07,37,22,3
2016-10-08,11,0,2
2016-10-09,5,0,2
2016-10-10,24,6,4
2016-10-11,31,9,4
2016-10-12,43,0,5
2016-10-13,34,0,110
2016-10-14,31,0,11
2016-10-15,3,0,8
2016-10-16,3,0,1
2016-10-17,42,0,11
2016-10-18,42,1,10
2016-10-19,31,0,11
2016-10-20,59,0,11
2016-10-21,57,3,16
2016-10-22,14,3,3
2016-10-23,9,0,10
2016-10-24,65,0,19
2016-10-25,73,0,14
