,mlpack/mlpack,statsmodels/statsmodels,scikit-learn/scikit-learn
2018-04-05,8.0,4,1
2018-04-06,7.199999999999999,10,2
2018-04-07,4.839999999999999,1,0
2018-04-08,-0.18800000000000106,0,0
2018-04-09,4.2367,0,2
2018-04-10,6.989766,2,1
2018-04-11,2.5882949,1,2
2018-04-12,-0.2139086699999998,3,2
2018-04-13,7.128302600875001,12,3
2018-04-14,-0.4283452644124992,5,2
2018-04-15,4.098411542868751,1,0
2018-04-16,11.921144490518751,2,5
2018-04-17,10.067445212385937,12,2
2018-04-18,-0.25317406430468825,12,1
2018-04-19,2.5482168814,23,1
2018-04-20,3.673728444340626,4,1
2018-04-21,3.6436831345890637,2,3
2018-04-22,-0.3770597770531241,11,2
2018-04-23,6.059213881135939,3,5
2018-04-24,2.618889788117188,7,0
2018-04-25,4.773763468345313,7,7
2018-04-26,3.6891460460375,8,4
2018-04-27,2.7788962491156255,9,0
2018-04-28,-0.14153471897187453,2,0
2018-04-29,-0.8040056115078117,5,0
2018-04-30,7.459120500554689,4,0
2018-05-01,0.8095423463546878,3,0
2018-05-02,2.1254330401859383,3,3
2018-05-03,3.1667614305125,2,3
2018-05-04,7.08692852220625,0,5
2018-05-05,3.6728797890078124,4,0
2018-05-06,-1.216680823159375,0,3
2018-05-07,0.2925273024640629,4,2
2018-05-08,1.389513065875001,4,1
2018-05-09,1.3504969149312511,2,2
2018-05-10,3.4057427208812507,0,0
2018-05-11,8.214308057829687,2,1
2018-05-12,1.6399478544812496,1,1
2018-05-13,-0.020752897865625064,7,0
2018-05-14,4.314204516070313,9,0
2018-05-15,4.060990769484375,2,2
2018-05-16,5.937090828932813,4,1
2018-05-17,12.664720021396874,2,0
2018-05-18,4.828670489115624,32,3
2018-05-19,6.120450421465625,40,0
2018-05-20,5.079580379379688,2,1
2018-05-21,5.182364335626564,2,0
2018-05-22,0.18288501363593834,0,2
2018-05-23,12.655622873492188,1,4
2018-05-24,-1.319489788789062,2,4
2018-05-25,-0.42015507372031125,3,3
2018-05-26,0.9364119658875012,9,1
2018-05-27,4.099863066873439,4,0
2018-05-28,0.8970540898531261,1,0
2018-05-29,-0.8510049763609369,10,3
2018-05-30,1.4636558962171882,1,9
2018-05-31,7.432444203959376,4,3
