,mlpack/mlpack,statsmodels/statsmodels,scikit-learn/scikit-learn
2010-04-05,2.0,1,0
2010-04-06,0.20000000000000018,0,4
2010-04-07,1.36,0,0
2010-04-08,0.9520000000000001,1,8
2010-04-09,-1.1872,1,0
2010-04-10,-0.46950400000000003,0,0
2010-04-11,1.7129215999999998,4,0
2010-04-12,1.99719168,14,0
2010-04-13,2.4054876160000003,3,3
2010-04-14,13.7885804544,1,9
2010-04-15,-5.235050700799999,0,5
2010-04-16,-3.2166117376,4,0
2010-04-17,-1.5917787136000003,6,0
2010-04-18,-1.0190387200000008,3,0
2010-04-19,-0.7397079040000003,2,9
2010-04-20,3.4281391104,1,15
2010-04-21,0.9611273216000003,1,16
2010-04-22,-2.0104251391999997,1,13
2010-04-23,-0.8510819327999999,0,7
2010-04-24,1.6160036863999998,14,0
2010-04-25,0.955392,1,1
2010-04-26,-1.2217087999999998,1,1
2010-04-27,0.48962816,0,0
2010-04-28,10.273065472,0,2
2010-04-29,-1.7597637631999987,0,7
2010-04-30,-1.7282248703999996,0,4
2010-05-01,-1.58826752,0,0
2010-05-02,-0.8666045440000004,11,0
2010-05-03,2.4028570624,12,10
2010-05-04,1.3719819264000002,13,10
2010-05-05,-0.8760734719999996,0,8
2010-05-06,2.7904141312000004,0,11
2010-05-07,-1.2414174207999995,0,23
2010-05-08,-1.2122061824,0,1
2010-05-09,1.4108562432,0,6
2010-05-10,-1.18435328,7,4
2010-05-11,2.475049984,0,0
2010-05-12,3.4479630336000002,2,6
2010-05-13,-0.5931956223999997,0,2
2010-05-14,3.2563044352,0,1
2010-05-15,-1.7970747391999997,4,1
2010-05-16,-1.4753952768,4,0
2010-05-17,2.2278389759999997,3,6
2010-05-18,-1.7274279936,5,2
2010-05-19,-0.7346063360000001,1,0
2010-05-20,1.5123178496,6,3
2010-05-21,-0.13391820799999987,6,0
2010-05-22,-0.8496014336,7,0
2010-05-23,-0.396036096,0,0
2010-05-24,11.7848901632,0,3
2010-05-25,7.053028864000001,0,1
2010-05-26,-1.354272870399999,0,4
2010-05-27,-2.26770432,1,19
2010-05-28,-0.7158819840000006,3,5
2010-05-29,-2.259376025600001,0,6
2010-05-30,-1.2237805568000004,0,2
2010-05-31,-0.8569651200000001,3,2
2010-06-01,5.339764736,0,2
2010-06-02,-1.9331296255999995,0,7
2010-06-03,6.5679760384,0,3
2010-06-04,-3.8350433279999994,2,3
2010-06-05,0.6704922623999998,0,0
2010-06-06,-0.5589083135999999,0,0
2010-06-07,-0.1405312000000003,2,2
2010-06-08,4.97919744,5,0
2010-06-09,5.039789568000001,8,3
2010-06-10,-4.324413132799999,4,10
2010-06-11,-1.5955222528,0,1
2010-06-12,-0.9536415744000003,2,0
2010-06-13,-0.5841571840000004,0,0
2010-06-14,0.5634822143999998,6,2
2010-06-15,0.2781171712000001,3,3
2010-06-16,3.2293030912000003,8,13
2010-06-17,2.0179653632000005,4,6
2010-06-18,11.712014745600001,3,3
2010-06-19,-6.407551999999999,0,0
2010-06-20,-1.1553152,0,0
2010-06-21,1.3764582399999998,4,7
2010-06-22,2.8524129279999997,6,11
2010-06-23,9.9633830912,0,14
2010-06-24,-4.501988044799999,0,0
2010-06-25,-0.2037553152,1,8
2010-06-26,-2.8561917952,0,13
2010-06-27,-1.4449943552000004,1,2
2010-06-28,-0.8496593920000004,3,7
2010-06-29,-0.6333436928000002,2,0
2010-06-30,0.5112272896000001,7,0
2010-07-01,-0.7666457599999997,3,2
2010-07-02,-0.3717991423999999,0,1
2010-07-03,-0.13506344959999997,0,5
2010-07-04,-0.07999447040000005,0,9
2010-07-05,-0.029952000000000017,0,1
2010-07-06,-0.022963200000000007,0,11
2010-07-07,1.98162944,5,9
2010-07-08,-0.8151557119999998,2,3
2010-07-09,0.7472018432,4,0
2010-07-10,-0.5279999999999999,0,6
2010-07-11,-0.2032000000000001,0,0
2010-07-12,-0.12390400000000004,2,0
2010-07-13,1.9124736,4,1
2010-07-14,1.1333068800000001,5,2
2010-07-15,-0.09327462399999975,1,3
2010-07-16,0.18803312640000014,13,42
2010-07-17,-0.746355712,0,3
2010-07-18,-0.33990215680000013,0,6
2010-07-19,-0.2114304000000001,3,2
2010-07-20,-0.15421952000000005,2,5
2010-07-21,-0.119967744,2,1
2010-07-22,-0.09724149759999998,1,2
2010-07-23,-0.05912258559999998,6,1
2010-07-24,-0.02795386879999999,0,2
2010-07-25,-0.012798156799999997,0,0
2010-07-26,0.0,2,14
2010-07-27,3.0,0,74
2010-07-28,-1.1999999999999997,0,18
2010-07-29,-0.36,1,4
2010-07-30,-0.192,0,4
2010-07-31,-0.12480000000000013,2,8
2010-08-01,-0.08985600000000005,0,6
2010-08-02,-0.06888960000000002,1,1
2010-08-03,-0.05511167999999998,4,0
2010-08-04,-0.04546713599999998,0,4
2010-08-05,3.9616055296,0,4
2010-08-06,-1.5999999999999996,2,4
2010-08-07,0.52,0,1
2010-08-08,0.3440000000000001,0,17
2010-08-09,3.3136,1,0
2010-08-10,0.09619200000000028,0,0
2010-08-11,3.5225472,0,4
2010-08-12,4.35896576,0,1
2010-08-13,-0.8079380479999996,3,16
2010-08-14,0.3444656128000001,0,1
2010-08-15,2.598716928,0,2
2010-08-16,3.8596774912000003,4,5
2010-08-17,-0.15144212479999908,2,13
2010-08-18,-2.3087552511999996,2,38
2010-08-19,3.0752856063999996,1,17
2010-08-20,-2.111042048,0,22
2010-08-21,-1.7450459136000003,0,3
2010-08-22,-0.9378648064,0,11
2010-08-23,-0.6365717504000004,0,9
2010-08-24,2.542113792,0,3
2010-08-25,1.4866514944000002,1,8
2010-08-26,1.2588356608000004,0,10
2010-08-27,0.14105272320000029,3,16
2010-08-28,-1.5559464959999998,0,0
2010-08-29,-0.6594541568000002,0,0
2010-08-30,-0.4115456000000002,0,6
2010-08-31,-0.29705728000000015,1,20
2010-09-01,-0.22937241600000002,3,8
2010-09-02,0.8151003136,1,8
2010-09-03,-0.5206027263999998,0,14
2010-09-04,-0.18870589439999996,0,6
2010-09-05,-0.08959631359999999,0,10
2010-09-06,-0.04160000000000005,0,24
2010-09-07,-0.029952000000000017,2,8
2010-09-08,1.9770368,2,54
2010-09-09,-0.8183705599999999,0,61
2010-09-10,-0.255155712,0,11
2010-09-11,-0.1407981568,7,23
2010-09-12,-0.0832000000000001,5,1
2010-09-13,1.940096,6,3
2010-09-14,-0.8459263999999999,0,29
2010-09-15,0.72325888,9,12
2010-09-16,1.4416885760000002,1,19
2010-09-17,-1.0287963136,4,7
2010-09-18,-0.363904,0,2
2010-09-19,0.7844735999999999,7,1
2010-09-20,-0.54989312,2,6
2010-09-21,-0.23317862400000003,1,4
2010-09-22,1.8461067264,5,1
2010-09-23,-0.8934968319999999,2,0
2010-09-24,0.6869384192,10,0
2010-09-25,-0.5765595135999999,0,0
2010-09-26,-0.22157056000000008,0,0
2010-09-27,-0.13905971200000003,0,8
2010-09-28,-0.10032455680000005,2,10
2010-09-29,0.93330688,4,12
2010-09-30,1.5467253760000002,3,7
2010-10-01,0.036033126400000226,3,17
2010-10-02,1.2808442880000002,0,0
2010-10-03,7.8976018432,3,0
2010-10-04,0.9828480000000006,4,12
2010-10-05,5.6675328,0,11
2010-10-06,-1.9534489599999993,2,19
2010-10-07,-0.10916403200000024,6,4
2010-10-08,1.2790254591999997,4,7
2010-10-09,4.0396780543999995,1,0
2010-10-10,-4.1896286208,6,0
2010-10-11,8.2288246784,11,10
2010-10-12,-2.129442611199999,4,7
2010-10-13,-0.13540147199999986,5,5
2010-10-14,5.2827209728,3,4
2010-10-15,1.5139137536000007,6,2
2010-10-16,-0.20393123839999916,9,0
2010-10-17,6.5664293888000005,8,0
2010-10-18,2.3711617024000002,1,10
2010-10-19,1.5792256,0,8
2010-10-20,6.8416220160000005,1,21
2010-10-21,-3.0564132863999998,0,25
2010-10-22,-1.4820363264000003,0,10
2010-10-23,-1.4752497664000002,0,2
2010-10-24,-0.6296869888000005,9,24
2010-10-25,-0.26828062720000023,0,21
2010-10-26,4.934012416,0,15
2010-10-27,10.1381692416,0,5
2010-10-28,-0.12493148159999912,0,3
2010-10-29,-2.3863428095999994,9,1
2010-10-30,4.5335687168,5,4
2010-10-31,5.0485625856,1,16
2010-11-01,20.884080742400002,0,49
2010-11-02,-7.352450457599996,0,8
2010-11-03,-4.2522725376,0,15
2010-11-04,-3.8028665856000003,2,13
2010-11-05,-3.090801459200001,0,8
2010-11-06,-0.8819547136000008,0,4
2010-11-07,1.2681358335999997,0,30
2010-11-08,-1.3391826943999994,1,4
2010-11-09,3.4297492480000003,3,7
2010-11-10,1.1318406144000006,5,5
2010-11-11,-2.5593786368,0,4
2010-11-12,-0.007969382400000224,6,23
2010-11-13,1.0059896831999997,12,19
2010-11-14,-1.3293905920000002,4,15
2010-11-15,9.3847401472,1,15
2010-11-16,-1.4068557823999992,6,10
2010-11-17,1.3247890432,13,7
2010-11-18,8.192519168,1,4
2010-11-19,4.396510412800001,2,9
2010-11-20,2.947783168000001,12,3
2010-11-21,-5.0329975808,3,3
2010-11-22,2.0244004863999994,9,25
2010-11-23,-2.7399936000000005,8,11
2010-11-24,-2.2374461440000006,5,12
2010-11-25,6.718106521599999,5,16
2010-11-26,2.8897681408,0,9
2010-11-27,-3.4319950847999996,23,14
2010-11-28,-2.1795215359999998,2,10
2010-11-29,4.8540448768,5,7
2010-11-30,0.8982367232000001,7,7
2010-12-01,0.1658839040000002,1,17
2010-12-02,2.5855429632,1,5
2010-12-03,2.8615971840000003,3,8
2010-12-04,0.23504220160000022,1,2
2010-12-05,9.8728699904,3,5
2010-12-06,10.423269683200001,7,5
2010-12-07,-4.248666111999999,1,12
2010-12-08,-2.5254514688,2,8
2010-12-09,-2.8748997632000006,5,11
2010-12-10,7.507174809599999,1,20
2010-12-11,3.443887104,0,3
2010-12-12,1.0948365312000004,0,19
2010-12-13,-2.3267884031999992,0,11
2010-12-14,4.353282457600001,1,14
