,vercel/next.js,gohugoio/hugo,gatsbyjs/gatsby
2017-01-05,12,6,3.0
2017-01-06,6,6,1.4000000000000001
2017-01-07,4,2,-0.6400000000000001
2017-01-08,5,1,-0.30400000000000027
2017-01-09,4,0,5.8032
2017-01-10,5,1,-1.3438079999999997
2017-01-11,2,3,6.4076416
2017-01-12,10,0,8.22036224
2017-01-13,3,0,4.161383424
2017-01-14,1,1,-2.755399475200001
2017-01-15,5,2,-1.4227115008000009
2017-01-16,15,0,-0.9523123200000005
2017-01-17,4,0,0.28011212800000007
2017-01-18,2,4,2.2236568576
2017-01-19,3,0,4.907017216
2017-01-20,12,1,2.162350387200001
2017-01-21,4,0,-1.6830074879999994
2017-01-22,5,1,0.17837854719999968
2017-01-23,2,2,-0.6906368000000002
2017-01-24,2,1,14.55417088
2017-01-25,2,0,1.6621153280000005
2017-01-26,7,1,-2.472508006400001
2017-01-27,3,1,0.6630227967999995
2017-01-28,3,0,1.7032042496000002
2017-01-29,3,1,-1.3778441216000001
2017-01-30,1,0,-0.7844997120000005
2017-01-31,3,0,-0.5797141504000003
2017-02-01,2,0,0.5476787200000008
2017-02-02,11,0,1.4235555840000007
2017-02-03,5,2,2.362513408
2017-02-04,1,6,7.112444416
2017-02-05,4,2,-2.0377018367999997
2017-02-06,2,2,15.085855948799999
2017-02-07,1,1,11.2436992
2017-02-08,6,0,1.3168076800000001
2017-02-09,14,2,9.518184448
2017-02-10,2,4,-3.5930553344000007
2017-02-11,2,1,-2.644091596800002
2017-02-12,8,1,-1.7680105472000003
2017-02-13,3,1,-1.3150303232000002
2017-02-14,8,0,1.0277550080000006
2017-02-15,16,1,-1.2079960063999986
2017-02-16,14,1,-0.6738426879999994
2017-02-17,8,14,1.625216921600001
2017-02-18,5,8,-0.6436892671999994
2017-02-19,2,8,-0.22354135040000012
2017-02-20,2,4,-0.13685760000000008
2017-02-21,4,17,-0.10105344000000005
2017-02-22,1,4,8.920152576
2017-02-23,2,3,-1.8657963007999996
2017-02-24,1,3,-0.7538534400000007
2017-02-25,3,4,-0.4607754240000002
2017-02-26,7,2,-0.32733870080000005
2017-02-27,8,6,5.770176
2017-02-28,8,5,-1.3838591999999998
2017-03-01,3,9,0.36765951999999946
2017-03-02,4,3,1.3825105920000005
2017-03-03,1,1,0.2061758464000003
2017-03-04,1,3,1.4387839999999998
2017-03-05,3,3,-0.7321728000000001
2017-03-06,6,0,-0.40229632000000026
2017-03-07,4,1,0.7125729280000002
2017-03-08,2,3,-0.4253364223999998
2017-03-09,0,2,2.800258048
2017-03-10,2,4,1.2529709056000002
2017-03-11,0,4,1.2532201472
2017-03-12,3,1,0.22921922559999997
2017-03-13,5,4,-0.6021675008000001
2017-03-14,5,5,3.6632652799999996
