,scala/scala,apache/groovy,jetbrains/kotlin
2011-10-22,4,1,1
2011-10-23,2,0,6
2011-10-24,9,15,16
2011-10-25,2,51,4
2011-10-26,0,5,5
2011-10-27,2,9,18
2011-10-28,5,8,18
2011-10-29,7,0,0
2011-10-30,0,0,2
2011-10-31,8,1,30
2011-11-01,4,2,24
2011-11-02,1,6,23
2011-11-03,3,1,40
2011-11-04,10,7,32
2011-11-05,1,0,3
2011-11-06,3,1,1
2011-11-07,9,11,28
2011-11-08,7,14,13
2011-11-09,2,6,39
2011-11-10,7,0,30
2011-11-11,8,0,8
2011-11-12,0,0,26
2011-11-13,13,0,3
2011-11-14,5,0,25
2011-11-15,5,8,17
2011-11-16,7,1,24
2011-11-17,0,1,17
2011-11-18,5,0,19
2011-11-19,5,2,2
2011-11-20,1,1,1
2011-11-21,4,10,7
2011-11-22,13,0,18
2011-11-23,11,10,36
2011-11-24,8,7,41
2011-11-25,1,6,38
2011-11-26,1,4,2
2011-11-27,5,0,0
2011-11-28,7,4,29
2011-11-29,8,5,21
2011-11-30,4,5,19
2011-12-01,16,1,24
2011-12-02,21,1,26
2011-12-03,4,4,5
2011-12-04,9,0,1
2011-12-05,24,19,13
2011-12-06,13,4,22
2011-12-07,26,7,35
2011-12-08,10,5,36
2011-12-09,17,4,17
2011-12-10,11,2,1
2011-12-11,2,4,4
2011-12-12,16,4,23
2011-12-13,15,2,28
2011-12-14,5,10,38
2011-12-15,0,7,20
2011-12-16,5,19,46
2011-12-17,0,0,3
2011-12-18,3,0,3
2011-12-19,1,9,18
2011-12-20,5,8,36
2011-12-21,6,10,27
2011-12-22,6,2,12
2011-12-23,6,7,12
2011-12-24,7,0,1
2011-12-25,6,1,8
2011-12-26,3,3,11
2011-12-27,4,8,29
2011-12-28,26,5,3
2011-12-29,1,6,26
2011-12-30,9,1,34
2011-12-31,3,2,0
2012-01-01,1,3,0
2012-01-02,8,3,5
2012-01-03,4,12,11
2012-01-04,4,17,18
2012-01-05,15,19,3
2012-01-06,7,17,21
2012-01-07,10,8,5
2012-01-08,4,4,6
2012-01-09,4,3,2
2012-01-10,9,0,19
2012-01-11,3,8,12
2012-01-12,14,0,22
2012-01-13,7,11,13
2012-01-14,10,5,4
2012-01-15,8,1,9
2012-01-16,8,14,15
2012-01-17,9,9,21
2012-01-18,4,27,38
2012-01-19,10,3,16
2012-01-20,15,0,14
2012-01-21,6,1,1
2012-01-22,2,0,8
2012-01-23,10,3,19
2012-01-24,15,19,24
2012-01-25,15,6,39
2012-01-26,9,13,20
2012-01-27,5,4,51
2012-01-28,11,1,15
2012-01-29,6,6,2
2012-01-30,31,4,39
2012-01-31,8,6,25
2012-02-01,23,13,16
2012-02-02,13,16,20
2012-02-03,19,6,30
2012-02-04,11,4,7
2012-02-05,33,9,9
2012-02-06,20,11,26
2012-02-07,6,23,24
2012-02-08,9,15,62
2012-02-09,3,4,26
2012-02-10,1,3,18
2012-02-11,1,0,4
2012-02-12,7,11,7
2012-02-13,5,5,32
2012-02-14,18,16,15
2012-02-15,28,10,12
2012-02-16,6,3,8
2012-02-17,17,7,22
2012-02-18,4,0,0
2012-02-19,14,4,7
2012-02-20,10,1,38
2012-02-21,7,1,50
2012-02-22,21,7,30
2012-02-23,25,6,27
2012-02-24,4,7,36
2012-02-25,5,2,0
2012-02-26,2,0,2
2012-02-27,7,6,21
2012-02-28,8,9,18
2012-02-29,7,6,66
2012-03-01,7,3,30
2012-03-02,8,2,43
2012-03-03,6,3,7
2012-03-04,3,2,0
2012-03-05,13,5,22
2012-03-06,20,4,45
2012-03-07,16,2,54
2012-03-08,4,3,22
2012-03-09,5,6,37
2012-03-10,0,3,23
2012-03-11,3,1,14
2012-03-12,2,0,40
2012-03-13,0,1,37
2012-03-14,13,5,40
2012-03-15,10,10,10
2012-03-16,26,1,25
2012-03-17,2,0,12
2012-03-18,3,0,3
2012-03-19,10,6,35
2012-03-20,25,5,13
2012-03-21,14,2,31
2012-03-22,8,4,7
2012-03-23,29,0,25
2012-03-24,2,0,8
2012-03-25,4,0,1
2012-03-26,4,1,28
2012-03-27,15,0,22
2012-03-28,7,2,61
2012-03-29,4,8,27
2012-03-30,13,7,28
2012-03-31,4,0,1
2012-04-01,3,0,2
2012-04-02,5,2,42
2012-04-03,8,0,27
2012-04-04,4,4,39
2012-04-05,5,7,20
2012-04-06,20,8,21
2012-04-07,2,0,31
2012-04-08,3,0,29
2012-04-09,3,0,28
2012-04-10,7,2,13
