,highcharts/highcharts,plotly/plotly.js,apache/echarts
2017-08-31,31,1,6.0
2017-09-01,16,3,0.8000000000000003
2017-09-02,0,0,-0.8800000000000003
2017-09-03,0,0,-0.44800000000000034
2017-09-04,13,0,0.7023999999999999
2017-09-05,15,7,-0.42041600000000007
2017-09-06,11,5,4.7463552
2017-09-07,2,1,-1.19041792
2017-09-08,4,1,7.446220288
2017-09-09,0,0,-1.9691275263999994
2017-09-10,0,0,-0.8533675008000006
2017-09-11,11,1,1.4713932799999996
2017-09-12,15,2,-0.7853317120000001
2017-09-13,21,25,1.5386090495999998
2017-09-14,21,3,1.2686310400000003
2017-09-15,14,6,5.175039488
2017-09-16,4,0,-1.6221736959999995
2017-09-17,0,0,-0.7838124032000002
2017-09-18,13,3,-0.44012544000000026
2017-09-19,9,15,-0.322305024
2017-09-20,15,23,-0.2528657408
2017-09-21,4,4,-0.18520166399999996
2017-09-22,5,28,0.8447255552000001
2017-09-23,0,0,-0.31126497279999954
2017-09-24,0,0,-0.15481610239999985
2017-09-25,9,9,4.952
2017-09-26,25,2,3.9664
2017-09-27,14,10,2.574464
2017-09-28,36,15,1.5395711999999997
2017-09-29,41,3,-1.3449267200000004
2017-09-30,16,5,-0.7420677120000004
2017-10-01,3,0,-0.5206933504000003
2017-10-02,42,8,-0.3897216000000002
2017-10-03,19,20,-0.31489535999999985
2017-10-04,24,23,-0.2632785919999996
2017-10-05,13,27,-0.17067775999999962
2017-10-06,9,19,-0.09304053759999967
2017-10-07,11,0,-0.03740805119999989
2017-10-08,3,0,0.0
2017-10-09,0,12,2.0
2017-10-10,3,9,1.6
2017-10-11,1,0,4.4399999999999995
2017-10-12,7,5,11.744
2017-10-13,11,1,-0.16320000000000023
2017-10-14,3,0,1.0017279999999988
2017-10-15,13,1,-1.7239296000000006
2017-10-16,7,14,2.9768089599999996
2017-10-17,10,9,0.4584591359999999
2017-10-18,12,14,-0.3013301248000002
2017-10-19,13,14,-1.0068190208
2017-10-20,9,19,2.3281464320000005
2017-10-21,1,0,-1.0733888511999994
2017-10-22,3,0,2.5130416128
2017-10-23,6,23,1.0844914688
2017-10-24,1,14,2.147366912
2017-10-25,0,7,-1.0761875455999999
2017-10-26,1,13,1.4625871871999998
2017-10-27,0,8,0.24894248959999987
2017-10-28,3,0,-0.6163215360000001
2017-10-29,4,0,-0.38165381120000014
2017-10-30,11,1,1.746497024
2017-10-31,11,15,5.3983643648
2017-11-01,13,6,11.5055045632
2017-11-02,9,25,-0.2676902912000001
2017-11-03,13,4,7.959097855999999
2017-11-04,4,0,-1.1559984128000003
2017-11-05,6,0,3.012657049599999
2017-11-06,7,1,6.77080576
2017-11-07,4,0,-1.104518144
2017-11-08,7,1,6.9248412672
2017-11-09,8,0,-0.12799651839999893
2017-11-10,11,0,7.738530508799999
2017-11-11,2,0,-2.2863066111999997
2017-11-12,0,0,2.0805662719999996
2017-11-13,5,4,1.0193006591999998
2017-11-14,8,6,-0.7901567999999997
2017-11-15,15,15,1.7244135424
2017-11-16,5,12,0.6065677312000002
2017-11-17,0,8,-0.23602728959999997
2017-11-18,0,0,-0.8941350911999996
2017-11-19,0,0,-0.5704104959999998
2017-11-20,6,6,0.6669628416000002
2017-11-21,4,2,-0.4559256575999997
2017-11-22,5,3,-0.24896952319999996
2017-11-23,2,2,0.8420852736000002
2017-11-24,0,4,0.6832898048000002
2017-11-25,0,0,-0.3448624127999999
2017-11-26,0,0,-0.16089815040000008
2017-11-27,9,8,4.90147328
2017-11-28,1,6,5.926476288
2017-11-29,3,1,4.1415658496
2017-11-30,0,0,-1.0373555200000002
2017-12-01,2,1,0.7846855679999993
2017-12-02,0,0,1.8422629375999997
2017-12-03,0,0,-1.3029653504
2017-12-04,10,1,4.2495487999999995
2017-12-05,25,1,1.4502656000000003
2017-12-06,11,1,5.563078144
2017-12-07,15,11,-0.18800404479999955
2017-12-08,5,14,3.5436563455999996
