,flutter/flutter,NativeScript/NativeScript,facebook/react-native
2015-04-30,0,3,18.0
2015-05-01,0,0,3.1999999999999984
2015-05-02,0,0,10.69
2015-05-03,0,0,3.061999999999998
2015-05-04,1,5,6.445575000000001
2015-05-05,0,7,17.239586
2015-05-06,0,0,12.032050025
2015-05-07,0,2,21.854789905
2015-05-08,0,6,8.65197398446875
2015-05-09,0,0,-3.7719768282249992
2015-05-10,0,0,0.7687656498828144
2015-05-11,0,11,2.0837306469906287
2015-05-12,1,4,-1.733282433054684
2015-05-13,3,8,48.780537726165626
2015-05-14,4,8,30.07246103783281
2015-05-15,1,11,14.50959108532031
2015-05-16,0,0,-0.5833124201015654
2015-05-17,0,0,-1.699239221717185
2015-05-18,3,11,10.35373277595313
2015-05-19,9,13,-1.2681859346703082
2015-05-20,1,6,6.654123077356254
2015-05-21,5,8,3.3634002717187528
2015-05-22,0,6,10.573974420890629
2015-05-23,1,0,4.337571479128126
2015-05-24,0,0,-1.0917070233328117
2015-05-25,0,14,2.7138012850390636
2015-05-26,5,5,12.708355720725002
2015-05-27,9,11,6.730207699751563
2015-05-28,12,4,22.8819393877875
2015-05-29,2,9,16.22788156033281
2015-05-30,0,0,3.9991589293312497
2015-05-31,0,1,6.935997979673438
2015-06-01,3,7,10.111383509232814
2015-06-02,10,11,14.885389285401565
2015-06-03,10,9,20.2459196288875
2015-06-04,16,3,2.3396595911062503
2015-06-05,4,2,5.635252476785939
2015-06-06,0,0,1.8978499812890646
2015-06-07,0,0,2.5829318201562534
2015-06-08,9,4,6.943052273306252
2015-06-09,10,3,14.709768822937502
2015-06-10,12,3,6.864339235251563
2015-06-11,13,11,17.217670905728127
2015-06-12,5,4,38.36474976927813
2015-06-13,3,0,-3.147498578642189
2015-06-14,0,0,-3.537967581651562
2015-06-15,5,10,14.68014919349219
2015-06-16,10,3,5.576017958929691
2015-06-17,10,19,7.98368079341094
2015-06-18,12,33,7.949007676732814
2015-06-19,4,1,11.016461434328127
2015-06-20,0,0,3.728425463875001
2015-06-21,0,0,-1.6210492080562484
2015-06-22,10,0,17.449180743642188
2015-06-23,11,2,9.981654024984376
2015-06-24,10,2,13.950519893498438
2015-06-25,13,9,18.552880300254685
2015-06-26,11,14,1.8107110939328122
2015-06-27,0,0,1.0335076036359387
2015-06-28,0,0,-1.3035143103624978
2015-06-29,1,9,2.370193577982816
2015-06-30,2,5,11.40428743641719
2015-07-01,2,9,8.550026121364064
2015-07-02,1,4,4.520990703267188
2015-07-03,0,4,6.863239643045313
2015-07-04,0,0,-2.1613009313843743
2015-07-05,0,0,-0.1937133635281234
2015-07-06,8,22,9.062933579340626
2015-07-07,1,18,13.320547956651563
2015-07-08,4,6,13.504301024403125
2015-07-09,2,10,12.008786987610936
2015-07-10,2,9,13.870549414745312
2015-07-11,0,0,-3.460173797392188
2015-07-12,0,0,-1.9831547440734356
2015-07-13,0,6,10.629759036984378
2015-07-14,1,11,16.725906623557815
2015-07-15,0,23,13.68357270190625
2015-07-16,8,17,6.433764547460937
2015-07-17,18,4,10.979050827940625
2015-07-18,8,0,-2.209132609304687
2015-07-19,0,0,-1.973205393110935
2015-07-20,10,12,6.6921876575000026
2015-07-21,34,6,15.171703302562502
2015-07-22,29,10,6.090905861021875
2015-07-23,31,6,9.473438593051563
2015-07-24,22,14,12.338262616732813
2015-07-25,6,0,0.9942648961718756
2015-07-26,0,0,-2.109395598518749
2015-07-27,19,11,20.678596614964064
2015-07-28,15,12,7.799064047125
2015-07-29,17,8,8.097959192196875
2015-07-30,31,10,10.154083147248437
2015-07-31,13,11,3.027462077239064
2015-08-01,4,0,3.6309582893343766
2015-08-02,2,0,1.9011079348984392
2015-08-03,17,25,5.290664384856252
2015-08-04,18,12,7.138191567406252
2015-08-05,13,1,1.8671614797875016
2015-08-06,17,6,6.395320552682813
2015-08-07,39,13,14.192085800401564
2015-08-08,7,0,1.3414150614390623
2015-08-09,0,0,-1.8200126158093746
2015-08-10,27,5,6.849452646471876
2015-08-11,50,8,15.373401082496876
2015-08-12,11,7,6.304904330107813
2015-08-13,30,11,15.629328305114061
2015-08-14,17,4,15.80491089573125
2015-08-15,0,0,1.2886448864625
2015-08-16,0,0,-1.6058982426374988
2015-08-17,26,0,8.270425057356253
2015-08-18,20,6,5.746213547125002
2015-08-19,29,2,12.745357617196877
2015-08-20,26,1,18.075093669748437
2015-08-21,17,1,16.249848651645312
2015-08-22,9,0,-1.1005752866937506
2015-08-23,0,1,-2.5875050845109366
2015-08-24,21,4,0.3515406118046902
2015-08-25,49,7,27.572536509807815
2015-08-26,43,3,13.022334764265626
2015-08-27,24,6,10.182726363228124
2015-08-28,25,18,2.378897676132812
2015-08-29,11,0,-1.7469692523171858
2015-08-30,6,0,1.1893457352343777
2015-08-31,24,5,12.49165793739219
2015-09-01,15,12,18.52228247021875
2015-09-02,21,8,9.399997206225
2015-09-03,29,12,11.637383882692188
2015-09-04,24,26,15.622413684670313
2015-09-05,4,3,1.1693794526531254
2015-09-06,1,0,4.332925058018752
2015-09-07,1,7,5.54522694841719
2015-09-08,9,0,12.54493452642344
2015-09-09,12,8,13.870802502418751
2015-09-10,12,11,9.454531096292188
2015-09-11,21,6,6.700082680548437
2015-09-12,1,1,6.036245195914064
2015-09-13,0,1,-1.7038854870109361
2015-09-14,11,7,12.27225053871094
2015-09-15,4,6,23.35685912187344
2015-09-16,29,7,28.823955485728124
2015-09-17,24,7,6.400804464445311
2015-09-18,24,21,17.77204461268594
2015-09-19,10,1,2.2387670081265636
2015-09-20,1,0,2.5016367862500033
2015-09-21,14,6,4.09551519166094
2015-09-22,28,0,22.317386250245317
2015-09-23,32,5,24.624397799840626
2015-09-24,26,5,29.58189462455
2015-09-25,39,10,11.512984705126561
2015-09-26,11,0,-0.2987968155249998
2015-09-27,3,0,-3.720080461899997
2015-09-28,5,5,0.5485187179046926
2015-09-29,24,11,11.845076674925005
2015-09-30,35,17,8.991198578107817
2015-10-01,42,22,25.891268265398438
2015-10-02,17,5,19.255058225910936
2015-10-03,15,0,2.093716795710937
2015-10-04,1,0,-1.3185914482249994
2015-10-05,26,11,21.748842973570316
2015-10-06,36,6,16.005253413453126
2015-10-07,13,7,13.657584842673439
2015-10-08,24,6,17.591848567059376
2015-10-09,23,18,25.15521639461563
2015-10-10,12,1,3.119761865332813
2015-10-11,4,0,-4.177886344471872
2015-10-12,25,10,21.38790594621719
2015-10-13,26,12,30.66382913255313
2015-10-14,19,17,33.868345471325
2015-10-15,20,20,1.6168208724999982
2015-10-16,17,12,21.993648768009376
2015-10-17,4,0,-0.9266569125093724
2015-10-18,4,0,0.9839450567812555
2015-10-19,27,10,17.872358679676566
2015-10-20,18,10,21.685162368875005
2015-10-21,20,17,31.675365871090627
2015-10-22,16,13,17.215693786867185
2015-10-23,27,6,12.892094970171875
2015-10-24,5,0,1.6346105820046883
2015-10-25,0,0,-3.029029327298433
2015-10-26,38,4,22.28626447599219
2015-10-27,22,2,29.45775109899219
2015-10-28,23,10,27.844137147089064
2015-10-29,31,20,15.135295554987499
2015-10-30,13,20,16.925009377545315
2015-10-31,4,0,5.161367955590626
2015-11-01,1,0,-4.579194898042184
2015-11-02,19,29,13.053744387982817
2015-11-03,39,14,24.18439322457344
2015-11-04,32,6,16.679983346570314
2015-11-05,21,8,22.749044516246876
2015-11-06,20,30,18.185398976184374
2015-11-07,14,0,3.349705386100001
2015-11-08,4,0,-1.1928612514984351
2015-11-09,15,18,18.03945863210469
2015-11-10,30,27,22.80805022175
2015-11-11,24,9,12.681843427487502
2015-11-12,27,12,8.107279197650001
2015-11-13,27,5,16.80084290727188
2015-11-14,4,0,5.3015240628687526
2015-11-15,0,0,-3.7199478792531226
2015-11-16,19,9,13.70014942937969
2015-11-17,31,10,25.708992595314065
2015-11-18,24,10,28.02941020032344
2015-11-19,24,2,6.958213533498435
2015-11-20,33,2,17.4177448389
2015-11-21,9,0,-3.003637118795311
2015-11-22,10,0,-1.192399483410933
2015-11-23,15,20,22.639348722140628
2015-11-24,21,7,32.779750638
2015-11-25,20,15,9.773045643221876
2015-11-26,19,6,22.955838120692185
2015-11-27,2,11,8.204768454610937
2015-11-28,2,0,-3.6516306368109346
2015-11-29,4,0,0.9899311631781291
2015-11-30,15,7,16.51931080014688
2015-12-01,16,10,21.273891508287505
2015-12-02,20,10,20.17466861502344
2015-12-03,23,5,17.775991027920313
2015-12-04,39,10,2.8346773349875
2015-12-05,27,0,2.196853250525002
2015-12-06,0,0,3.043413478981253
2015-12-07,30,3,8.437341104151567
2015-12-08,32,10,19.101228673809377
2015-12-09,26,3,12.902236282676563
2015-12-10,28,10,17.96619424746094
2015-12-11,9,4,13.486247842242188
2015-12-12,7,8,9.678386385048437
2015-12-13,0,0,7.121223986618752
2015-12-14,27,11,18.509042322940626
2015-12-15,30,9,31.556046411612503
2015-12-16,26,9,20.736076124510937
2015-12-17,11,3,10.771664380443749
