,carla-simulator/carla,commaai/openpilot,apolloauto/apollo
2017-09-04,3,0.0,1
2017-09-05,7,0.0,38
2017-09-06,2,0.0,43
2017-09-07,3,0.0,40
2017-09-08,0,0.0,32
2017-09-09,0,0.0,8
2017-09-10,0,0.0,2
2017-09-11,0,0.0,13
2017-09-12,0,0.0,42
2017-09-13,1,0.0,35
2017-09-14,4,0.0,15
2017-09-15,1,0.0,14
2017-09-16,0,0.0,5
2017-09-17,0,0.0,5
2017-09-18,2,0.0,19
2017-09-19,5,0.0,20
2017-09-20,0,0.0,29
2017-09-21,1,0.0,20
2017-09-22,4,0.0,15
2017-09-23,0,0.0,4
2017-09-24,0,0.0,0
2017-09-25,0,0.0,13
2017-09-26,4,0.0,8
2017-09-27,0,0.0,16
2017-09-28,6,0.0,28
2017-09-29,0,0.0,16
2017-09-30,0,0.0,7
2017-10-01,0,2.0,1
2017-10-02,0,-0.7999999999999998,8
2017-10-03,1,0.76,12
2017-10-04,1,0.4720000000000001,12
2017-10-05,0,-0.6032,11
2017-10-06,0,-0.24390400000000004,5
2017-10-07,0,-0.15152640000000006,1
2017-10-08,0,-0.10829312000000005,1
2017-10-09,0,-0.08322662400000001,13
2017-10-10,0,-0.06693007359999999,8
2017-10-11,2,-0.03352627199999999,29
2017-10-12,0,-0.02795386879999999,7
2017-10-13,0,-0.012798156799999997,20
2017-10-14,0,0.0,11
2017-10-15,0,0.0,2
2017-10-16,0,0.0,12
2017-10-17,0,0.0,20
2017-10-18,1,0.0,15
2017-10-19,3,0.0,17
2017-10-20,2,0.0,16
2017-10-21,0,0.0,3
2017-10-22,0,0.0,1
2017-10-23,0,0.0,12
2017-10-24,4,0.0,28
2017-10-25,4,0.0,31
2017-10-26,8,0.0,18
2017-10-27,5,0.0,34
2017-10-28,0,0.0,8
2017-10-29,0,0.0,2
2017-10-30,4,0.0,13
2017-10-31,0,1.0,17
2017-11-01,0,-0.3999999999999999,27
2017-11-02,1,-0.12,25
2017-11-03,0,-0.064,24
2017-11-04,0,1.9584,13
2017-11-05,0,-0.8299519999999998,5
2017-11-06,0,-0.2629632,12
2017-11-07,3,-0.14637055999999998,22
2017-11-08,0,-0.09835571200000008,19
2017-11-09,5,-0.07270215680000003,23
2017-11-10,7,-0.04592640000000001,20
2017-11-11,0,-0.03674111999999999,11
2017-11-12,0,-0.030311423999999986,1
2017-11-13,5,-0.025596313599999993,20
2017-11-14,1,0.0,28
2017-11-15,1,0.0,26
2017-11-16,6,0.0,27
2017-11-17,10,0.0,17
