,square/okhttp,jetty/jetty.project,apache/httpcomponents-client
2019-07-25,1,3.0,0
2019-07-26,0,5.699999999999999,3
2019-07-27,0,-0.7350000000000007,1
2019-07-28,0,-0.35550000000000026,0
2019-07-29,1,2.7670125,0
2019-07-30,1,9.527674750000001,0
2019-07-31,0,10.7288134625,0
2019-08-01,0,5.152246836249999,0
2019-08-02,1,5.317745383453124,0
2019-08-03,0,-1.6945816857015623,0
2019-08-04,0,-1.0134966527156237,0
2019-08-05,0,10.297560286250002,0
2019-08-06,0,0.3449591984531257,0
2019-08-07,0,17.846044619735938,0
2019-08-08,2,7.327901757203124,0
2019-08-09,6,1.615292204709375,0
2019-08-10,4,0.2641205911390625,0
2019-08-11,1,-0.2933951052515609,1
2019-08-12,6,6.034802066250002,0
2019-08-13,1,18.576665426828125,0
2019-08-14,5,9.096783642323437,0
2019-08-15,0,4.285423335131249,0
2019-08-16,0,1.7032856116609376,0
2019-08-17,1,0.25932156757812663,0
2019-08-18,4,0.6942551800750021,1
2019-08-19,0,9.890699358162502,0
2019-08-20,0,11.102337631354688,0
2019-08-21,2,3.5667913294359375,0
2019-08-22,0,13.014840769343751,1
2019-08-23,2,6.361515768459375,1
2019-08-24,4,-2.337473387314062,3
2019-08-25,0,-1.3856943161749988,0
2019-08-26,0,7.007790847646877,0
2019-08-27,0,23.42704697550625,0
2019-08-28,0,19.514181437901563,0
2019-08-29,0,-0.10445851731093914,0
2019-08-30,0,1.3934389232999997,0
2019-08-31,0,-2.0930941051796856,0
2019-09-01,0,-1.353042022823434,0
2019-09-02,0,1.0148648675000027,0
2019-09-03,0,-1.0037321978749978,0
2019-09-04,3,3.2313312905718767,0
2019-09-05,6,13.015934652242189,1
2019-09-06,2,20.102853354610936,0
2019-09-07,3,-2.048102162206252,0
2019-09-08,2,-1.6315694351437506,0
2019-09-09,3,11.952070607500001,0
2019-09-10,5,21.919505823968752,0
2019-09-11,3,17.394328334928126,0
2019-09-12,0,13.950233975437499,0
2019-09-13,0,9.877612377637499,0
2019-09-14,2,-3.8530982680968737,0
2019-09-15,4,-2.329163731306247,0
2019-09-16,1,1.4221180462140663,0
2019-09-17,2,13.453584458296879,0
2019-09-18,0,18.330657058407816,0
2019-09-19,2,2.353038258309375,0
2019-09-20,0,2.4615952149640625,0
2019-09-21,7,-2.011923477865624,0
2019-09-22,5,-1.2287337230031223,0
2019-09-23,3,6.164361973750002,0
2019-09-24,1,3.6284743547031266,0
2019-09-25,0,6.623755300907813,0
2019-09-26,4,3.316210398632813,0
2019-09-27,2,0.563608237401563,2
2019-09-28,1,0.03263556970625048,0
2019-09-29,10,-0.7125121001796865,0
2019-09-30,0,6.522287563750001,0
2019-10-01,2,16.921848477640626,0
2019-10-02,7,19.57091083467031,0
2019-10-03,1,2.5740499769453105,1
2019-10-04,1,-0.3980192903656259,2
2019-10-05,0,-0.6539668349609364,0
2019-10-06,11,-0.2241766055874972,1
2019-10-07,5,4.996485548714065,0
2019-10-08,0,8.632245501390626,0
2019-10-09,0,9.094549005467188,1
2019-10-10,0,10.787652315509375,0
2019-10-11,0,-0.4976257888843758,0
2019-10-12,0,-1.4956109499968746,0
2019-10-13,0,-0.9653867893374987,0
2019-10-14,2,2.2809537819484396,0
2019-10-15,0,12.127629419370313,0
2019-10-16,1,30.093553433378126,0
2019-10-17,0,2.7697179552187476,0
2019-10-18,3,-0.8114503395984385,0
2019-10-19,2,2.127715541001563,0
2019-10-20,0,9.383498507428127,0
2019-10-21,0,3.7982392487500016,0
