,golang/go,llvm/llvm-project,gcc-mirror/gcc
2017-06-17,2,23,13
2017-06-18,1,16,7
2017-06-19,4,98,25
2017-06-20,9,91,25
2017-06-21,6,96,41
2017-06-22,13,80,29
2017-06-23,14,109,23
2017-06-24,1,35,4
2017-06-25,1,27,1
2017-06-26,8,85,21
2017-06-27,11,134,31
2017-06-28,19,110,36
2017-06-29,13,135,40
2017-06-30,9,137,26
2017-07-01,0,45,12
2017-07-02,0,26,13
2017-07-03,1,45,37
2017-07-04,1,59,26
2017-07-05,1,109,23
2017-07-06,13,101,27
2017-07-07,8,108,11
2017-07-08,1,32,3
2017-07-09,1,27,7
2017-07-10,1,85,15
2017-07-11,3,119,14
2017-07-12,4,123,13
2017-07-13,4,106,13
2017-07-14,8,87,18
2017-07-15,25,45,5
2017-07-16,3,38,15
2017-07-17,7,77,28
2017-07-18,5,134,23
2017-07-19,4,130,31
2017-07-20,8,128,14
2017-07-21,5,88,26
2017-07-22,1,18,2
2017-07-23,0,26,9
2017-07-24,6,72,14
2017-07-25,6,114,34
2017-07-26,5,131,24
2017-07-27,3,91,20
2017-07-28,1,108,28
2017-07-29,0,38,22
2017-07-30,1,31,4
2017-07-31,4,100,22
2017-08-01,0,123,39
2017-08-02,5,117,21
2017-08-03,6,93,19
2017-08-04,10,139,16
2017-08-05,2,42,2
2017-08-06,1,44,10
2017-08-07,3,75,23
2017-08-08,17,100,16
2017-08-09,24,106,22
2017-08-10,8,110,22
2017-08-11,30,72,13
2017-08-12,4,13,4
2017-08-13,6,19,5
2017-08-14,42,85,13
2017-08-15,51,71,4
2017-08-16,31,76,16
2017-08-17,27,64,21
2017-08-18,39,64,12
2017-08-19,9,55,3
2017-08-20,1,34,5
2017-08-21,15,89,24
2017-08-22,19,75,20
2017-08-23,12,89,15
2017-08-24,22,88,14
2017-08-25,39,62,10
2017-08-26,3,17,1
2017-08-27,1,28,3
2017-08-28,30,81,11
2017-08-29,40,98,35
2017-08-30,22,99,98
2017-08-31,14,99,16
2017-09-01,10,74,25
2017-09-02,2,28,1
2017-09-03,4,35,5
2017-09-04,1,38,24
2017-09-05,7,75,37
2017-09-06,13,73,58
2017-09-07,5,81,17
2017-09-08,14,72,43
2017-09-09,20,34,18
2017-09-10,10,17,4
2017-09-11,22,82,28
2017-09-12,12,98,42
2017-09-13,14,123,40
2017-09-14,9,103,27
2017-09-15,11,102,30
2017-09-16,2,47,6
2017-09-17,2,31,5
2017-09-18,15,94,36
2017-09-19,14,100,16
2017-09-20,29,135,37
2017-09-21,8,96,30
2017-09-22,25,104,21
2017-09-23,6,19,4
2017-09-24,8,16,6
2017-09-25,15,88,28
2017-09-26,10,82,31
2017-09-27,23,98,20
2017-09-28,10,88,19
2017-09-29,7,86,35
2017-09-30,4,40,6
2017-10-01,2,28,4
2017-10-02,9,98,26
2017-10-03,25,118,12
2017-10-04,25,85,32
2017-10-05,27,87,22
2017-10-06,16,92,25
2017-10-07,4,26,10
2017-10-08,3,40,14
2017-10-09,12,53,31
2017-10-10,14,139,40
2017-10-11,45,144,37
2017-10-12,17,107,26
2017-10-13,21,132,33
2017-10-14,3,55,18
2017-10-15,3,42,5
2017-10-16,18,80,22
2017-10-17,16,80,27
2017-10-18,10,84,26
2017-10-19,12,52,31
2017-10-20,13,51,30
2017-10-21,7,27,11
2017-10-22,2,26,11
2017-10-23,5,92,27
2017-10-24,19,137,27
2017-10-25,59,87,21
2017-10-26,11,81,26
