,antvis/g2,recharts/recharts,alibaba/bizcharts
2018-01-10,0.0,0,1
2018-01-11,9.0,0,0
2018-01-12,0.2999999999999998,0,0
2018-01-13,-1.8449999999999995,0,0
2018-01-14,-0.8504999999999996,0,0
2018-01-15,0.4600375000000001,0,0
2018-01-16,2.31203025,0,0
2018-01-17,5.6963114875,0,1
2018-01-18,4.28504194875,5,7
2018-01-19,-0.2534247721406251,1,1
2018-01-20,-2.3715886193921873,0,0
2018-01-21,-1.165829352198437,0,0
2018-01-22,0.24352088875000022,0,7
2018-01-23,4.135756174484375,0,0
2018-01-24,1.9489587327203122,0,6
2018-01-25,0.8610692391921875,0,2
2018-01-26,5.079244768760938,0,11
2018-01-27,-3.026246792926563,0,0
2018-01-28,-1.2867823521984367,1,1
2018-01-29,2.2087699137500003,0,16
2018-01-30,1.5259152144843748,6,0
2018-01-31,0.33831957043906247,1,0
2018-02-01,1.5552382080234375,0,2
2018-02-02,0.3563477805218749,0,0
2018-02-03,-0.3955355070578128,0,0
2018-02-04,-1.0229122301296873,0,0
2018-02-05,-0.5306424087499999,0,0
2018-02-06,-0.3800494465468751,0,2
2018-02-07,-0.29574052499531267,0,1
2018-02-08,-0.20565746947968766,0,1
2018-02-09,4.8640076132375,0,3
2018-02-10,-1.5914609469796879,0,0
2018-02-11,-0.5680435432312498,0,1
2018-02-12,-0.3110834132328124,1,0
2018-02-13,-0.20081249999999998,0,1
2018-02-14,-0.14860125,0,1
2018-02-15,-0.11640431249999998,0,0
2018-02-16,-0.09478636875000002,0,0
2018-02-17,-0.07938358382812523,0,0
2018-02-18,-0.06791706616406262,0,0
2018-02-19,0.0,0,0
2018-02-20,0.0,0,0
2018-02-21,0.0,1,0
2018-02-22,3.0,0,0
2018-02-23,-0.9000000000000001,0,1
2018-02-24,-0.3149999999999998,0,0
2018-02-25,-0.1784999999999999,0,0
2018-02-26,-0.1204875,0,1
2018-02-27,-0.08916074999999998,1,0
2018-02-28,-0.06984258749999998,0,2
2018-03-01,1.9431281787499999,0,1
2018-03-02,2.3523698497031247,0,8
2018-03-03,-1.1507502396984375,0,0
2018-03-04,-0.4339999999999997,0,0
2018-03-05,1.7411750000000001,0,0
2018-03-06,0.22007199999999993,0,6
2018-03-07,-0.6457224749999999,0,0
2018-03-08,2.6682428650000003,0,0
2018-03-09,1.8715497452187497,0,4
2018-03-10,-1.3893999767625,0,1
2018-03-11,-0.6105322146984373,0,0
2018-03-12,1.6398170900000002,1,12
2018-03-13,1.1396410427187498,2,2
2018-03-14,-0.012046880731249932,0,2
2018-03-15,4.230702178017188,0,3
2018-03-16,-1.9088269715468753,3,1
2018-03-17,-0.8126458899953123,0,0
2018-03-18,-0.4844149646984374,0,0
2018-03-19,-0.31500902249999996,0,1
2018-03-20,-0.2415500935312501,0,1
2018-03-21,-0.1942818462468751,0,0
2018-03-22,0.86217008801875,0,0
2018-03-23,-0.3929669970609378,0,0
2018-03-24,-0.17291706616406255,0,0
2018-03-25,-0.05949999999999997,0,0
2018-03-26,-0.0401625,0,5
2018-03-27,-0.029720249999999997,0,1
2018-03-28,-0.023280862499999996,0,3
2018-03-29,-0.018957273750000003,0,1
2018-03-30,-0.015876716765625045,1,3
2018-03-31,-0.013583413232812524,0,0
2018-04-01,0.0,0,0
2018-04-02,2.0,0,0
2018-04-03,1.4,0,0
2018-04-04,1.19,0,0
2018-04-05,-0.9289999999999998,0,0
2018-04-06,-0.4093249999999998,0,0
2018-04-07,-0.2587654999999999,0,0
2018-04-08,2.813672775,0,1
2018-04-09,0.9560832274999997,0,1
2018-04-10,-1.03122970603125,0,7
2018-04-11,0.5146651925031251,0,2
2018-04-12,2.401592240003125,0,0
2018-04-13,2.798347423534375,0,4
2018-04-14,-1.7037830875,0,0
2018-04-15,-0.7420960462499996,0,0
2018-04-16,3.526247552203125,0,1
2018-04-17,-1.545595285729688,0,0
2018-04-18,2.3451523122843754,0,0
2018-04-19,4.696128011984375,0,0
2018-04-20,1.5873073414703125,0,0
2018-04-21,-1.2316381067609372,0,0
2018-04-22,1.6550553970687503,0,0
2018-04-23,0.35103515500000015,0,0
2018-04-24,0.5531790454375001,0,4
2018-04-25,-0.39843414918125,0,0
2018-04-26,1.966295007203125,0,0
2018-04-27,0.4713937522078122,0,0
2018-04-28,3.651927292290625,0,4
2018-04-29,-2.161746915946875,0,0
2018-04-30,-0.9398975860296872,0,0
2018-05-01,-0.6006848332296875,0,0
2018-05-02,-0.4079731212468751,0,3
2018-05-03,3.70492166051875,0,2
2018-05-04,18.584467576470313,0,0
2018-05-05,-6.5872900419796885,0,0
2018-05-06,-2.4445504102937488,0,0
2018-05-07,-1.4185670661640621,0,0
2018-05-08,1.0778690000000002,0,0
2018-05-09,-0.28752844999999994,0,0
2018-05-10,0.948553655,0,0
2018-05-11,-0.2666523420625002,0,0
2018-05-12,-1.0216929882437509,0,0
2018-05-13,-0.5952712646562504,0,0
2018-05-14,-0.21610697499999995,0,3
2018-05-15,-0.16079841,0,5
2018-05-16,-0.12699268228125007,0,0
2018-05-17,4.89576104676875,0,0
2018-05-18,7.435705879485937,1,0
2018-05-19,-3.26804354323125,0,0
2018-05-20,-0.2560834132328118,0,0
2018-05-21,-1.0363124999999997,0,0
2018-05-22,3.38493625,0,1
2018-05-23,-1.6433865625000001,0,0
2018-05-24,2.2355233687500005,0,0
2018-05-25,2.582280702421875,0,0
2018-05-26,-1.909738379554688,0,0
2018-05-27,-0.8585889928453123,0,0
2018-05-28,1.532512333234375,0,7
2018-05-29,6.060776741767187,1,0
2018-05-30,2.4377695454374995,1,1
2018-05-31,1.4416710758187503,0,0
2018-06-01,-1.3452842452968747,0,0
2018-06-02,1.5376648932390626,0,0
2018-06-03,-0.75274962793125,0,0
2018-06-04,1.8153681650000002,0,0
2018-06-05,1.37659783771875,0,3
2018-06-06,0.24907858742499966,0,0
2018-06-07,0.5035993160421874,0,0
2018-06-08,4.641068455523437,0,0
2018-06-09,-2.4890113034468753,0,0
2018-06-10,-1.0684991747796873,0,0
2018-06-11,4.3198931347859375,0,1
2018-06-12,0.03493739022031206,0,0
2018-06-13,-0.4761781624953123,1,3
2018-06-14,-0.057603395729687534,0,0
2018-06-15,7.102523597503125,0,3
2018-06-16,-1.9158533770593755,0,0
2018-06-17,-1.4970077918968745,0,0
2018-06-18,-0.7922308437499996,2,0
2018-06-19,0.44890075617187486,0,0
2018-06-20,0.28016686405468727,0,0
2018-06-21,-0.6829679669812501,0,0
2018-06-22,4.631100817501562,0,0
2018-06-23,-1.759216921107813,0,1
2018-06-24,-0.7194267726281249,0,0
2018-06-25,4.635915474267188,0,1
2018-06-26,3.2569493637499995,1,0
2018-06-27,2.791564759484375,0,0
2018-06-28,0.5316355575015628,0,0
2018-06-29,-1.0316822819828122,0,0
2018-06-30,-1.3412973338281249,0,0
2018-07-01,-0.8172351286640624,0,0
2018-07-02,-0.5397794312499999,0,0
2018-07-03,4.580102484921875,1,0
2018-07-04,3.158350143757812,1,2
2018-07-05,0.7475466662578123,20,0
2018-07-06,5.1429955097890625,5,4
2018-07-07,-1.9699394564640627,4,0
2018-07-08,-1.5764971632328117,0,0
