,apache/echarts,highcharts/highcharts,plotly/plotly.js
2013-07-31,1.0,6,1
2013-08-01,2.0,7,2
2013-08-02,3.0,17,0
2013-08-03,0.0,2,0
2013-08-04,0.0,0,2
2013-08-05,0.0,0,0
2013-08-06,0.0,2,0
2013-08-07,0.0,3,1
2013-08-08,3.0,7,4
2013-08-09,7.0,13,8
2013-08-10,0.0,1,0
2013-08-11,0.0,0,3
2013-08-12,2.0,7,8
2013-08-13,2.0,4,7
2013-08-14,1.0,3,7
2013-08-15,1.0,6,7
2013-08-16,0.0,0,9
2013-08-17,0.0,0,5
2013-08-18,0.0,0,5
2013-08-19,4.0,1,3
2013-08-20,0.0,6,10
2013-08-21,1.0,2,6
2013-08-22,2.0,0,1
2013-08-23,3.0,4,0
2013-08-24,0.0,0,0
2013-08-25,0.0,0,0
2013-08-26,1.0,6,6
2013-08-27,1.0,3,2
2013-08-28,5.0,7,2
2013-08-29,1.0,5,2
2013-08-30,3.0,18,0
2013-08-31,0.0,0,4
2013-09-01,0.0,2,1
2013-09-02,0.0,11,5
2013-09-03,3.0,9,4
2013-09-04,1.0,35,2
2013-09-05,0.0,9,5
2013-09-06,3.0,3,2
2013-09-07,0.0,3,2
2013-09-08,0.0,0,2
2013-09-09,6.0,0,5
2013-09-10,1.0,1,6
2013-09-11,3.0,5,21
2013-09-12,0.0,3,18
2013-09-13,1.0,2,12
2013-09-14,0.0,0,17
2013-09-15,0.0,0,9
2013-09-16,8.0,5,6
2013-09-17,2.0,7,7
2013-09-18,0.0,1,12
2013-09-19,0.0,2,32
2013-09-20,1.0,4,18
2013-09-21,0.0,0,1
2013-09-22,0.0,1,4
2013-09-23,5.0,4,4
2013-09-24,7.0,11,0
2013-09-25,1.0,5,0
2013-09-26,4.0,1,3
2013-09-27,2.0,4,14
2013-09-28,0.0,0,12
2013-09-29,4.0,0,4
2013-09-30,3.0,6,15
2013-10-01,0.0,5,10
2013-10-02,0.0,5,10
2013-10-03,0.0,6,2
2013-10-04,0.0,14,7
2013-10-05,0.0,0,5
2013-10-06,0.0,2,4
2013-10-07,0.0,5,17
2013-10-08,0.0,7,18
2013-10-09,1.0,7,8
2013-10-10,0.0,8,8
2013-10-11,0.0,5,8
2013-10-12,0.0,0,8
2013-10-13,0.0,0,3
2013-10-14,0.0,0,5
2013-10-15,0.0,1,17
2013-10-16,0.0,2,5
2013-10-17,0.0,16,12
2013-10-18,0.0,6,12
2013-10-19,0.0,0,7
2013-10-20,0.0,0,1
2013-10-21,0.0,1,4
2013-10-22,0.0,3,8
2013-10-23,0.0,1,7
2013-10-24,0.0,5,8
2013-10-25,2.0,2,26
2013-10-26,0.0,0,9
2013-10-27,0.0,0,2
2013-10-28,8.0,9,13
2013-10-29,9.0,3,18
2013-10-30,6.0,0,16
2013-10-31,2.0,7,11
2013-11-01,5.0,1,11
2013-11-02,0.0,0,5
2013-11-03,0.0,0,10
2013-11-04,8.0,2,16
2013-11-05,11.0,2,14
2013-11-06,0.0,5,24
2013-11-07,0.0,7,7
2013-11-08,1.0,12,9
2013-11-09,0.0,0,0
2013-11-10,0.0,0,5
2013-11-11,3.0,7,12
2013-11-12,2.0,5,13
2013-11-13,1.0,10,13
2013-11-14,4.0,9,11
2013-11-15,1.0,2,12
2013-11-16,0.0,0,0
2013-11-17,0.0,0,2
2013-11-18,2.0,5,13
2013-11-19,2.0,4,2
2013-11-20,4.0,7,9
2013-11-21,7.0,6,13
2013-11-22,4.0,7,10
2013-11-23,0.0,0,6
2013-11-24,0.0,0,12
2013-11-25,2.0,9,21
2013-11-26,1.0,2,11
2013-11-27,0.0,13,34
2013-11-28,4.0,5,12
2013-11-29,0.0,1,5
