,JuliaLang/julia,rust-lang/rust,python/cpython
2014-08-16,7,14,9
2014-08-17,10,24,19
2014-08-18,33,30,4
2014-08-19,24,34,9
2014-08-20,20,22,3
2014-08-21,8,36,2
2014-08-22,19,18,20
2014-08-23,5,25,10
2014-08-24,8,23,13
2014-08-25,21,16,8
2014-08-26,21,15,4
2014-08-27,24,23,8
2014-08-28,14,21,2
2014-08-29,21,30,9
2014-08-30,9,23,2
2014-08-31,1,35,16
2014-09-01,8,11,9
2014-09-02,3,21,5
2014-09-03,10,18,19
2014-09-04,11,24,8
2014-09-05,9,31,9
2014-09-06,20,19,15
2014-09-07,17,25,0
2014-09-08,9,24,2
2014-09-09,9,45,3
2014-09-10,11,25,8
2014-09-11,6,19,11
2014-09-12,18,26,2
2014-09-13,6,15,2
2014-09-14,20,35,9
2014-09-15,16,36,9
2014-09-16,18,22,7
2014-09-17,15,61,14
2014-09-18,26,30,12
2014-09-19,14,21,6
2014-09-20,23,18,20
2014-09-21,10,12,14
2014-09-22,10,43,10
2014-09-23,12,19,18
2014-09-24,24,34,14
2014-09-25,22,31,13
2014-09-26,31,21,10
2014-09-27,5,16,17
2014-09-28,20,9,7
2014-09-29,20,47,15
2014-09-30,29,37,45
2014-10-01,12,40,24
2014-10-02,11,67,23
2014-10-03,30,43,14
2014-10-04,7,22,29
2014-10-05,17,27,13
2014-10-06,11,25,24
2014-10-07,19,29,4
2014-10-08,26,23,10
2014-10-09,17,48,18
2014-10-10,11,12,36
2014-10-11,24,25,18
2014-10-12,6,23,45
2014-10-13,8,41,24
2014-10-14,21,22,10
2014-10-15,19,28,24
2014-10-16,10,27,4
2014-10-17,18,21,21
2014-10-18,10,17,9
2014-10-19,11,16,7
2014-10-20,23,15,7
2014-10-21,21,23,2
2014-10-22,12,20,3
2014-10-23,32,21,7
2014-10-24,17,19,0
2014-10-25,11,26,6
2014-10-26,9,21,3
2014-10-27,9,53,0
2014-10-28,14,41,30
2014-10-29,13,24,34
2014-10-30,26,45,33
2014-10-31,9,37,22
2014-11-01,3,18,12
2014-11-02,8,30,22
2014-11-03,10,76,7
2014-11-04,14,24,6
2014-11-05,14,34,20
2014-11-06,20,69,9
2014-11-07,12,40,13
2014-11-08,13,18,2
2014-11-09,8,31,2
2014-11-10,55,18,19
2014-11-11,38,18,6
2014-11-12,15,32,4
2014-11-13,2,20,0
2014-11-14,19,20,3
2014-11-15,14,14,7
2014-11-16,17,42,0
2014-11-17,9,62,2
2014-11-18,28,42,8
2014-11-19,26,73,4
2014-11-20,29,38,8
2014-11-21,22,55,6
2014-11-22,12,18,7
2014-11-23,15,46,10
2014-11-24,13,25,10
2014-11-25,40,36,6
2014-11-26,9,33,9
2014-11-27,13,45,20
2014-11-28,15,11,17
2014-11-29,9,7,2
2014-11-30,20,16,7
2014-12-01,7,12,23
2014-12-02,20,18,10
2014-12-03,12,33,4
2014-12-04,15,41,8
2014-12-05,15,60,20
2014-12-06,6,17,12
2014-12-07,13,51,7
2014-12-08,22,27,12
2014-12-09,29,42,2
2014-12-10,32,20,15
2014-12-11,12,17,10
2014-12-12,23,24,20
2014-12-13,26,122,12
2014-12-14,23,79,2
2014-12-15,22,47,17
2014-12-16,11,37,10
2014-12-17,15,63,8
2014-12-18,6,41,6
2014-12-19,11,103,7
2014-12-20,11,45,6
2014-12-21,15,57,2
2014-12-22,7,62,6
2014-12-23,5,26,3
2014-12-24,9,22,6
2014-12-25,13,35,4
2014-12-26,8,30,6
2014-12-27,6,27,3
2014-12-28,30,35,2
2014-12-29,5,63,3
2014-12-30,18,126,10
2014-12-31,16,42,0
2015-01-01,21,49,7
2015-01-02,51,70,0
2015-01-03,30,61,7
2015-01-04,37,60,9
2015-01-05,26,127,6
2015-01-06,24,136,21
2015-01-07,14,78,13
2015-01-08,28,109,12
2015-01-09,15,43,20
2015-01-10,13,33,1
2015-01-11,23,48,10
2015-01-12,23,86,1
2015-01-13,29,32,12
2015-01-14,23,34,12
2015-01-15,20,91,38
2015-01-16,28,50,0
2015-01-17,6,44,7
2015-01-18,36,46,17
2015-01-19,28,43,3
2015-01-20,14,72,6
2015-01-21,10,96,9
2015-01-22,23,51,11
2015-01-23,8,28,15
2015-01-24,13,43,2
2015-01-25,38,22,8
2015-01-26,12,31,43
2015-01-27,18,66,11
2015-01-28,12,44,13
2015-01-29,8,40,27
2015-01-30,15,65,10
2015-01-31,28,28,13
2015-02-01,17,36,17
2015-02-02,36,51,31
2015-02-03,44,43,15
2015-02-04,24,21,10
2015-02-05,9,49,12
2015-02-06,24,71,22
2015-02-07,16,35,8
2015-02-08,23,18,12
2015-02-09,29,21,6
2015-02-10,30,66,8
2015-02-11,21,75,11
2015-02-12,33,39,4
2015-02-13,9,46,6
2015-02-14,14,25,16
2015-02-15,13,71,13
2015-02-16,18,71,13
2015-02-17,9,86,14
2015-02-18,18,123,11
2015-02-19,39,36,3
2015-02-20,22,17,21
2015-02-21,17,53,6
2015-02-22,35,72,6
2015-02-23,22,64,8
2015-02-24,17,105,0
2015-02-25,20,32,14
2015-02-26,11,31,9
2015-02-27,9,34,16
2015-02-28,10,41,10
2015-03-01,11,43,13
2015-03-02,11,32,28
2015-03-03,12,76,6
2015-03-04,5,31,7
2015-03-05,13,55,16
2015-03-06,12,59,14
2015-03-07,28,15,6
2015-03-08,7,38,15
2015-03-09,30,35,8
2015-03-10,20,33,16
2015-03-11,9,24,8
2015-03-12,14,33,15
2015-03-13,11,29,18
2015-03-14,15,18,8
2015-03-15,15,42,4
2015-03-16,22,30,9
2015-03-17,25,53,10
2015-03-18,13,37,28
2015-03-19,28,57,23
2015-03-20,26,41,26
2015-03-21,15,10,12
2015-03-22,3,23,17
2015-03-23,10,96,6
2015-03-24,7,65,35
2015-03-25,12,24,17
2015-03-26,20,44,5
2015-03-27,11,79,18
2015-03-28,19,26,11
2015-03-29,18,34,19
2015-03-30,14,37,35
2015-03-31,25,75,27
2015-04-01,17,95,23
2015-04-02,13,34,33
2015-04-03,14,37,17
2015-04-04,3,42,16
2015-04-05,3,18,4
2015-04-06,12,21,13
2015-04-07,10,43,15
2015-04-08,10,68,12
2015-04-09,5,38,10
2015-04-10,10,57,22
2015-04-11,4,45,11
2015-04-12,8,21,10
2015-04-13,23,36,55
2015-04-14,21,86,41
2015-04-15,23,49,12
2015-04-16,29,31,17
2015-04-17,24,75,3
2015-04-18,14,35,3
2015-04-19,31,22,14
2015-04-20,22,35,20
2015-04-21,36,99,8
2015-04-22,20,30,18
2015-04-23,7,45,11
2015-04-24,22,63,4
2015-04-25,16,50,4
2015-04-26,18,25,14
2015-04-27,16,51,4
2015-04-28,20,31,2
2015-04-29,9,97,4
2015-04-30,8,70,5
2015-05-01,19,44,0
2015-05-02,15,36,15
2015-05-03,23,23,22
2015-05-04,17,43,3
2015-05-05,21,52,5
2015-05-06,31,58,14
2015-05-07,17,56,7
2015-05-08,32,43,9
2015-05-09,13,37,12
2015-05-10,5,54,2
2015-05-11,18,54,17
2015-05-12,19,63,33
2015-05-13,20,66,39
2015-05-14,13,52,17
2015-05-15,19,53,6
2015-05-16,12,39,35
2015-05-17,13,40,13
2015-05-18,8,33,19
2015-05-19,13,84,14
2015-05-20,22,36,14
2015-05-21,16,35,15
2015-05-22,13,21,20
2015-05-23,22,34,35
2015-05-24,10,26,13
2015-05-25,23,34,8
2015-05-26,24,35,12
2015-05-27,23,30,17
2015-05-28,30,41,23
2015-05-29,27,41,13
2015-05-30,7,20,46
2015-05-31,6,22,25
2015-06-01,30,28,14
2015-06-02,18,34,32
2015-06-03,25,26,13
2015-06-04,23,30,11
2015-06-05,18,25,6
2015-06-06,12,30,3
2015-06-07,0,20,9
2015-06-08,19,44,23
2015-06-09,21,58,9
2015-06-10,21,40,8
2015-06-11,21,36,0
2015-06-12,21,35,14
2015-06-13,15,25,3
2015-06-14,12,18,3
2015-06-15,16,35,6
2015-06-16,21,19,1
2015-06-17,19,52,6
2015-06-18,11,51,0
2015-06-19,23,36,2
2015-06-20,20,37,2
2015-06-21,22,28,15
2015-06-22,25,28,3
2015-06-23,24,44,7
2015-06-24,28,40,20
2015-06-25,27,36,11
2015-06-26,16,25,3
2015-06-27,24,21,12
2015-06-28,35,9,11
2015-06-29,19,32,6
2015-06-30,29,57,8
2015-07-01,14,37,15
2015-07-02,18,28,16
2015-07-03,14,26,20
2015-07-04,12,28,20
2015-07-05,10,35,29
2015-07-06,15,35,16
2015-07-07,21,29,14
2015-07-08,22,46,6
2015-07-09,21,32,9
2015-07-10,42,27,6
2015-07-11,6,27,3
2015-07-12,9,32,0
2015-07-13,23,38,1
2015-07-14,27,39,7
2015-07-15,17,11,2
2015-07-16,20,47,8
2015-07-17,41,37,11
2015-07-18,10,33,14
2015-07-19,18,24,0
2015-07-20,40,52,14
2015-07-21,26,46,12
2015-07-22,20,63,26
2015-07-23,23,45,20
2015-07-24,31,60,11
2015-07-25,13,34,21
2015-07-26,17,35,9
2015-07-27,43,32,12
2015-07-28,28,52,14
2015-07-29,52,53,24
2015-07-30,32,32,15
2015-07-31,33,31,15
2015-08-01,10,16,15
2015-08-02,8,21,23
2015-08-03,13,20,17
2015-08-04,6,40,20
2015-08-05,12,37,36
2015-08-06,16,41,18
2015-08-07,15,23,6
2015-08-08,11,16,9
2015-08-09,14,21,18
2015-08-10,32,27,4
2015-08-11,60,66,4
2015-08-12,36,109,6
2015-08-13,26,78,10
2015-08-14,21,28,12
2015-08-15,20,36,8
2015-08-16,26,40,4
2015-08-17,28,81,19
2015-08-18,20,42,26
2015-08-19,34,39,14
2015-08-20,21,26,0
2015-08-21,22,29,1
2015-08-22,36,49,0
2015-08-23,24,25,2
2015-08-24,22,42,16
2015-08-25,23,67,17
2015-08-26,28,44,8
2015-08-27,31,44,15
2015-08-28,38,28,3
2015-08-29,11,23,5
2015-08-30,7,29,15
2015-08-31,17,37,5
2015-09-01,21,51,7
2015-09-02,23,41,29
2015-09-03,26,60,34
2015-09-04,122,66,34
2015-09-05,25,31,13
2015-09-06,24,49,24
2015-09-07,30,27,36
2015-09-08,26,30,19
2015-09-09,23,29,56
2015-09-10,24,43,41
2015-09-11,52,32,44
2015-09-12,16,19,24
2015-09-13,25,15,37
2015-09-14,58,40,4
2015-09-15,22,32,15
2015-09-16,27,25,3
2015-09-17,34,56,0
2015-09-18,24,25,39
2015-09-19,12,52,11
2015-09-20,11,44,14
2015-09-21,15,29,56
2015-09-22,20,30,18
2015-09-23,20,19,38
2015-09-24,15,47,22
2015-09-25,9,32,11
2015-09-26,1,44,19
2015-09-27,18,31,37
2015-09-28,14,15,30
2015-09-29,112,27,54
2015-09-30,20,62,16
2015-10-01,25,53,30
2015-10-02,27,54,19
2015-10-03,21,23,22
2015-10-04,5,11,8
2015-10-05,15,25,10
2015-10-06,18,37,22
2015-10-07,34,47,16
2015-10-08,18,60,15
2015-10-09,12,32,22
2015-10-10,17,19,25
2015-10-11,8,19,36
2015-10-12,10,29,21
2015-10-13,34,53,10
2015-10-14,18,41,29
2015-10-15,17,46,3
2015-10-16,23,31,8
2015-10-17,12,22,8
2015-10-18,7,25,6
2015-10-19,14,40,14
2015-10-20,17,31,14
2015-10-21,28,25,4
2015-10-22,19,31,10
2015-10-23,25,44,7
2015-10-24,4,26,10
2015-10-25,7,31,6
2015-10-26,26,32,5
2015-10-27,13,38,4
2015-10-28,11,49,9
2015-10-29,9,33,9
2015-10-30,18,15,15
2015-10-31,11,11,13
2015-11-01,8,19,6
2015-11-02,19,19,15
2015-11-03,9,58,4
2015-11-04,17,32,15
2015-11-05,5,47,10
2015-11-06,11,24,13
2015-11-07,12,17,16
2015-11-08,11,26,4
2015-11-09,14,30,19
2015-11-10,34,41,16
2015-11-11,11,51,2
2015-11-12,8,51,32
2015-11-13,13,32,17
2015-11-14,15,27,21
2015-11-15,13,23,0
2015-11-16,12,41,33
2015-11-17,16,54,13
2015-11-18,22,20,10
2015-11-19,16,58,10
2015-11-20,16,44,30
2015-11-21,22,16,20
2015-11-22,7,25,11
2015-11-23,29,31,19
2015-11-24,14,33,17
2015-11-25,23,40,19
2015-11-26,10,41,11
2015-11-27,6,15,0
2015-11-28,7,14,2
2015-11-29,17,13,3
2015-11-30,10,39,11
2015-12-01,20,26,7
2015-12-02,27,37,12
