,facebook/react-native,flutter/flutter,NativeScript/NativeScript
2015-08-25,29,41.827813888,7
2015-08-26,17,29.149506969600004,3
2015-08-27,14,8.788161024,6
2015-08-28,6,12.495094886399999,18
2015-08-29,1,-0.8877906943999996,0
2015-08-30,3,-2.818537164800002,0
2015-08-31,14,17.3468555264,5
2015-09-01,21,5.729146368,12
2015-09-02,13,12.599005593600001,8
2015-09-03,15,19.8188729344,12
2015-09-04,19,13.311012044800002,26
2015-09-05,5,-6.2125879296,3
2015-09-06,7,-5.262490112000002,0
2015-09-07,8,-3.1188184064000017,7
2015-09-08,15,5.8780292096,0
2015-09-09,17,7.861759590400002,8
2015-09-10,13,7.2259077120000015,11
2015-09-11,10,15.981807513600002,6
2015-09-12,9,-5.858987929599998,1
2015-09-13,1,-3.4831947776000014,1
2015-09-14,14,8.9373169664,7
2015-09-15,26,0.31562485760000003,6
2015-09-16,33,26.1599190016,7
2015-09-17,12,16.4094618624,7
2015-09-18,22,15.6202253312,21
2015-09-19,7,1.0040031232000004,1
2015-09-20,6,-5.649504870400001,0
2015-09-21,7,10.020677529599997,6
2015-09-22,25,22.402329088000002,0
2015-09-23,29,23.1072562176,5
2015-09-24,35,15.0353864704,5
2015-09-25,18,28.0826184704,10
2015-09-26,5,-2.548569497599999,0
2015-09-27,0,-6.1042794496000035,0
2015-09-28,3,-0.9908136960000027,5
2015-09-29,14,18.916096921599998,11
2015-09-30,12,26.6402653184,17
2015-10-01,29,30.411937484800003,22
2015-10-02,24,2.745433395199999,5
2015-10-03,7,4.493115801599998,0
2015-10-04,2,-7.962357657600002,0
2015-10-05,24,20.723789209599996,11
2015-10-06,20,27.1256921088,6
2015-10-07,18,0.8757913600000009,7
2015-10-08,22,14.9943138304,6
2015-10-09,30,12.897966592000003,18
2015-10-10,9,1.9398305792000006,1
2015-10-11,0,-3.7239661568000013,0
2015-10-12,24,19.620672512,10
2015-10-13,35,17.456849817600002,12
2015-10-14,40,9.064972697600002,17
2015-10-15,9,10.9671274496,20
2015-10-16,27,8.147989196800001,12
2015-10-17,5,-4.3390176256,0
2015-10-18,5,-1.460210483200001,0
2015-10-19,21,22.7453161472,10
2015-10-20,26,9.768267878400001,10
2015-10-21,37,12.063490048,17
2015-10-22,24,7.744062361600001,13
2015-10-23,19,19.4325146624,6
2015-10-24,7,-4.577672192,0
2015-10-25,1,-5.948462284800003,0
2015-10-26,25,34.3235119104,4
2015-10-27,34,11.692621414400003,2
2015-10-28,34,13.4414815232,10
2015-10-29,22,21.3537123328,20
2015-10-30,23,1.5884441599999999,20
2015-10-31,11,-4.566179430400002,0
2015-11-01,0,-4.847497420800002,0
2015-11-02,16,15.072076287999998,29
2015-11-03,28,32.310600704,14
2015-11-04,22,20.3526596608,6
2015-11-05,28,9.0367101952,8
2015-11-06,24,9.669487308799999,30
2015-11-07,9,4.326690201599998,0
2015-11-08,3,-4.103830323200002,0
2015-11-09,21,9.414652006399997,18
2015-11-10,27,23.2000444416,27
2015-11-11,18,13.858181734400002,9
2015-11-12,13,16.8773474304,12
2015-11-13,21,16.3081572352,5
2015-11-14,10,-6.9713398784,0
2015-11-15,0,-6.653433856000002,0
2015-11-16,16,14.765049446399999,9
2015-11-17,29,24.1475421184,10
2015-11-18,33,13.879637504000002,10
2015-11-19,13,13.97787136,2
2015-11-20,22,22.9271307264,2
2015-11-21,2,-2.9916315647999987,0
2015-11-22,2,2.027613491199997,0
2015-11-23,25,8.271958118399997,20
2015-11-24,37,13.757949952,7
2015-11-25,16,11.3954427904,15
2015-11-26,28,10.221929369600002,6
2015-11-27,14,-6.554370457599999,11
2015-11-28,1,-3.0993273856000005,0
2015-11-29,4,0.3030668288,0
2015-11-30,19,11.8558731264,7
2015-12-01,25,10.927069696,10
2015-12-02,25,14.073864192000002,10
2015-12-03,23,15.902452121600001,5
2015-12-04,8,30.828391424000003,10
2015-12-05,6,15.098098278399998,0
2015-12-06,6,-11.132429004800002,0
2015-12-07,11,24.021228851199997,3
2015-12-08,22,21.8611753984,10
2015-12-09,17,14.071255552,3
2015-12-10,22,16.4372263936,10
2015-12-11,18,-3.016024064,4
2015-12-12,14,-1.434217267200001,8
2015-12-13,11,-6.642388889599999,0
2015-12-14,22,22.9050683392,11
2015-12-15,36,21.742156800000004,9
2015-12-16,27,15.528387584000003,9
2015-12-17,17,0.49434091520000045,3
2015-12-18,18,-1.6496011264000003,7
2015-12-19,5,-5.622590259200001,0
2015-12-20,7,0.5878042623999988,0
2015-12-21,9,3.7212931071999993,4
2015-12-22,8,-0.6299146239999995,6
2015-12-23,28,-2.938331340799998,2
2015-12-24,10,0.23267225600000185,0
2015-12-25,3,-0.4653722623999985,0
2015-12-26,7,2.0552436736000006,0
2015-12-27,2,-1.1381325824,0
2015-12-28,5,3.407475712,1
2015-12-29,16,0.7699564544000006,0
2015-12-30,22,1.9823578112000002,0
2015-12-31,6,2.8797017088,0
2016-01-01,4,-1.377388544,0
2016-01-02,4,9.276549427199999,0
2016-01-03,5,-2.4812196863999993,0
2016-01-04,24,6.8430194688,2
2016-01-05,22,5.665165312,0
2016-01-06,37,12.2128518144,0
2016-01-07,31,25.5848312832,1
2016-01-08,18,7.847953100800002,3
2016-01-09,7,-2.0122326016000027,0
2016-01-10,3,2.264404479999998,0
2016-01-11,7,25.617422335999997,11
2016-01-12,17,14.339372544,16
2016-01-13,12,2.0058027007999986,10
2016-01-14,14,8.006887116799998,4
2016-01-15,16,7.837604864000001,8
2016-01-16,6,1.9012008960000006,0
2016-01-17,4,-5.679727206400001,0
2016-01-18,18,9.634379264,6
2016-01-19,10,11.948011827200002,13
2016-01-20,22,19.676936192,12
2016-01-21,34,14.580783308800001,3
2016-01-22,17,12.2764614656,5
2016-01-23,6,-3.7463644160000005,0
2016-01-24,1,2.326183935999998,2
2016-01-25,14,6.875702886399999,8
2016-01-26,10,11.421128704,16
2016-01-27,15,13.2350942208,5
2016-01-28,14,10.263141171200001,3
2016-01-29,26,6.2637863936,4
2016-01-30,3,-2.9146330111999994,0
2016-01-31,6,4.395533721599999,0
2016-02-01,22,7.364621312,10
2016-02-02,25,11.7892144128,8
