,spring-projects/spring-boot,apache/tomee,dropwizard/dropwizard
2017-05-11,16,-0.9248436224000002,0
2017-05-12,68,-0.31713966080000006,0
2017-05-13,0,-0.1379542016,0
2017-05-14,7,-0.07320319999999998,0
2017-05-15,25,-0.052528640000000015,1
2017-05-16,5,-0.040020992000000026,0
2017-05-17,3,-0.031767859200000026,0
2017-05-18,5,-0.01884241920000002,2
2017-05-19,4,-0.00850206720000001,1
2017-05-20,0,0.0,0
2017-05-21,1,0.0,0
2017-05-22,12,0.0,0
2017-05-23,36,0.0,0
2017-05-24,20,0.0,0
2017-05-25,0,0.0,1
2017-05-26,1,0.0,1
2017-05-27,0,0.0,0
2017-05-28,4,0.0,0
2017-05-29,14,0.0,0
2017-05-30,17,1.0,0
2017-05-31,30,-0.6000000000000001,0
2017-06-01,15,2.88,0
2017-06-02,32,4.144,0
2017-06-03,11,-3.9936000000000007,0
2017-06-04,0,-0.910848,0
2017-06-05,6,0.5464448000000002,0
2017-06-06,17,0.11693056000000013,1
2017-06-07,32,-0.9176939520000001,0
2017-06-08,20,2.6761904128,4
2017-06-09,9,-0.9981736960000003,0
2017-06-10,0,0.8960036863999998,0
2017-06-11,5,-1.5786156032000003,0
2017-06-12,31,2.57351936,0
2017-06-13,6,0.962590208,0
2017-06-14,19,0.6808439807999997,0
2017-06-15,17,2.5622704128,0
2017-06-16,13,-2.706256896,0
2017-06-17,3,-0.5990414336000001,0
2017-06-18,0,-1.2487923712,0
2017-06-19,5,2.4814099456000003,1
2017-06-20,8,-0.12390297600000011,1
2017-06-21,8,3.2044724224,0
2017-06-22,15,1.4312423423999996,0
2017-06-23,12,-2.9196886016000003,0
2017-06-24,0,-1.681520128,0
2017-06-25,0,-0.6828040191999999,0
2017-06-26,19,2.5809712128,1
2017-06-27,17,0.9115120639999996,0
2017-06-28,4,4.6225618943999995,1
2017-06-29,20,-2.8780882944000012,0
2017-06-30,9,-2.4159375360000004,0
2017-07-01,3,-0.854194688,0
2017-07-02,10,-0.4745116671999998,0
2017-07-03,3,1.68382208,0
2017-07-04,1,-0.4327797760000003,5
2017-07-05,0,0.9794842623999997,1
2017-07-06,6,-1.5557395456000003,0
2017-07-07,6,1.5566048256,0
2017-07-08,12,-1.4083001344000001,0
2017-07-09,2,0.6364416,0
2017-07-10,2,4.19969792,0
2017-07-11,5,12.745683456,0
2017-07-12,3,3.645108633599998,0
2017-07-13,19,-9.696293171200002,0
2017-07-14,3,1.5902969856000002,1
2017-07-15,0,-4.593275904,0
2017-07-16,0,-1.6056735744,0
2017-07-17,9,-0.9765227520000002,0
2017-07-18,9,-0.6924316672000002,0
2017-07-19,26,5.480092672,0
2017-07-20,16,7.022500556799999,0
2017-07-21,32,-7.513996492800001,0
2017-07-22,11,-1.7162038271999998,0
2017-07-23,0,-0.8601103359999998,0
2017-07-24,34,1.4933120000000004,0
2017-07-25,34,-0.5518592000000002,0
2017-07-26,17,0.8981401599999999,0
2017-07-27,24,-0.6362219520000003,1
2017-07-28,28,-0.1279562752000003,0
2017-07-29,1,-1.0048187392,0
2017-07-30,2,-0.29955839999999995,2
2017-07-31,6,-0.17790208,5
2017-08-01,14,0.876435456,0
2017-08-02,0,4.3072014335999995,3
2017-08-03,14,0.8211365887999995,0
2017-08-04,5,-2.0962699264000006,2
2017-08-05,0,-1.4124424192,0
2017-08-06,0,0.4566499328000002,0
2017-08-07,0,-0.9213952000000001,0
2017-08-08,2,-0.34169344,0
2017-08-09,17,0.7791636479999999,0
2017-08-10,2,-0.7622607872000001,0
2017-08-11,13,-0.2396451840000001,0
2017-08-12,0,-0.11710382080000005,0
2017-08-13,0,-0.05502750719999999,0
2017-08-14,10,-0.03318835200000001,0
2017-08-15,0,5.9747427328,0
2017-08-16,12,-1.6129254400000006,0
2017-08-17,12,2.069659648,0
2017-08-18,13,-0.9845020672000002,3
2017-08-19,0,0.006399999999999961,0
2017-08-20,1,-1.8682880000000002,0
