,blevesearch/bleve,apache/solr,elastic/elasticsearch
2014-04-17,2,10,5.0
2014-04-18,7,15,10.0
2014-04-19,8,1,0.40000000000000036
2014-04-20,4,3,-0.7200000000000009
2014-04-21,0,13,5.863999999999999
2014-04-22,3,9,14.87872
2014-04-23,0,5,4.50816
2014-04-24,5,9,11.084441599999998
2014-04-25,13,7,8.88384512
2014-04-26,0,1,-4.473772544000001
2014-04-27,0,1,-3.116766310400002
2014-04-28,0,7,18.9966035968
2014-04-29,0,7,29.3137632256
2014-04-30,0,11,0.1382469632000003
2014-05-01,0,21,-2.714908364800001
2014-05-02,0,8,2.4289572863999993
2014-05-03,0,1,-4.3176509439999995
2014-05-04,0,4,1.4002765823999992
2014-05-05,0,8,10.3913015296
2014-05-06,0,5,21.643790848000002
2014-05-07,0,8,7.3728393216000025
2014-05-08,0,18,4.370587136
2014-05-09,1,12,6.512324607999999
2014-05-10,0,0,-2.4378745856000013
2014-05-11,0,16,-3.6765027328000013
2014-05-12,0,8,23.622612992
2014-05-13,0,15,15.9884596224
2014-05-14,0,12,10.897968332800001
2014-05-15,3,18,0.06403368960000044
2014-05-16,3,14,8.292687871999998
2014-05-17,0,7,-3.1493315584
2014-05-18,0,0,2.9463278591999984
2014-05-19,1,12,9.986650828799998
2014-05-20,0,11,6.669769728
2014-05-21,0,17,6.545537433600001
2014-05-22,0,13,13.674613452800001
2014-05-23,0,11,7.3645681664
2014-05-24,0,1,-4.1516685312
2014-05-25,0,1,-3.7638562816000016
2014-05-26,0,3,-1.3970737152000008
2014-05-27,0,3,3.0114363392000003
2014-05-28,0,6,24.5568047104
2014-05-29,0,7,-3.8289676287999983
2014-05-30,0,8,5.2655695872
2014-05-31,0,2,0.9982649344000007
2014-06-01,0,0,-3.1226551296
2014-06-02,0,9,8.2337185792
2014-06-03,0,8,32.730393088
2014-06-04,0,6,-4.0005397504
2014-06-05,0,11,10.826865664
2014-06-06,0,3,0.7016799232000004
2014-06-07,0,2,-0.6364910592000008
2014-06-08,0,0,-3.603746713600001
2014-06-09,0,6,2.711669247999999
2014-06-10,0,10,5.3088409599999995
2014-06-11,0,11,2.632702464000002
2014-06-12,0,8,9.883191705600002
2014-06-13,0,8,10.875247616000001
2014-06-14,0,3,-3.092410470399999
2014-06-15,0,0,2.1231316991999987
2014-06-16,0,17,8.2320425984
2014-06-17,0,14,3.13810688
2014-06-18,0,19,6.485176832
2014-06-19,0,8,11.9803675648
2014-06-20,0,5,4.6101052416
2014-06-21,0,2,1.2099893248000004
2014-06-22,0,2,-2.8079180800000008
2014-06-23,0,4,-1.3790327808000011
2014-06-24,0,6,-0.855962624
2014-06-25,0,1,3.4810351616000004
2014-06-26,1,3,3.9789059072000006
2014-06-27,0,6,11.646127104000001
2014-06-28,0,1,-1.044511846399999
2014-06-29,0,0,-0.4499112960000007
2014-06-30,0,7,5.2321606655999995
2014-07-01,0,13,17.5264562176
2014-07-02,0,6,14.651632537600001
2014-07-03,7,9,15.4482205696
2014-07-04,0,3,10.306794496
2014-07-05,0,6,0.4613661695999989
2014-07-06,0,0,-2.673309081600001
