,seaweedfs/seaweedfs,ceph/ceph,minio/minio
2022-10-31,9,6.0,3.0
2022-11-01,0,5.0,2.6999999999999997
2022-11-02,1,6.0,1.5649999999999995
2022-11-03,1,15.0,1.5794999999999997
2022-11-04,3,8.0,4.5625124999999995
2022-11-05,0,10.0,0.24266224999999986
2022-11-06,0,7.0,-0.5111612874999999
2022-11-07,1,14.0,5.66617437375
2022-11-08,0,17.0,6.147643947203125
2022-11-09,0,10.0,2.826340835845312
2022-11-10,2,40.0,3.965552611360937
2022-11-11,1,7.0,5.891960175146875
2022-11-12,0,6.0,0.6439290336000001
2022-11-13,0,1.0,2.0164980993046884
2022-11-14,5,20.0,2.075625382464063
2022-11-15,1,8.0,4.095064948156251
2022-11-16,0,22.0,3.8978015961750003
2022-11-17,0,14.0,0.8506112114359379
2022-11-18,0,14.0,5.136745376028125
2022-11-19,0,5.0,-1.1548086337890622
2022-11-20,0,11.0,-0.6615919700328117
2022-11-21,2,28.0,-0.43750254536874933
2022-11-22,0,34.0,2.6686114595953137
2022-11-23,1,25.0,0.44846887106406297
2022-11-24,2,13.0,1.574004704742188
2022-11-25,1,11.0,-0.4581930662109374
2022-11-26,0,8.0,1.7453049168343753
2022-11-27,0,5.0,0.6235941347843752
2022-11-28,0,13.0,4.7130722125
2022-11-29,0,31.0,1.3193233987499997
2022-11-30,2,24.0,1.439052339703125
2022-12-01,1,29.0,3.4576517368765627
2022-12-02,0,17.0,4.279711246432813
2022-12-03,0,17.0,-0.911055860071875
2022-12-04,0,35.0,2.4914011152187503
2022-12-05,3,25.0,5.334457975662501
2022-12-06,2,16.0,5.992468664885938
2022-12-07,1,42.0,3.7279499187890623
2022-12-08,1,25.0,3.8058933213968746
2022-12-09,0,46.0,0.7926353116156251
2022-12-10,0,18.0,0.07023898727812572
2022-12-11,3,5.0,-0.7028771764296866
2022-12-12,3,36.0,4.5267025459531265
2022-12-13,1,30.0,6.123518878048438
2022-12-14,0,33.0,2.7834541499250003
2022-12-15,0,28.0,2.9379572109203123
2022-12-16,0,30.0,-0.007997732757812459
2022-12-17,1,1.0,-0.6914458349609368
2022-12-18,1,6.0,2.553356669412501
2022-12-19,4,19.0,3.368381578714063
2022-12-20,1,21.0,1.2017250111718754
2022-12-21,7,15.0,0.3123879612109377
2022-12-22,0,23.0,5.479410482685938
2022-12-23,1,7.0,4.08403739154375
2022-12-24,0,4.0,1.0130582393406249
