,sveltejs/svelte,facebook/react,vuejs/core
2018-09-19,3,4.0,9
2018-09-20,0,-0.40000000000000036,22
2018-09-21,0,-0.18000000000000013,5
2018-09-22,0,-0.11400000000000009,0
2018-09-23,0,0.9173500000000003,2
2018-09-24,1,-0.16446699999999986,10
2018-09-25,0,5.90235195,12
2018-09-26,8,3.3271252149999997,8
2018-09-27,3,1.2710642479374996,2
2018-09-28,0,1.3992878398562496,0
2018-09-29,0,-0.5411370124999999,0
2018-09-30,1,-0.3374441962499995,0
2018-10-01,0,1.7486676119843756,9
2018-10-02,0,0.5988324199640629,10
2018-10-03,0,1.6496578119062504,9
2018-10-04,0,8.560822215221876,8
2018-10-05,0,-0.13474442867500058,0
2018-10-06,0,-0.6508303311031252,0
2018-10-07,0,-0.40206348007187487,0
2018-10-08,0,-0.28204540499999914,1
2018-10-09,0,1.7777324027187507,6
2018-10-10,0,6.616871726912501,6
2018-10-11,0,1.0694592426828122,5
2018-10-12,0,7.3139937815375,3
2018-10-13,0,-1.2159829858390632,1
2018-10-14,0,0.3977301474640629,3
2018-10-15,1,0.49153372500000037,6
2018-10-16,0,0.543145020000001,8
2018-10-17,10,0.5744494752187506,8
2018-10-18,0,3.5945781113187505,6
2018-10-19,3,7.323042586217188,0
2018-10-20,6,9.848214528303124,0
2018-10-21,0,3.297774220962499,0
2018-10-22,0,-0.3555907717656255,0
2018-10-23,2,22.08951012569844,3
2018-10-24,7,-0.925430411801563,0
2018-10-25,0,-1.711734800551562,0
2018-10-26,0,-1.126950062098437,5
2018-10-27,13,2.153663114481253,0
2018-10-28,25,-0.9530830072093732,16
2018-10-29,4,22.378717573276564,1
2018-10-30,2,0.2814583855546866,3
2018-10-31,0,1.3523550556046873,0
2018-11-01,0,0.6488395156421873,0
2018-11-02,0,4.047978757428127,12
2018-11-03,0,-1.141453838749999,0
2018-11-04,5,-0.7237689765468739,0
2018-11-05,1,8.447987141142189,0
2018-11-06,1,7.671615674390625,0
2018-11-07,0,13.332932588876563,0
2018-11-08,1,1.6966010483453111,6
2018-11-09,1,12.382735835110937,4
2018-11-10,0,-0.40315252015000036,1
2018-11-11,0,-1.5594406251796862,0
2018-11-12,0,-0.03170262874999863,3
2018-11-13,1,3.105869729109377,7
2018-11-14,1,1.9072825162859393,0
2018-11-15,0,0.011509171942188479,0
2018-11-16,0,0.28444568739843823,0
2018-11-17,0,-0.5190059348624994,0
2018-11-18,0,-0.3498370740343742,0
2018-11-19,0,4.821947798678125,0
2018-11-20,3,1.369791614484375,0
2018-11-21,0,-0.5342319558484375,0
2018-11-22,0,4.6809439420593755,0
2018-11-23,0,2.2938289331265627,0
2018-11-24,0,0.33512408444843755,0
2018-11-25,0,-0.4839424150359375,0
2018-11-26,0,1.6843949937500005,0
2018-11-27,0,3.5588997924218755,0
2018-11-28,0,1.3140462987890627,0
2018-11-29,0,0.43513102617812505,0
2018-11-30,0,2.560390333671875,0
2018-12-01,0,0.40132360202343775,2
2018-12-02,1,1.5696191043765628,0
2018-12-03,0,2.5333697049640627,0
2018-12-04,0,1.4135603139687503,0
2018-12-05,0,1.448566887865625,0
2018-12-06,0,1.4637464800750002,0
2018-12-07,0,1.4859698806625001,0
2018-12-08,2,-0.5111967628328122,0
2018-12-09,1,-0.3169968006234371,0
2018-12-10,0,-0.21769909231718704,0
2018-12-11,0,-0.16757256161874945,0
2018-12-12,0,1.874921898860938,0
2018-12-13,0,1.7155542513968751,0
2018-12-14,0,1.651878276396875,0
2018-12-15,8,-0.3829343311031252,0
2018-12-16,4,-0.2051227050718749,0
2018-12-17,2,-0.1305584999999998,0
2018-12-18,0,2.9001174750000005,0
2018-12-19,0,-0.3807449175,1
2018-12-20,0,2.7973519564687503,0
2018-12-21,1,-0.4436217236031252,0
2018-12-22,13,-0.23292183110312478,0
2018-12-23,37,-0.15064795507187487,0
2018-12-24,21,-0.10147353749999966,0
2018-12-25,9,0.9183686612500003,0
2018-12-26,8,-0.1681909765468749,0
2018-12-27,1,-0.10347764635781237,0
2018-12-28,7,-0.057204939046874945,0
2018-12-29,19,-0.04585905760781236,0
2018-12-30,1,-0.016116749999999947,0
2018-12-31,14,-0.01316201249999996,0
2019-01-01,21,-0.011093696249999967,0
2019-01-02,6,0.990431686984375,0
2019-01-03,10,-0.10839885253593756,0
2019-01-04,4,-0.04500000000000003,0
2019-01-05,14,-0.028500000000000022,0
2019-01-06,0,-0.020662499999999924,0
2019-01-07,0,0.9838832500000001,0
2019-01-08,0,1.8868379874999999,0
2019-01-09,5,0.7439063037499998,0
2019-01-10,3,1.7719316869843749,0
2019-01-11,5,-0.33106135253593766,0
2019-01-12,1,0.8240582500000001,0
2019-01-13,12,-0.2230580124999999,0
2019-01-14,5,1.8601405287500004,0
2019-01-15,4,4.694348781984375,0
2019-01-16,4,1.3243843001828122,0
2019-01-17,2,4.4533298394125,0
2019-01-18,1,9.185477508932813,0
2019-01-19,12,-0.4454374013218756,0
2019-01-20,2,-0.850301088015625,0
2019-01-21,0,9.438057692464064,0
2019-01-22,0,1.5833621177187505,1
2019-01-23,1,9.91553327485,1
2019-01-24,0,2.215663755039062,1
2019-01-25,2,0.6241367548500005,0
2019-01-26,10,-1.0654260890859368,0
2019-01-27,7,2.2951852866250015,0
2019-01-28,0,1.2242438974640635,0
2019-01-29,6,2.285461643593751,0
2019-01-30,24,8.20489432684375,0
2019-01-31,3,6.644865689220312,0
2019-02-01,2,1.4669767275421872,0
2019-02-02,0,-0.10293907367500021,0
2019-02-03,5,-0.7737155688218743,0
2019-02-04,6,4.468770880953127,0
2019-02-05,3,9.084506115110939,0
2019-02-06,4,12.45534523963125,0
2019-02-07,12,-0.24816373224843868,0
2019-02-08,2,4.583108221801563,0
2019-02-09,4,0.5168017944156253,0
2019-02-10,1,0.921982566876564,0
2019-02-11,0,2.076553041214064,0
2019-02-12,0,2.053744797421876,0
2019-02-13,0,10.050661334664063,0
2019-02-14,3,15.286837124921874,0
2019-02-15,1,1.3956722359656242,0
2019-02-16,0,1.2884432493343745,0
2019-02-17,24,-0.37134092124687434,0
2019-02-18,9,-0.9862482073531231,0
2019-02-19,9,9.289299379631252,0
2019-02-20,12,4.445359132095313,0
2019-02-21,1,19.509298362970313,0
2019-02-22,11,4.989973728339061,0
2019-02-23,3,1.6498781535765623,0
2019-02-24,2,-0.7170365454406249,0
2019-02-25,3,3.795002004376564,1
2019-02-26,1,1.6389403599640642,2
2019-02-27,3,8.796268429843751,3
2019-02-28,3,12.157708375296876,2
2019-03-01,1,5.55234544145625,5
2019-03-02,5,-2.1680304548796876,0
2019-03-03,1,1.803656918900001,0
2019-03-04,0,1.8834392580906265,0
2019-03-05,3,2.952923868635939,1
2019-03-06,2,3.8846616607734386,0
2019-03-07,10,8.791024964735938,0
2019-03-08,3,-1.756032227578125,0
