,NativeScript/NativeScript,flutter/flutter,ionic-team/ionic-framework
2015-03-16,10,3.0,3
2015-03-17,15,5.1,1
2015-03-18,6,2.885,34
2015-03-19,9,0.6915000000000004,8
2015-03-20,10,4.097512500000001,7
2015-03-21,1,-2.74263575,8
2015-03-22,0,-1.2574765874999994,15
2015-03-23,12,3.1773542537500004,17
2015-03-24,38,1.1920861447031248,17
2015-03-25,5,2.2010390034578124,15
2015-03-26,12,2.8895589405249997,13
2015-03-27,6,-1.4884408589609377,15
2015-03-28,0,-1.4383790402921874,1
2015-03-29,0,-0.8269346793968748,17
2015-03-30,14,-0.5248651824999999,23
2015-03-31,10,-0.40226588831250015,14
2015-04-01,4,0.6760825392718748,9
2015-04-02,3,-0.5223243380109378,13
2015-04-03,11,-0.2576745105093753,7
2015-04-04,0,-0.14329378292968764,1
2015-04-05,0,-0.05374591323281252,1
2015-04-06,6,0.97027975,4
2015-04-07,2,1.6767191375,5
2015-04-08,12,-0.72395727375,4
2015-04-09,7,1.714623283234375,4
2015-04-10,0,0.2272540867671875,10
2015-04-11,1,-0.6200452499999999,3
2015-04-12,0,-0.30672136249999987,0
2015-04-13,1,-0.20534399874999995,1
2015-04-14,6,2.846605735734375,0
2015-04-15,2,-0.021618821764062712,0
2015-04-16,7,-0.7033622364656249,0
2015-04-17,5,-0.3342107072812499,0
2015-04-18,0,-0.22303104323125006,0
2015-04-19,0,-0.1429066632328125,0
2015-04-20,36,0.9004371625,3
2015-04-21,2,2.61984731625,3
2015-04-22,18,-1.0715874240468752,8
2015-04-23,5,-0.43112695646406235,11
2015-04-24,17,-0.23224591323281243,10
2015-04-25,0,-0.15020775,13
2015-04-26,0,-0.11244161249999998,7
2015-04-27,3,1.91120013875,6
2015-04-28,7,3.3272514619843747,5
2015-04-29,7,-1.4712135635296877,1
2015-04-30,3,-0.5797502396984372,1
2015-05-01,0,-0.31832499999999986,2
2015-05-02,0,-0.22009049999999997,0
2015-05-03,0,-0.16544272499999998,1
2015-05-04,5,0.8689620025,19
2015-05-05,7,-0.40758252853125015,15
2015-05-06,0,-0.19567369352812514,6
2015-05-07,2,-0.11383365293125006,2
2015-05-08,6,-0.0401625,7
2015-05-09,0,-0.029720249999999997,4
2015-05-10,0,-0.023280862499999996,0
2015-05-11,11,-0.018957273750000003,2
2015-05-12,4,0.9841232832343749,16
2015-05-13,8,2.686416586767187,13
2015-05-14,8,2.995,7
2015-05-15,11,-0.5745,4
2015-05-16,0,-0.9386624999999996,11
2015-05-17,0,-0.4932077499999998,4
2015-05-18,11,2.6674083875,1
2015-05-19,13,7.8521566387499995,2
2015-05-20,6,-2.210592238015625,3
2015-05-21,8,3.4161764789703133,5
2015-05-22,6,-2.384201880510938,2
2015-05-23,0,-0.1053336196968746,0
2015-05-24,0,-0.9885707507328124,0
2015-05-25,14,-0.6019323337499998,0
2015-05-26,5,4.5503722734531244,5
2015-05-27,11,7.140835223160937,2
2015-05-28,4,8.512365945389062,11
2015-05-29,9,-2.9587478595609378,14
2015-05-30,0,-2.6831868399140615,11
2015-05-31,1,-1.4499404667656246,8
2015-06-01,7,2.0015800242671875,10
2015-06-02,11,8.35871786875,14
2015-06-03,9,6.0961901024218745,11
2015-06-04,3,11.286643472945311,24
2015-06-05,2,-2.9161733677828128,10
2015-06-06,0,-4.160540142324999,1
2015-06-07,0,-2.1678369139656244,1
2015-06-08,4,7.53251705375,13
2015-06-09,3,6.193814487203125,9
2015-06-10,3,7.174535055145312,26
2015-06-11,11,7.123458870015625,8
2015-06-12,4,-1.5821531955781252,3
2015-06-13,0,-1.5289487287874994,0
2015-06-14,0,-3.2415139154312493,1
2015-06-15,10,3.10532041125,7
2015-06-16,3,7.122490711609375,6
2015-06-17,19,5.394754865748437,7
2015-06-18,33,6.874135645234375,21
2015-06-19,1,-1.9798397329968758,19
