,parcel-bundler/parcel,rollup/rollup,webpack/webpack
2021-08-05,0,4,9.0
2021-08-06,2,0,6.3
2021-08-07,0,0,-1.6449999999999996
2021-08-08,0,3,-2.0804999999999993
2021-08-09,0,0,-1.1069624999999994
2021-08-10,1,3,16.25205525
2021-08-11,1,0,-2.657335012500001
2021-08-12,1,0,-3.124583726249999
2021-08-13,0,0,-1.6865676396406246
2021-08-14,0,1,1.835681782514062
2021-08-15,0,0,-0.6797359026265628
2021-08-16,1,0,11.872897761034375
2021-08-17,1,0,-3.5756162412500005
2021-08-18,0,0,-0.17176350626562487
2021-08-19,1,0,7.113628574745312
2021-08-20,0,0,-0.6319255771984373
2021-08-21,2,0,-2.4706784337499994
2021-08-22,2,0,-1.3297838865468745
2021-08-23,3,3,-0.9257553777140626
2021-08-24,0,0,0.3265305200640619
2021-08-25,1,0,0.17093585120781218
2021-08-26,1,1,3.3092051019859374
2021-08-27,1,0,-0.5914290986062505
2021-08-28,1,0,-0.9895433693921876
2021-08-29,4,0,-0.4536329896984374
2021-08-30,2,0,8.726848887500001
2021-08-31,2,0,-2.9012816362500002
2021-09-01,3,0,-1.1026776905156244
2021-09-02,5,0,4.3359299125015625
2021-09-03,0,0,13.042489945954687
2021-09-04,0,0,-5.362692619696876
2021-09-05,0,0,-1.0956111757328113
2021-09-06,1,1,-1.5639279637499997
2021-09-07,1,1,-0.9989292008906252
2021-09-08,0,0,12.256041218404688
2021-09-09,0,0,-3.3841618062500007
2021-09-10,1,0,3.9415370599218758
2021-09-11,4,0,-2.007848680148438
2021-09-12,0,0,-0.7343209722421873
2021-09-13,0,0,1.7955975332343752
2021-09-14,1,0,8.348570124267187
2021-09-15,1,0,-2.86270942125
2021-09-16,2,0,5.036577483296875
2021-09-17,0,0,-0.279693343792188
2021-09-18,1,1,-2.3363676000765623
2021-09-19,0,1,-1.2550420574124996
2021-09-20,1,0,3.1915016737515627
2021-09-21,1,0,1.1974035864703123
2021-09-22,0,3,-0.7906014686046878
2021-09-23,0,0,3.79274564715625
2021-09-24,0,0,12.874257748157813
2021-09-25,0,0,-5.466582542926563
2021-09-26,0,0,-1.1356969396984362
2021-09-27,0,0,4.4312955675
2021-09-28,1,0,8.200301699187499
2021-09-29,1,0,0.32737086052187436
2021-09-30,2,0,-3.5527887627140613
2021-10-01,3,5,1.1724786466890629
2021-10-02,0,0,-2.1469576801484385
2021-10-03,2,0,-1.2051288972421876
2021-10-04,3,0,6.287188903234375
2021-10-05,4,0,8.345734462423437
2021-10-06,5,0,6.52490851743125
2021-10-07,3,0,4.829856283110937
2021-10-08,6,0,-0.2154263874140625
2021-10-09,3,0,-2.9019594002968745
2021-10-10,1,0,-2.3924265271984373
2021-10-11,0,0,0.48016184625000036
2021-10-12,5,0,0.26672848389062476
2021-10-13,2,0,4.290169836698437
2021-10-14,1,1,-2.7887587299828134
2021-10-15,1,0,-1.2555769444671876
2021-10-16,1,0,-0.7309404899062503
2021-10-17,0,0,1.5692289920703124
2021-10-18,1,0,13.123618814267187
2021-10-19,0,0,0.3806468439687487
2021-10-20,0,0,4.738336097503126
2021-10-21,1,0,-0.9607521270593748
2021-10-22,0,0,-0.7407159793968745
2021-10-23,0,0,-2.054457725
2021-10-24,1,0,1.7777521275000003
2021-10-25,0,8,5.20919092146875
2021-10-26,3,0,-3.114959879934376
2021-10-27,1,0,0.5360073534125003
2021-10-28,0,0,4.564648153460937
2021-10-29,1,0,4.425489746340625
2021-10-30,0,0,0.8006119892703123
2021-10-31,1,0,-2.6193296852156243
2021-11-01,1,5,-1.3172465665468747
2021-11-02,6,0,20.104092017942186
