,facebook/react,emberjs/ember.js,angular/angular
2018-09-18,11.0,1,15.0
2018-09-19,2.899999999999999,2,17.0
2018-09-20,-0.8950000000000007,0,4.0
2018-09-21,-0.4935000000000004,4,21.0
2018-09-22,-0.34128749999999924,6,2.0
2018-09-23,0.7400657500000009,2,0.0
2018-09-24,-0.30924913749999944,6,20.0
2018-09-25,5.78032129125,10,3.0
2018-09-26,3.221873771828125,5,48.0
2018-09-27,1.1786768700421875,2,30.0
2018-09-28,1.3992878398562496,1,5.0
2018-09-29,-0.5411370124999999,2,0.0
2018-09-30,-0.3374441962499995,1,0.0
2018-10-01,1.7486676119843756,5,23.0
2018-10-02,0.5988324199640629,4,1.0
2018-10-03,1.6496578119062504,10,3.0
2018-10-04,8.560822215221876,7,19.0
2018-10-05,-0.13474442867500058,10,17.0
2018-10-06,-0.6508303311031252,2,0.0
2018-10-07,-0.40206348007187487,3,0.0
2018-10-08,-0.28204540499999914,6,17.0
2018-10-09,1.7777324027187507,2,7.0
2018-10-10,6.616871726912501,1,18.0
2018-10-11,1.0694592426828122,1,24.0
2018-10-12,7.3139937815375,3,15.0
2018-10-13,-1.2159829858390632,3,0.0
2018-10-14,0.3977301474640629,9,0.0
2018-10-15,0.49153372500000037,4,11.0
2018-10-16,0.543145020000001,1,8.0
2018-10-17,0.5744494752187506,2,29.0
2018-10-18,3.5945781113187505,12,14.0
2018-10-19,7.323042586217188,11,36.0
2018-10-20,9.848214528303124,4,17.0
2018-10-21,3.297774220962499,0,2.0
2018-10-22,-0.3555907717656255,2,3.0
2018-10-23,22.08951012569844,7,28.0
2018-10-24,-0.925430411801563,5,14.0
2018-10-25,-1.711734800551562,0,6.0
2018-10-26,-1.126950062098437,2,33.0
2018-10-27,2.153663114481253,0,0.0
2018-10-28,-0.9530830072093732,0,0.0
2018-10-29,22.378717573276564,4,16.0
2018-10-30,0.2814583855546866,1,15.0
2018-10-31,1.3523550556046873,5,17.0
2018-11-01,0.6488395156421873,1,40.0
2018-11-02,4.047978757428127,1,14.0
2018-11-03,-1.141453838749999,1,0.0
2018-11-04,-0.7237689765468739,0,0.0
2018-11-05,8.447987141142189,4,8.0
2018-11-06,7.671615674390625,3,6.0
2018-11-07,13.332932588876563,2,7.0
2018-11-08,1.6966010483453111,4,10.0
2018-11-09,12.382735835110937,6,10.0
2018-11-10,-0.40315252015000036,0,0.0
2018-11-11,-1.5594406251796862,6,0.0
2018-11-12,-0.03170262874999863,3,9.0
2018-11-13,3.105869729109377,3,14.0
2018-11-14,1.9072825162859393,0,10.0
2018-11-15,0.011509171942188479,1,1.0
2018-11-16,0.28444568739843823,0,10.0
2018-11-17,-0.5190059348624994,0,5.0
2018-11-18,-0.3498370740343742,0,0.0
2018-11-19,4.821947798678125,4,3.0
2018-11-20,1.369791614484375,1,11.0
2018-11-21,-0.5342319558484375,3,9.0
2018-11-22,4.6809439420593755,4,0.0
2018-11-23,2.2938289331265627,3,0.0
2018-11-24,0.33512408444843755,0,0.0
2018-11-25,-0.4839424150359375,0,0.0
2018-11-26,1.6843949937500005,5,10.0
2018-11-27,3.5588997924218755,0,23.0
2018-11-28,1.3140462987890627,9,9.0
2018-11-29,0.43513102617812505,2,2.0
2018-11-30,2.560390333671875,2,56.0
