,remix-run/remix,vercel/next.js,nuxt/nuxt
2020-11-01,0,9.0,1
2020-11-02,0,10.4,15
2020-11-03,1,7.320000000000001,14
2020-11-04,3,6.144000000000002,15
2020-11-05,0,6.4496,17
2020-11-06,1,5.572032,14
2020-11-07,0,-2.904396799999999,1
2020-11-08,0,-6.04854784,2
2020-11-09,1,11.041597952,4
2020-11-10,1,3.4526839808000016,8
2020-11-11,0,7.602529996800001,7
2020-11-12,3,12.937375436800002,5
2020-11-13,3,-0.3847626751999975,9
2020-11-14,2,-3.5033451519999996,14
2020-11-15,0,-4.517904896000001,7
2020-11-16,0,0.036108390399999024,1
2020-11-17,1,1.1343122432000001,0
2020-11-18,6,0.9315005440000004,0
2020-11-19,8,0.10842224639999998,0
2020-11-20,1,6.6452324352000005,22
2020-11-21,3,-5.472225382399999,5
2020-11-22,2,-1.9117057024000004,1
2020-11-23,1,2.0236017663999997,0
2020-11-24,1,9.2464644096,1
2020-11-25,6,1.9049635840000008,0
2020-11-26,0,-4.4797232128,0
2020-11-27,0,-2.7019588608,0
2020-11-28,0,-0.5230453760000007,6
2020-11-29,0,-1.4223827968000005,0
2020-11-30,5,3.2217894911999996,0
2020-12-01,0,5.828474675200001,1
2020-12-02,2,0.8754111488000005,5
2020-12-03,1,-2.5391461375999995,0
2020-12-04,0,4.1810958336,0
2020-12-05,2,-3.3237767168,0
2020-12-06,0,-1.3386245120000004,0
2020-12-07,0,4.1546540032,8
2020-12-08,4,2.398044672,0
2020-12-09,1,1.9330336768000005,0
2020-12-10,14,-0.25431357439999935,0
2020-12-11,9,-1.5173698559999997,0
2020-12-12,4,2.4585075711999997,4
2020-12-13,3,-2.4613649408,0
2020-12-14,0,3.9747711999999997,0
2020-12-15,0,-2.6699033599999997,0
2020-12-16,0,4.903136256,0
2020-12-17,18,1.9423477760000005,0
2020-12-18,5,0.8523187200000004,0
2020-12-19,5,-2.8607924223999994,0
2020-12-20,0,-1.2378370048000003,0
2020-12-21,0,2.2132425727999996,0
2020-12-22,0,9.27028224,0
2020-12-23,0,-5.168838143999999,0
2020-12-24,0,-1.7866398719999999,0
2020-12-25,0,-0.054849740799999935,0
2020-12-26,0,-1.0720696320000003,0
2020-12-27,0,1.4304457727999997,0
2020-12-28,0,17.82829312,0
2020-12-29,0,4.870856704000001,0
2020-12-30,0,11.156940697600001,0
2020-12-31,0,2.3770570752000015,0
2021-01-01,0,-2.18067456,0
2021-01-02,0,-4.7469701120000005,0
2021-01-03,0,-0.13761607680000054,0
2021-01-04,0,31.924238336,0
2021-01-05,0,-5.677248921599997,0
2021-01-06,3,8.643384524800002,0
2021-01-07,3,-5.304198246399999,0
2021-01-08,1,-8.0161175552,0
2021-01-09,0,-3.9929319424000007,0
2021-01-10,0,-1.5879279616000015,0
2021-01-11,0,17.7395574784,1
2021-01-12,6,-7.564839219199998,1
2021-01-13,5,2.598770483200001,0
2021-01-14,15,1.0810678272,0
2021-01-15,4,5.420793036799999,0
2021-01-16,0,-4.9627902976,0
2021-01-17,0,2.18726144,0
2021-01-18,0,0.352242688,6
2021-01-19,7,7.6268920832,0
2021-01-20,1,-1.0937676799999991,17
2021-01-21,0,-1.2854936576,5
2021-01-22,3,4.7926498304,11
2021-01-23,0,-0.8189406207999994,0
2021-01-24,0,-0.61631488,4
2021-01-25,1,11.1187858432,0
2021-01-26,1,8.919838208000002,0
2021-01-27,9,-7.056663859199999,0
2021-01-28,13,-2.3159835648,0
2021-01-29,7,5.915468799999999,0
2021-01-30,2,-3.3549400064000006,1
2021-01-31,0,-3.1100365824000002,0
2021-02-01,3,3.3196371967999996,1
2021-02-02,3,0.8472662016000001,1
2021-02-03,5,3.9428988928000006,1
2021-02-04,3,0.8616041472000004,0
2021-02-05,9,2.4288308224,2
2021-02-06,2,-2.9628988415999995,0
2021-02-07,0,2.8886811647999995,0
2021-02-08,0,-3.1309659136,1
2021-02-09,9,3.6266367999999995,2
2021-02-10,7,-2.909335552,0
2021-02-11,8,3.7751333887999996,0
2021-02-12,3,1.2316877824000008,0
2021-02-13,0,-2.6961116159999996,0
2021-02-14,0,-1.1335574528,0
2021-02-15,2,1.3326072831999998,0
2021-02-16,12,4.727996416,3
2021-02-17,1,0.049597440000000326,6
2021-02-18,2,4.704303616000001,6
2021-02-19,0,2.2235392000000007,5
2021-02-20,1,-2.866117632,0
2021-02-21,0,-0.9696310272000002,0
2021-02-22,0,3.5404236799999995,8
2021-02-23,3,0.1473116160000001,0
2021-02-24,3,7.582303334400001,0
2021-02-25,6,0.8598188032000014,0
2021-02-26,0,-2.3076230144,1
2021-02-27,0,0.34358487039999996,0
2021-02-28,0,-2.5549872128000004,0
2021-03-01,0,5.774183731199999,1
2021-03-02,1,5.3717676032,0
2021-03-03,0,2.9443532800000005,0
2021-03-04,1,-0.1639573503999996,0
2021-03-05,2,-0.15174655999999942,2
2021-03-06,1,-3.4582760448000003,0
2021-03-07,0,-0.6341738496000007,0
2021-03-08,1,9.5227268096,0
2021-03-09,11,1.7087093760000016,0
2021-03-10,17,-1.791576985599999,1
2021-03-11,3,-0.20573470719999953,0
2021-03-12,6,3.2528019456,0
2021-03-13,2,-3.720248832,0
2021-03-14,4,-0.5686223872000002,0
2021-03-15,0,6.623369728,0
2021-03-16,0,4.9635494912,0
2021-03-17,0,-0.17458298879999923,4
2021-03-18,1,7.0384548864,1
2021-03-19,0,3.8671630336000007,0
2021-03-20,1,-4.4063079424,0
2021-03-21,0,-3.4604331008000004,0
2021-03-22,0,6.1438510079999995,0
2021-03-23,0,6.5123331072,0
2021-03-24,0,3.674045337600001,0
2021-03-25,5,-5.514574131199999,0
2021-03-26,11,2.902864384,0
2021-03-27,8,-4.1862939648,0
2021-03-28,3,1.1285294079999992,7
2021-03-29,3,9.6497240064,2
2021-03-30,17,-2.9925058559999993,1
2021-03-31,5,0.5125211136000005,0
2021-04-01,0,3.6987133952000004,0
2021-04-02,0,2.68558336,4
2021-04-03,0,-4.5528460287999994,4
2021-04-04,0,0.04828497919999952,19
2021-04-05,2,2.0061885439999996,1
2021-04-06,0,3.2919085056,13
2021-04-07,1,0.34906634240000045,1
2021-04-08,1,4.9524463616,2
2021-04-09,0,-1.5761805311999995,10
2021-04-10,0,-3.0270114815999998,0
2021-04-11,0,0.5637069823999998,2
2021-04-12,0,8.313819136,7
2021-04-13,0,0.10728867840000067,0
2021-04-14,2,1.1828292608000006,0
2021-04-15,3,3.3235341312000006,4
2021-04-16,0,-0.4234540031999998,4
2021-04-17,0,2.5387012096,2
2021-04-18,0,2.0094724096000003,4
2021-04-19,0,6.854206976,7
2021-04-20,2,27.736113766400003,12
2021-04-21,21,-8.129763328,4
2021-04-22,6,0.22647193599999937,0
2021-04-23,3,-2.754654208,8
2021-04-24,0,-4.734084505600001,0
2021-04-25,5,-0.4321134592000009,0
2021-04-26,2,-0.40456417280000023,0
2021-04-27,4,-0.15337441279999986,0
2021-04-28,11,5.0469327872,12
2021-04-29,7,-1.7432860671999997,6
2021-04-30,2,4.0797413376,0
2021-05-01,3,-3.1648781312,0
2021-05-02,1,-2.057803776,0
2021-05-03,0,0.8853174272,0
2021-05-04,3,-0.5677348864000002,0
2021-05-05,2,8.8090203136,0
2021-05-06,2,0.3465537536000012,1
2021-05-07,0,10.3533904896,0
2021-05-08,3,-7.104359014399998,0
2021-05-09,0,-2.5966212096000003,0
2021-05-10,6,12.5239775232,0
2021-05-11,16,-0.6104739839999995,0
2021-05-12,6,1.161398374400001,0
2021-05-13,3,4.4063071232,0
2021-05-14,0,4.252652032,0
2021-05-15,1,-5.409098752,0
2021-05-16,0,1.8940290047999997,0
2021-05-17,3,1.2909209599999998,0
2021-05-18,0,4.190249472,0
2021-05-19,9,9.9518793728,1
2021-05-20,0,-5.080642252799999,4
2021-05-21,2,-3.2896191488,0
2021-05-22,0,0.39751290879999956,0
2021-05-23,0,-0.7254220800000004,0
2021-05-24,6,4.837784883199999,8
2021-05-25,1,-2.994637824,0
2021-05-26,0,-0.052436479999999897,3
2021-05-27,0,1.0511481856000002,1
2021-05-28,1,3.820196352,0
2021-05-29,0,-0.29385226239999973,0
2021-05-30,0,-2.4809008128,0
2021-05-31,0,-0.14896701440000015,0
2021-06-01,0,2.8725607424,0
2021-06-02,0,5.7651144704,0
2021-06-03,0,3.9301435392000004,1
2021-06-04,2,-1.7077764095999992,4
2021-06-05,1,-0.052792422399999595,0
2021-06-06,0,-1.6698272768,0
2021-06-07,0,13.326966169599999,4
2021-06-08,0,11.051240448000001,9
2021-06-09,0,7.317252915200001,0
2021-06-10,0,-1.4397484031999994,0
2021-06-11,0,7.2064157695999995,0
2021-06-12,0,-7.5920072704,0
2021-06-13,0,-1.8690161664000007,0
2021-06-14,0,5.973969817599999,11
2021-06-15,0,6.6572536832,0
2021-06-16,0,13.891776512,9
2021-06-17,1,4.8174990336000025,3
2021-06-18,0,-1.4533108735999996,6
2021-06-19,0,-8.7364698112,0
2021-06-20,0,-0.09960345600000142,0
2021-06-21,0,-0.15943464960000142,2
2021-06-22,0,8.0608567296,1
2021-06-23,0,-0.9550525439999991,0
2021-06-24,0,3.695866777600001,4
