,kubevirt/kubevirt,liquidmetal-dev/flintlock,weaveworks/ignite
2021-06-28,6.0,2.0,7
2021-06-29,8.0,0.3999999999999999,1
2021-06-30,12.0,0.4900000000000001,2
2021-07-01,14.0,-0.5239999999999999,0
2021-07-02,13.0,-0.24482499999999988,0
2021-07-03,1.0,-0.15910299999999997,0
2021-07-04,13.0,-0.11644447499999999,1
2021-07-05,6.0,0.90908434,1
2021-07-06,18.0,-0.37399156978125014,0
2021-07-07,12.0,0.83299918301875,0
2021-07-08,22.0,0.6110398700015625,0
2021-07-09,18.0,0.5412540867671876,0
2021-07-10,6.0,-0.4942202499999999,1
2021-07-11,7.0,-0.22794336249999989,1
2021-07-12,16.0,0.85165997625,2
2021-07-13,11.0,-0.40904032926562506,0
2021-07-14,14.0,-0.19054179948281244,1
2021-07-15,14.0,-0.11761485301562502,0
2021-07-16,27.0,-0.08857990374843758,0
2021-07-17,1.0,-0.05918037999843757,0
2021-07-18,4.0,-0.03686427573281252,1
2021-07-19,9.0,-0.018957273750000003,6
2021-07-20,18.0,-0.015876716765625045,0
2021-07-21,17.0,-0.013583413232812524,0
2021-07-22,42.0,0.0,0
2021-07-23,9.0,0.0,1
2021-07-24,0.0,0.0,0
2021-07-25,4.0,0.0,0
2021-07-26,11.0,0.0,0
2021-07-27,11.0,0.0,0
2021-07-28,20.0,5.0,0
2021-07-29,24.0,1.4999999999999998,0
2021-07-30,17.0,-1.4249999999999998,0
2021-07-31,0.0,-0.6124999999999996,0
2021-08-01,2.0,-0.3793124999999999,0
2021-08-02,8.0,-0.26908875,1
2021-08-03,13.0,-0.20556506249999995,1
2021-08-04,7.0,-0.16462895625,0
2021-08-05,12.0,-0.13625540507812522,0
2021-08-06,10.0,-0.11554721646093775,0
2021-08-07,0.0,-0.04075023969843757,0
2021-08-08,2.0,0.0,0
2021-08-09,4.0,10.0,2
2021-08-10,18.0,-1.0000000000000004,0
2021-08-11,39.0,4.3500000000000005,0
2021-08-12,14.0,-2.605,0
2021-08-13,12.0,0.8493750000000007,0
2021-08-14,0.0,-1.3345274999999999,0
2021-08-15,0.0,-0.7432241249999998,0
2021-08-16,17.0,-0.5334559624999999,0
2021-08-17,14.0,-0.4166918901562504,0
2021-08-18,15.0,-0.34077170835937537,0
2021-08-19,8.0,-0.1689888520593753,0
2021-08-20,10.0,3.880584973103125,0
2021-08-21,1.0,-1.2317534335312503,0
2021-08-22,4.0,-0.4471668264656248,0
2021-08-23,10.0,-0.23799999999999988,0
2021-08-24,13.0,-0.16065,0
2021-08-25,11.0,0.881119,0
2021-08-26,9.0,1.60687655,0
2021-08-27,2.0,-0.7808290950000001,0
2021-08-28,1.0,-0.3330068670625,0
2021-08-29,4.0,-0.21349615293125002,0
2021-08-30,4.0,-0.11004524999999998,0
2021-08-31,18.0,-0.08272136249999999,0
2021-09-01,12.0,-0.06551899875,0
2021-09-02,8.0,-0.053791264265625055,0
2021-09-03,5.0,-0.04533684676406261,2
2021-09-04,6.0,-0.027166826465625047,0
2021-09-05,2.0,0.0,0
2021-09-06,11.0,0.0,0
2021-09-07,7.0,0.0,0
2021-09-08,4.0,0.0,0
2021-09-09,13.0,3.0,0
2021-09-10,7.0,0.09999999999999987,1
2021-09-11,0.0,-0.6149999999999998,0
2021-09-12,5.0,-0.28349999999999986,0
