,youzan/vant,ant-design/ant-design,ElemeFE/element
2020-12-27,12,0.0,2
2020-12-28,6,16.0,1
2020-12-29,6,2.6000000000000014,1
2020-12-30,11,-3.519999999999999,1
2020-12-31,1,3.096,0
2021-01-01,3,-1.8816000000000002,0
2021-01-02,22,-1.5016320000000003,0
2021-01-03,6,-0.7441792000000003,0
2021-01-04,1,12.54189824,1
2021-01-05,1,-3.500664831999999,0
2021-01-06,1,2.4388037632000006,0
2021-01-07,2,1.9708034048000007,0
2021-01-08,3,2.8994130944,0
2021-01-09,16,-3.5965621248,0
2021-01-10,5,1.6559366143999998,0
2021-01-11,4,0.04865669120000016,0
2021-01-12,10,5.3672189952,0
2021-01-13,1,9.460092108800001,0
2021-01-14,1,0.6513534976000006,0
2021-01-15,2,1.044111667200001,4
2021-01-16,6,-1.3717582848000003,0
2021-01-17,5,-4.0211306496,0
2021-01-18,2,5.007633715199999,0
2021-01-19,1,2.8480749567999997,0
2021-01-20,7,-2.616597606399999,0
2021-01-21,0,5.1699198976,0
2021-01-22,9,0.2999333888000004,1
2021-01-23,14,-1.8708214784,0
2021-01-24,4,9.484183654399999,0
2021-01-25,4,0.9067670528000011,1
2021-01-26,15,1.903773696,0
2021-01-27,1,2.9429161984000007,0
2021-01-28,1,-3.4287830015999994,0
2021-01-29,0,3.8567547903999997,0
2021-01-30,0,0.4566726656000002,0
2021-01-31,12,-2.9859553279999997,1
2021-02-01,0,7.7323828224,1
2021-02-02,5,7.6369286144,1
2021-02-03,7,3.7297680384000005,0
2021-02-04,4,-2.1996763135999986,0
2021-02-05,6,3.025941401600001,0
2021-02-06,1,-3.5908222976,2
2021-02-07,2,1.6596557823999998,0
2021-02-08,3,-1.850845696,0
2021-02-09,13,3.3336722431999997,0
2021-02-10,14,7.075286016000001,1
2021-02-11,9,-5.124551270399999,0
2021-02-12,15,-2.7464091647999997,0
2021-02-13,6,-1.4702976000000003,0
2021-02-14,10,-0.9717878784000007,0
2021-02-15,2,-0.6469671936000003,0
2021-02-16,9,6.512927232,0
