,gitbucket/gitbucket,gitlabhq/gitlabhq,gogs/gogs
2014-02-12,0,19.0,5
2014-02-13,0,15.200000000000001,1
2014-02-14,0,14.68,2
2014-02-15,0,6.567999999999999,1
2014-02-16,0,0.24959999999999738,0
2014-02-17,0,7.676415999999998,4
2014-02-18,2,34.9506688,2
2014-02-19,1,4.09472512,4
2014-02-20,0,7.686881791999998,5
2014-02-21,4,10.009191014399999,0
2014-02-22,1,-5.1177240576,0
2014-02-23,5,-1.1165731840000008,0
2014-02-24,3,18.9066595328,0
2014-02-25,0,19.691654553600003,6
2014-02-26,9,14.701649715200002,0
2014-02-27,1,10.371856384,0
2014-02-28,8,10.125844992,0
2014-03-01,15,-5.637511782400001,0
2014-03-02,8,-2.3810527232000016,8
2014-03-03,4,15.927284940799998,9
2014-03-04,14,1.1387725824000015,1
2014-03-05,9,5.5799354368,0
2014-03-06,14,11.613932851200001,12
2014-03-07,2,-2.3825207295999995,5
2014-03-08,11,0.8976599039999993,0
2014-03-09,2,-0.4493249536000006,1
2014-03-10,3,18.3733680128,5
2014-03-11,3,11.066195148800002,18
2014-03-12,5,9.607883776,4
2014-03-13,6,16.5760309248,27
2014-03-14,7,24.970187161600002,17
2014-03-15,8,-5.730905804800001,36
2014-03-16,0,-3.3173129216000037,31
2014-03-17,0,28.426363392,37
2014-03-18,4,-1.7302930431999997,10
2014-03-19,1,17.3581746176,43
2014-03-20,2,15.241872691200001,44
2014-03-21,0,7.5194392576,24
2014-03-22,0,-1.4909975551999999,18
2014-03-23,0,-2.131045683200001,49
2014-03-24,5,33.577213952,32
2014-03-25,0,33.4220284928,52
2014-03-26,0,15.875565260800002,35
2014-03-27,1,11.144257228799997,20
2014-03-28,1,-0.7662693376000007,14
2014-03-29,2,-6.752825753600002,19
2014-03-30,2,-4.720278220800003,22
2014-03-31,3,16.852601139199997,10
2014-04-01,1,20.687285862400003,8
2014-04-02,5,28.218916556800004,12
2014-04-03,0,10.456087142400001,4
2014-04-04,1,7.33842688,11
2014-04-05,0,-4.252867481600001,8
2014-04-06,0,7.852322201599997,16
2014-04-07,3,35.2260380672,9
2014-04-08,4,19.4830181376,5
2014-04-09,3,14.1625619456,8
2014-04-10,5,2.7730121728000015,21
2014-04-11,4,8.3237183488,22
2014-04-12,0,-6.1601226752,25
2014-04-13,0,6.124277452799998,12
2014-04-14,0,21.67410944,16
2014-04-15,1,7.436072550400002,16
2014-04-16,0,-1.5240209407999998,11
2014-04-17,6,5.007085363200001,2
2014-04-18,3,4.2583124992000005,6
2014-04-19,0,-4.244152831999999,4
2014-04-20,0,-2.240050483200001,4
2014-04-21,2,1.6603496448000001,8
2014-04-22,1,15.471860019200001,14
2014-04-23,2,20.806103244800003,26
2014-04-24,2,9.4056891392,4
2014-04-25,2,4.060817715199999,3
2014-04-26,4,-3.8333394944000005,9
2014-04-27,5,0.3330288639999983,11
2014-04-28,8,9.814581657599998,0
2014-04-29,13,7.2744380416,3
2014-04-30,4,3.9236634624000004,6
2014-05-01,1,3.319528140800001,23
2014-05-02,2,11.769210265600002,9
2014-05-03,1,-1.4929804287999993,4
