,ioBroker/ioBroker,node-red/node-red,home-assistant/core
2014-08-12,11,1,0.0
2014-08-13,9,1,1.0
2014-08-14,2,1,0.8999999999999999
2014-08-15,2,1,-0.14500000000000013
2014-08-16,4,0,-0.07350000000000005
2014-08-17,0,0,-0.04916249999999994
2014-08-18,0,9,-0.036779249999999875
2014-08-19,0,3,-0.02927876249999991
2014-08-20,0,2,-0.024255708749999928
2014-08-21,0,1,-0.02066200926562494
2014-08-22,0,4,-0.017967165551562456
2014-08-23,0,0,-0.008398852535937478
2014-08-24,0,0,0.0
2014-08-25,0,3,0.0
2014-08-26,0,0,0.0
2014-08-27,0,9,0.0
2014-08-28,0,7,0.0
2014-08-29,0,4,0.0
2014-08-30,0,4,0.0
2014-08-31,0,2,0.0
2014-09-01,4,8,0.0
2014-09-02,0,1,0.0
2014-09-03,0,7,0.0
2014-09-04,2,4,0.0
2014-09-05,1,6,0.0
2014-09-06,5,0,0.0
2014-09-07,0,4,0.0
2014-09-08,0,27,0.0
2014-09-09,0,3,0.0
2014-09-10,0,4,0.0
2014-09-11,0,0,0.0
2014-09-12,0,1,0.0
2014-09-13,0,0,0.0
2014-09-14,4,1,0.0
2014-09-15,1,3,0.0
2014-09-16,0,1,0.0
2014-09-17,0,3,0.0
2014-09-18,0,2,0.0
2014-09-19,0,0,0.0
2014-09-20,0,4,0.0
2014-09-21,0,0,1.0
2014-09-22,0,12,-0.10000000000000009
2014-09-23,0,3,1.955
2014-09-24,0,2,1.7714999999999999
2014-09-25,0,0,6.6893375
2014-09-26,0,2,1.1368832499999995
2014-09-27,0,0,2.3735129875
2014-09-28,1,0,-0.6741521962500002
2014-09-29,0,0,-0.40476333801562436
2014-09-30,0,2,-0.2965525200359369
2014-10-01,0,6,-0.22767910603124927
2014-10-02,1,0,-0.18826447985312444
2014-10-03,0,4,-0.14544932618124962
2014-10-04,0,2,0.8887903174671878
2014-10-05,0,1,-0.14550264411874997
2014-10-06,0,1,-0.07019655760781246
2014-10-07,0,6,-0.028500000000000022
2014-10-08,1,5,-0.020662499999999924
2014-10-09,0,5,-0.016116749999999947
2014-10-10,0,0,0.9868379875000001
2014-10-11,0,0,-0.11109369625000005
2014-10-12,0,0,-0.05456831301562501
2014-10-13,0,0,-0.0368988525359375
2014-10-14,0,1,-0.020662499999999924
2014-10-15,0,0,-0.016116749999999947
2014-10-16,0,0,-0.01316201249999996
2014-10-17,0,0,0.98890630375
2014-10-18,1,1,-0.10956831301562506
2014-10-19,0,1,-0.05339885253593751
2014-10-20,0,3,2.9715
2014-10-21,1,1,-0.3206625000000002
2014-10-22,0,6,11.84888325
2014-10-23,0,1,2.7013379874999988
2014-10-24,0,2,-1.0130811962500004
2014-10-25,0,3,4.420081436984375
2014-10-26,0,1,-0.909834890035937
2014-10-27,0,5,1.4656679112500008
2014-10-28,0,3,1.4063839109531253
2014-10-29,0,6,0.3957185373921882
2014-10-30,1,7,0.5132217088125005
2014-10-31,0,6,6.55180545500625
2014-11-01,1,1,4.06387760860625
2014-11-02,0,0,6.029438409921875
2014-11-03,2,0,4.748215069820311
2014-11-04,0,3,-1.27274028103125
2014-11-05,0,8,8.254180210146876
2014-11-06,0,6,-1.4258150518374997
2014-11-07,0,4,-0.8032253518015615
2014-11-08,0,2,2.4238198876046884
2014-11-09,1,1,4.250776018420313
2014-11-10,0,1,1.0444146187109378
2014-11-11,0,2,1.2548400416546879
2014-11-12,0,1,6.355276118534375
2014-11-13,0,8,-0.08477756714062501
2014-11-14,0,3,3.291015539676563
2014-11-15,0,0,1.1828503487500002
2014-11-16,0,2,-0.6958684452968744
2014-11-17,0,3,1.540970709814063
2014-11-18,0,0,-0.5312191187109369
2014-11-19,0,2,-0.32254421735312433
2014-11-20,0,4,7.76324885756875
2014-11-21,0,6,2.0196159092328125
2014-11-22,0,0,1.2389070029015623
2014-11-23,0,0,11.357943938825
2014-11-24,0,1,4.420214902428125
2014-11-25,0,1,3.5929418739687495
2014-11-26,0,2,8.676230944928125
2014-11-27,0,2,-1.8044191074999998
2014-11-28,0,4,-0.04602761787499898
2014-11-29,0,0,8.138959698165626
2014-11-30,0,0,-1.4886383636390614
2014-12-01,0,1,2.141342798740626
2014-12-02,0,0,-0.9224472147749994
2014-12-03,0,0,1.4537491072062512
2014-12-04,0,1,0.41860984466406315
2014-12-05,0,4,0.5344721658906257
2014-12-06,0,0,-0.35976182926562467
2014-12-07,0,0,2.751175292823438
2014-12-08,0,7,-0.4902667615734373
2014-12-09,0,2,8.773191785953125
2014-12-10,0,0,-1.062162712607813
2014-12-11,0,0,-0.5103798347812499
2014-12-12,0,0,5.6576900356625
2014-12-13,0,0,-0.8434157030515622
2014-12-14,0,0,5.543269308714063
2014-12-15,0,3,9.081836948453125
2014-12-16,0,0,1.4809851761421873
2014-12-17,0,4,0.8961846828593747
2014-12-18,0,1,-0.8985367478234371
2014-12-19,0,0,0.45461232250000116
2014-12-20,4,0,-0.5165369530937489
2014-12-21,0,0,1.616749332284376
2014-12-22,0,0,2.5314336219062508
2014-12-23,0,0,-0.6163438591218747
2014-12-24,0,0,0.6570023930937503
2014-12-25,0,0,-0.28432019613906234
2014-12-26,0,1,-0.16711240132187463
2014-12-27,0,1,1.8872574119843752
2014-12-28,0,0,4.709265217464063
2014-12-29,0,0,0.34146553521874967
2014-12-30,0,0,4.55933534338125
2014-12-31,0,0,1.2348847461421872
2015-01-01,0,0,-0.5986143130156248
2015-01-02,1,0,7.6315308724640625
2015-01-03,0,0,-0.06442670500000003
2015-01-04,0,0,3.3303241302187505
2015-01-05,0,2,0.1532234711
2015-01-06,0,1,11.392844918054688
2015-01-07,1,2,2.412975689885937
2015-01-08,0,1,-1.2336937387109375
