,cfengine/core,ansible/ansible,saltstack/salt
2012-02-05,0,4,12.0
2012-02-06,1,0,13.200000000000001
2012-02-07,8,0,-1.6399999999999988
2012-02-08,6,0,21.272
2012-02-09,1,0,-2.291199999999998
2012-02-10,3,0,5.803776000000001
2012-02-11,4,0,-5.153894399999999
2012-02-12,0,0,13.529351680000001
2012-02-13,5,0,-7.499585023999998
2012-02-14,21,0,14.5515469824
2012-02-15,0,0,1.097662873600001
2012-02-16,13,0,-5.0030754816
2012-02-17,9,0,7.4279225344
2012-02-18,0,0,-2.9446402048000007
2012-02-19,1,0,-0.2968069120000001
2012-02-20,11,0,15.463809536
2012-02-21,19,0,0.762950656000001
2012-02-22,1,0,8.903976140800001
2012-02-23,14,13,-3.292435148799999
2012-02-24,4,41,-5.8184336384
2012-02-25,8,22,22.435634688
2012-02-26,0,5,2.477216972800001
2012-02-27,16,29,6.531000627200001
2012-02-28,17,54,9.800340787200001
2012-02-29,9,10,6.867890483200002
2012-03-01,6,0,9.7144244224
2012-03-02,10,9,12.235607961600001
2012-03-03,0,26,3.1255510016000017
2012-03-04,4,0,16.0293889024
2012-03-05,2,17,-3.1632941055999986
2012-03-06,8,17,27.7683991552
2012-03-07,14,11,-8.500947046399997
2012-03-08,9,7,2.7081155583999994
2012-03-09,1,22,6.433234739200001
2012-03-10,4,21,-5.254103859200001
2012-03-11,0,12,-0.8643866623999994
2012-03-12,9,14,-0.4510931967999987
2012-03-13,7,14,7.6671785984
2012-03-14,4,20,12.5799619584
2012-03-15,5,8,6.285884825600002
2012-03-16,9,14,35.7370514432
2012-03-17,0,2,34.9060179968
2012-03-18,6,20,6.868435558400002
2012-03-19,16,3,42.605979443200006
2012-03-20,2,8,8.511254835200006
2012-03-21,16,8,-11.607949312000002
2012-03-22,1,18,-15.255919513600006
2012-03-23,3,5,-6.7679409152000005
2012-03-24,1,14,-10.6451862528
2012-03-25,2,2,-1.1325496320000017
2012-03-26,4,9,-7.8633120768
2012-03-27,1,30,7.9683843072
2012-03-28,12,15,17.6970159104
2012-03-29,3,9,8.424320000000002
2012-03-30,3,6,-10.469363711999996
2012-03-31,0,41,5.6820524032
2012-04-01,0,6,0.8928079871999994
2012-04-02,8,16,-0.1273239552000014
2012-04-03,6,14,38.8900149248
2012-04-04,6,20,7.077456998400002
2012-04-05,5,10,0.4598699008000011
2012-04-06,6,6,-1.1224554495999968
2012-04-07,2,2,-1.2326457344000001
2012-04-08,0,0,-4.079820083200001
2012-04-09,3,1,4.578187161599999
2012-04-10,16,9,7.208754175999999
2012-04-11,3,8,2.451961753600001
2012-04-12,5,14,-8.862714060799998
2012-04-13,2,26,2.4561584128
2012-04-14,0,10,-1.2970639359999998
2012-04-15,0,1,-4.980540416
2012-04-16,5,8,8.4966124544
2012-04-17,13,39,3.966900326400001
2012-04-18,4,20,23.5052466176
2012-04-19,4,42,4.296044646400004
2012-04-20,0,6,29.231133900800003
2012-04-21,1,15,-0.9841668095999978
2012-04-22,1,13,-9.6342790144
2012-04-23,1,7,3.8073410560000003
2012-04-24,3,34,6.860397568
2012-04-25,20,8,30.260661555200002
2012-04-26,2,22,-0.07233996799999431
2012-04-27,3,22,-11.229757952
2012-04-28,0,9,-7.9063570432
2012-04-29,0,0,5.854192742399999
2012-04-30,9,0,-2.298112716800002
2012-05-01,2,13,16.8480492544
2012-05-02,10,32,38.623471308800006
2012-05-03,3,13,-9.2239837184
2012-05-04,3,5,-2.3529616383999965
2012-05-05,1,4,3.0698551296000005
2012-05-06,0,17,-7.5846619136000015
2012-05-07,8,7,-0.9958334464000007
2012-05-08,3,25,1.5769701376
2012-05-09,6,5,5.3561042944
2012-05-10,4,36,29.8557308928
2012-05-11,6,16,-6.724710297599998
2012-05-12,3,2,4.8654424064
2012-05-13,0,6,27.6593712128
2012-05-14,13,10,0.5004122112000005
2012-05-15,1,8,-6.030865407999997
2012-05-16,0,2,-4.056946585599999
2012-05-17,1,2,5.571634892799999
2012-05-18,5,0,-3.1639204863999986
2012-05-19,21,4,8.4444761088
2012-05-20,0,6,-1.0463079423999986
2012-05-21,5,0,5.1038393344
2012-05-22,5,3,5.098786304000001
2012-05-23,13,2,23.793499238400003
2012-05-24,20,1,-4.942473420799999
2012-05-25,8,5,-9.9889798144
2012-05-26,9,3,12.565522431999998
2012-05-27,0,2,10.599097241599999
2012-05-28,0,0,0.26207037440000214
2012-05-29,5,6,0.6749552640000012
2012-05-30,10,9,20.9320654848
2012-05-31,7,3,-4.2122982399999955
2012-06-01,11,10,-5.034547507199999
2012-06-02,16,0,-4.3134465024
2012-06-03,1,0,14.039784038399999
2012-06-04,9,0,7.493351116800001
2012-06-05,1,3,7.6373786624000015
2012-06-06,5,1,14.834884300800002
2012-06-07,3,4,-7.7907726336
2012-06-08,2,5,1.5563461631999989
2012-06-09,0,2,2.1216997376
2012-06-10,0,2,-0.5337619456000002
2012-06-11,0,3,6.816332492799999
2012-06-12,6,1,-0.1710704639999996
2012-06-13,5,3,4.498052300800001
2012-06-14,4,12,-6.215040512
2012-06-15,7,8,5.715677081599999
2012-06-16,4,5,10.818552524800001
2012-06-17,0,4,-7.397549465599999
2012-06-18,2,3,19.6266543104
2012-06-19,0,6,40.1157977088
2012-06-20,5,14,-20.121508351999996
2012-06-21,3,9,-10.656648703999998
2012-06-22,7,3,26.530887065599998
2012-06-23,0,1,13.7377330176
2012-06-24,1,0,-13.303830220799998
2012-06-25,1,6,10.5945404416
2012-06-26,6,4,9.9645418496
2012-06-27,15,2,-3.038409215999998
2012-06-28,3,0,-8.147504742399999
2012-06-29,3,3,-3.159344332800001
2012-06-30,3,2,79.24040478719999
2012-07-01,0,2,-7.480264806399994
2012-07-02,2,8,-11.436351692799995
2012-07-03,1,8,-2.6606819327999993
2012-07-04,10,10,-4.298976460800004
2012-07-05,2,2,2.5445649407999973
2012-07-06,3,4,34.1962868736
2012-07-07,0,13,-21.428385075199998
2012-07-08,0,2,10.0151574528
2012-07-09,5,5,11.989778432000001
2012-07-10,21,11,-0.2158310400000012
2012-07-11,2,9,0.9417030656000005
2012-07-12,9,16,-3.6508427264000005
2012-07-13,10,3,34.2305507328
2012-07-14,0,12,-11.844740198399997
2012-07-15,0,21,30.69568512
2012-07-16,2,3,-7.077884313599995
2012-07-17,10,10,-8.493841408000002
2012-07-18,26,14,-4.1920729088
2012-07-19,9,5,5.096347443199998
2012-07-20,0,36,5.3584780288000005
2012-07-21,0,10,8.360363929600002
2012-07-22,0,10,-0.550487142399998
2012-07-23,5,11,14.005139456000002
2012-07-24,9,35,-6.3285612543999985
2012-07-25,0,23,-1.8072854528000004
2012-07-26,1,32,26.871925350399998
2012-07-27,10,9,23.704503603200003
2012-07-28,0,24,-10.997958758399996
2012-07-29,0,7,-8.678310399999999
2012-07-30,0,27,7.262303436799998
2012-07-31,2,22,26.6830101504
2012-08-01,15,40,17.495023820800004
2012-08-02,0,36,-1.125989478399994
2012-08-03,3,12,-0.24099266559999677
2012-08-04,1,0,-0.7238162432000017
2012-08-05,10,0,-3.4528329728000013
2012-08-06,4,2,4.5987369984
2012-08-07,19,29,5.555090944
2012-08-08,7,25,-0.38709524479999935
2012-08-09,12,29,1.4549830656000005
2012-08-10,13,46,3.253606297600001
2012-08-11,4,34,-1.6240326655999997
2012-08-12,0,3,-7.5222401024
2012-08-13,12,12,22.339913728
2012-08-14,9,23,1.2446008319999997
2012-08-15,9,17,15.612199424
2012-08-16,11,0,8.097978470400001
2012-08-17,33,19,-0.05556930559999884
2012-08-18,18,23,12.717281382400001
2012-08-19,7,9,-7.6575929344
2012-08-20,16,19,17.2029433856
2012-08-21,5,9,-8.921175551999998
2012-08-22,8,14,0.4079997952000003
2012-08-23,5,8,-7.989793587199999
2012-08-24,8,17,14.058212147199999
2012-08-25,0,3,7.3754331136000015
2012-08-26,1,0,-10.507500032
2012-08-27,0,15,12.784932864
2012-08-28,12,34,14.8378326016
2012-08-29,1,21,-1.200197017599999
2012-08-30,0,33,22.3714484224
2012-08-31,2,10,-7.044267519999998
2012-09-01,2,0,-0.4255259647999985
2012-09-02,0,5,-1.0692759552000002
2012-09-03,4,0,15.463551385599999
2012-09-04,3,17,-7.8734025728
2012-09-05,2,16,9.751065497599999
2012-09-06,8,12,11.464326144000001
2012-09-07,2,21,4.8668461056000005
2012-09-08,2,9,-9.478244966399998
2012-09-09,3,1,-4.304456396800001
2012-09-10,4,9,19.7522102272
2012-09-11,7,9,-4.0977774592
2012-09-12,5,11,7.2155982848
2012-09-13,5,3,-2.533023436799999
2012-09-14,6,6,0.15430236159999922
2012-09-15,0,0,3.9681120256
2012-09-16,0,0,-3.7401475071999997
2012-09-17,0,10,7.993375436799999
2012-09-18,6,6,27.0935504896
2012-09-19,9,19,4.552794112000004
2012-09-20,5,0,13.983783116800002
2012-09-21,2,4,-7.866183884799998
2012-09-22,0,1,12.7490640896
2012-09-23,0,9,8.739378073600001
2012-09-24,4,6,34.7707241472
2012-09-25,33,16,1.5030151168000039
2012-09-26,8,14,8.679168921600002
2012-09-27,9,14,19.595012608
2012-09-28,21,29,1.3276545024000015
2012-09-29,0,35,-10.4726659072
2012-09-30,1,39,6.890056703999999
2012-10-01,5,23,17.0185637888
2012-10-02,1,23,13.244513484800002
2012-10-03,1,13,-11.452019404799998
2012-10-04,3,23,28.2938692608
2012-10-05,8,9,26.223439155200005
2012-10-06,0,5,-10.489887641599996
2012-10-07,0,7,10.855361945600002
2012-10-08,5,31,9.8724614144
2012-10-09,0,15,5.075082342400002
2012-10-10,4,24,-7.557003571199999
2012-10-11,8,14,9.512498688
2012-10-12,7,43,16.0668519424
2012-10-13,0,9,-20.0217964544
2012-10-14,4,4,-0.16118599680000045
2012-10-15,0,8,5.168054271999999
2012-10-16,0,19,27.7912138752
2012-10-17,2,15,-9.806736793599995
2012-10-18,2,24,8.673554841600001
2012-10-19,7,15,14.631887564800001
2012-10-20,0,12,-9.997301248
2012-10-21,0,12,-8.6433303552
2012-10-22,8,6,27.8326513664
2012-10-23,9,11,3.488243711999999
2012-10-24,9,23,52.72324352
2012-10-25,1,18,28.063628492800007
2012-10-26,21,25,6.046194483200004
2012-10-27,0,6,-24.785135820799997
2012-10-28,0,3,-10.695674163200003
2012-10-29,1,12,35.15254108159999
2012-10-30,5,14,16.898006118399998
2012-10-31,5,17,13.770540236800002
2012-11-01,1,13,14.146993971200004
2012-11-02,14,4,-2.887517286399998
2012-11-03,0,15,-12.556098457600001
2012-11-04,0,6,16.7269595136
2012-11-05,2,3,30.073860710399998
2012-11-06,2,11,-2.898631884799997
2012-11-07,2,26,15.753505894400003
2012-11-08,3,10,24.6385268736
2012-11-09,3,30,10.174117478400003
2012-11-10,0,12,-3.9631755264000006
2012-11-11,1,5,12.593651814399998
2012-11-12,2,14,28.3196045312
2012-11-13,9,20,17.567195750400003
2012-11-14,1,9,35.526930739200004
2012-11-15,10,4,69.30967203840001
2012-11-16,20,5,12.570651852800005
2012-11-17,1,15,-21.252563660799993
2012-11-18,4,11,-13.640476057600004
2012-11-19,7,8,9.242668851199994
2012-11-20,4,6,19.0299113472
2012-11-21,8,9,18.5469406208
2012-11-22,1,10,-3.8865645567999962
2012-11-23,7,8,7.3470156800000055
2012-11-24,5,11,-13.003078041599998
2012-11-25,1,4,-2.3566095360000006
2012-11-26,16,15,30.375915929599998
2012-11-27,3,13,11.6360580096
2012-11-28,10,13,5.950589030400003
2012-11-29,4,1,20.039338700800002
2012-11-30,7,0,12.854053273600002
2012-12-01,1,6,-3.0095478783999994
2012-12-02,4,11,7.031478886399999
2012-12-03,4,2,19.110185267200002
2012-12-04,4,5,29.436835430400002
2012-12-05,4,5,-5.931742617599994
2012-12-06,7,2,5.054851788800001
2012-12-07,9,1,-2.6467129344
2012-12-08,0,0,-12.384171519999999
2012-12-09,2,1,7.815193702399998
2012-12-10,1,1,26.205902643199998
2012-12-11,8,4,15.590748672000004
2012-12-12,3,16,6.978252390400002
2012-12-13,0,5,-0.044904345599995565
2012-12-14,26,10,11.074976460799999
2012-12-15,0,9,-17.673344204799996
2012-12-16,0,4,-2.1799213056000024
2012-12-17,9,3,18.8384372736
2012-12-18,6,5,2.657642803199998
2012-12-19,24,8,14.5479916544
2012-12-20,12,2,32.084974592
2012-12-21,4,1,-6.203384422399996
2012-12-22,0,0,11.402258124800003
2012-12-23,0,6,-13.439673548799998
2012-12-24,0,3,4.472235724799997
2012-12-25,0,0,-10.797758259200002
2012-12-26,19,0,2.9029552127999985
2012-12-27,1,1,50.737964544
2012-12-28,1,0,86.268286464
2012-12-29,2,0,26.722691379200008
2012-12-30,0,0,-28.67618140159999
2012-12-31,0,0,66.3553503232
2013-01-01,0,0,-34.24085923839999
2013-01-02,0,0,-9.916183961600005
2013-01-03,16,10,-4.040524902400001
2013-01-04,4,6,18.4972695552
2013-01-05,2,5,-6.004013567999998
2013-01-06,0,3,-11.709075967999997
2013-01-07,20,6,14.701767577599998
2013-01-08,9,2,8.9250249728
2013-01-09,5,13,26.195509350400002
2013-01-10,30,8,49.464039424000006
2013-01-11,5,1,9.982989824000008
2013-01-12,0,2,-18.993383935999994
2013-01-13,34,14,5.768753663999995
2013-01-14,7,1,30.347775590399998
2013-01-15,8,0,41.815867904
2013-01-16,13,1,-11.372507443199993
2013-01-17,4,2,3.6312190976000025
2013-01-18,3,10,35.712721715200004
2013-01-19,1,3,-19.094726348799995
2013-01-20,0,6,5.954573619199998
2013-01-21,11,8,37.8162909184
2013-01-22,13,12,3.383387033600002
2013-01-23,45,16,-0.27735971839999607
2013-01-24,9,6,20.4586697728
2013-01-25,10,14,-2.1175750656000005
2013-01-26,29,25,7.793565900800001
2013-01-27,0,3,-6.272711475199998
2013-01-28,6,10,21.932150784
2013-01-29,8,6,28.823575552
2013-01-30,14,2,25.574120038399997
2013-01-31,1,10,41.886081536000006
2013-02-01,2,5,-12.874281164799996
2013-02-02,0,22,-10.455590297599997
2013-02-03,3,13,-6.199576883200002
2013-02-04,3,11,13.203965337599996
