,koajs/koa,nestjs/nest,fastify/fastify
2017-01-08,0,1,3.0
2017-01-09,0,0,-0.5999999999999999
2017-01-10,0,0,2.76
2017-01-11,0,0,-0.744
2017-01-12,0,0,-0.3408000000000002
2017-01-13,0,0,-0.22060800000000014
2017-01-14,0,0,-0.16208640000000007
2017-01-15,0,0,-0.12738816000000008
2017-01-16,0,0,-0.10444953599999984
2017-01-17,0,0,2.9118117888
2017-01-18,0,0,-0.6431631359999996
2017-01-19,0,1,-0.2774080512000001
2017-01-20,0,0,-0.1440000000000001
2017-01-21,0,0,-0.10080000000000003
2017-01-22,0,0,-0.07660800000000004
2017-01-23,0,0,-0.06128640000000003
2017-01-24,0,0,-0.05078016000000003
2017-01-25,0,0,-0.04316313599999982
2017-01-26,0,0,-0.03740805119999989
2017-01-27,0,0,0.0
2017-01-28,0,0,0.0
2017-01-29,0,0,0.0
2017-01-30,0,0,0.0
2017-01-31,0,0,0.0
2017-02-01,0,0,0.0
2017-02-02,0,0,2.0
2017-02-03,0,0,-0.3999999999999999
2017-02-04,0,9,-0.16000000000000014
2017-02-05,0,20,-0.09600000000000007
2017-02-06,0,0,-0.06720000000000002
2017-02-07,0,0,2.948928
2017-02-08,0,0,0.3591424000000001
2017-02-09,0,0,4.52614656
2017-02-10,0,7,1.7472245760000003
2017-02-11,0,0,1.8262612991999998
2017-02-12,0,3,1.8097919999999996
2017-02-13,3,0,-1.2388224000000003
2017-02-14,0,0,-0.6836889600000005
2017-02-15,0,0,-0.4836418560000001
2017-02-16,0,0,-0.37512376319999996
2017-02-17,0,0,-0.2730824703999998
2017-02-18,2,0,-0.2175764479999997
2017-02-19,0,0,-0.13135134719999975
2017-02-20,0,0,-0.0805711871999997
2017-02-21,0,0,-0.03740805119999989
2017-02-22,0,0,0.0
2017-02-23,0,0,0.0
2017-02-24,0,0,0.0
2017-02-25,13,16,0.0
2017-02-26,4,0,0.0
2017-02-27,0,0,0.0
2017-02-28,1,0,0.0
2017-03-01,1,0,0.0
2017-03-02,0,0,0.0
2017-03-03,0,0,5.0
2017-03-04,0,0,2.0
2017-03-05,0,0,8.0
2017-03-06,0,0,-0.28000000000000025
2017-03-07,0,0,-1.4320000000000008
2017-03-08,5,0,-0.8204800000000005
2017-03-09,0,0,-0.5771520000000002
2017-03-10,0,0,3.5570559999999998
2017-03-11,0,0,-1.1576499199999997
2017-03-12,0,0,3.381292032
2017-03-13,0,0,0.8072491008000007
2017-03-14,4,0,1.0046004224000002
2017-03-15,0,0,6.1209172992
2017-03-16,0,0,5.1278848
2017-03-17,0,0,0.7069491199999995
2017-03-18,0,3,-1.7535380480000005
2017-03-19,1,8,2.9792861183999992
2017-03-20,1,0,-0.490213888
2017-03-21,0,0,-1.0550598656
2017-03-22,0,0,5.3361892352
2017-03-23,0,0,2.3121738752000005
2017-03-24,0,0,-1.6545235967999996
2017-03-25,0,5,2.1543002112
2017-03-26,0,3,3.8808562688
2017-03-27,1,1,1.397906432
2017-03-28,1,0,5.567018086399999
2017-03-29,0,0,4.823455129599999
2017-03-30,0,0,-0.5026411519999998
