,gcc-mirror/gcc,golang/go,llvm/llvm-project
2012-03-03,13,6,27.0
2012-03-04,23,8,15.299999999999997
2012-03-05,38,43,55.985
2012-03-06,17,35,82.5205
2012-03-07,43,62,75.2741125
2012-03-08,12,40,64.66142274999999
2012-03-09,24,12,75.61043666249999
2012-03-10,11,6,48.34504072625
2012-03-11,11,1,6.376602778578128
2012-03-12,37,33,19.65361814349845
2012-03-13,32,31,69.64781042393126
2012-03-14,19,21,40.37798475897345
2012-03-15,33,21,78.39746862639063
2012-03-16,19,12,62.2222965430875
2012-03-17,6,4,6.207963300937504
2012-03-18,5,3,-0.4377025278531175
2012-03-19,20,7,20.1678306164672
2012-03-20,22,19,61.33661840462189
2012-03-21,19,9,57.426147087782816
2012-03-22,19,9,45.8354385401625
2012-03-23,14,17,39.24631152323281
2012-03-24,5,0,23.867985938606253
2012-03-25,8,2,6.961579942948443
2012-03-26,15,16,50.844625092398445
2012-03-27,21,29,43.844713455314064
2012-03-28,20,7,47.981169503562505
2012-03-29,19,0,59.00184309958907
2012-03-30,32,8,56.533830053495315
2012-03-31,7,2,16.951737397464065
2012-04-01,3,0,15.398914589715632
2012-04-02,23,12,45.26786693133751
2012-04-03,14,10,52.377470518379695
2012-04-04,10,5,61.662432435218754
2012-04-05,14,15,48.957089687784375
2012-04-06,13,2,59.17522160266719
2012-04-07,8,2,16.126736401501564
2012-04-08,5,0,11.886393342896882
2012-04-09,6,8,34.287711799376574
2012-04-10,18,16,70.34482714386876
2012-04-11,44,8,59.38095343447188
2012-04-12,14,6,35.497726352226564
2012-04-13,24,3,53.228641980003125
2012-04-14,11,2,9.344230070242192
2012-04-15,7,1,12.271437761539072
2012-04-16,21,4,76.15892243467344
2012-04-17,24,7,36.826999570898444
2012-04-18,17,5,48.954496599851566
2012-04-19,14,7,51.13196281088125
2012-04-20,28,8,46.70833512549219
2012-04-21,7,4,14.893393176818755
2012-04-22,14,1,10.980679917165634
2012-04-23,21,9,50.12582639672657
2012-04-24,33,9,54.33469312729376
2012-04-25,33,18,57.537937216346876
2012-04-26,25,13,46.52848722064688
2012-04-27,17,10,40.79675883870469
2012-04-28,6,0,2.423510650659379
2012-04-29,10,1,4.592823738553136
2012-04-30,38,7,32.67800561206251
2012-05-01,12,7,80.12594656198596
2012-05-02,17,10,44.71390047079688
2012-05-03,40,7,63.52105422546719
2012-05-04,26,15,57.803132257943744
2012-05-05,7,0,3.4170108401468795
2012-05-06,14,0,7.417697480471883
2012-05-07,24,7,57.5865921404047
2012-05-08,16,2,61.78243146582032
2012-05-09,28,4,47.43985062462032
2012-05-10,22,4,43.53128475832813
2012-05-11,19,2,53.102460910125004
2012-05-12,7,0,24.28487242654063
2012-05-13,9,1,6.842489835778132
2012-05-14,20,7,28.947353665734383
2012-05-15,52,14,64.24217257352032
2012-05-16,22,6,64.49675280267031
2012-05-17,14,8,32.773317411070316
2012-05-18,13,5,29.904817477314065
2012-05-19,5,1,32.112093565317195
2012-05-20,8,3,20.59335934443126
2012-05-21,32,5,30.18818879700001
2012-05-22,19,28,42.02066178542188
2012-05-23,14,10,31.709031158676567
2012-05-24,22,22,59.13085341532032
2012-05-25,20,6,35.81771486439531
2012-05-26,8,1,4.028988459301566
2012-05-27,3,1,17.557304163965632
2012-05-28,7,7,33.087694597617194
2012-05-29,33,23,40.086528331423445
2012-05-30,18,28,48.90930093369844
2012-05-31,30,8,40.40922973415781
2012-06-01,19,5,54.44468398930938
2012-06-02,4,9,16.876270145417188
2012-06-03,6,7,4.8939742281875045
2012-06-04,25,22,44.50822168796719
2012-06-05,20,8,48.88488102237345
2012-06-06,15,13,58.24426435520938
2012-06-07,11,15,34.39541860351562
2012-06-08,6,9,47.679667721765625
2012-06-09,7,0,13.936849309798442
2012-06-10,1,1,0.8900308741078202
2012-06-11,20,3,29.853604161885947
2012-06-12,45,2,19.570239857096883
2012-06-13,31,16,33.03449923840782
2012-06-14,30,5,40.18302574498438
2012-06-15,25,3,76.19450631093281
2012-06-16,3,0,18.177572486785934
2012-06-17,14,0,28.611265650870315
2012-06-18,26,2,23.172225052806255
2012-06-19,21,7,61.91712115872501
2012-06-20,24,1,89.32530690868126
2012-06-21,9,1,50.78743147980156
2012-06-22,20,3,75.83513955645938
2012-06-23,4,1,8.47887216459375
2012-06-24,5,10,8.822145724857823
2012-06-25,27,20,35.719017023189075
2012-06-26,23,5,39.617621588531264
2012-06-27,18,7,49.92678315040313
2012-06-28,17,4,62.51420767305313
2012-06-29,18,2,58.71563173947032
2012-06-30,3,6,-0.6751609679328112
2012-07-01,4,2,-2.23208415152968
2012-07-02,16,6,88.97506480588439
2012-07-03,25,8,34.59935943743907
2012-07-04,13,1,17.234467577748443
2012-07-05,17,2,28.560759899396878
2012-07-06,19,1,68.72217951928282
2012-07-07,5,0,10.059757876060942
2012-07-08,8,4,1.1540595728046927
2012-07-09,25,1,34.11419513103438
2012-07-10,16,3,39.283406764660945
2012-07-11,8,4,47.89860806948282
2012-07-12,14,7,38.83386206971875
2012-07-13,17,6,44.92763103826094
2012-07-14,6,2,-0.9025716989374981
2012-07-15,4,1,11.175646841734384
2012-07-16,46,4,76.39515932541407
2012-07-17,20,1,58.535478019162504
2012-07-18,24,1,44.136005389475
2012-07-19,25,3,41.56726153656719
2012-07-20,22,2,35.861213900332814
2012-07-21,12,2,4.586893073776569
2012-07-22,9,2,-3.946530825735927
2012-07-23,26,4,25.88532387425626
2012-07-24,21,2,36.43431678846876
2012-07-25,24,4,44.88021457110626
2012-07-26,19,4,48.67182803449062
2012-07-27,14,8,38.64097813400468
2012-07-28,3,2,3.9434247497062493
2012-07-29,2,6,0.4402278989218793
2012-07-30,17,22,62.63335698750939
2012-07-31,23,5,64.62893303651876
2012-08-01,17,7,32.77833548686094
2012-08-02,26,3,53.228579507523435
2012-08-03,15,13,42.73583037083594
2012-08-04,8,3,5.020221881546879
2012-08-05,3,7,-0.1314671163328054
2012-08-06,28,5,30.413013301034386
2012-08-07,13,12,66.76949322659846
2012-08-08,15,10,66.39694858708282
2012-08-09,16,10,61.413714580534375
2012-08-10,21,2,51.67898384802969
2012-08-11,9,0,-1.169904963012499
2012-08-12,8,1,-1.903998979345305
2012-08-13,16,4,54.92951276416095
2012-08-14,19,2,54.87779391504688
2012-08-15,17,11,65.85530465194688
2012-08-16,26,3,43.60877695476875
2012-08-17,24,7,50.68324191242188
2012-08-18,7,2,14.438036763420317
2012-08-19,11,0,-5.056518971428115
2012-08-20,23,10,38.74705469357032
2012-08-21,13,4,69.3246379584422
2012-08-22,17,6,64.15449836818907
2012-08-23,18,9,50.669857238842184
2012-08-24,14,13,98.0079939386875
2012-08-25,13,1,-6.6373720361875
2012-08-26,23,2,-8.898821619090619
2012-08-27,23,3,50.170080759062515
2012-08-28,9,4,81.64985538301407
2012-08-29,17,5,52.78594754831094
2012-08-30,7,5,61.108663495140625
2012-08-31,15,17,58.333909630114064
2012-09-01,5,10,17.14036614881094
2012-09-02,12,2,2.9832914061843834
2012-09-03,16,2,17.771538058684385
2012-09-04,29,8,38.04776929943439
2012-09-05,23,3,81.30929006441094
2012-09-06,16,8,64.50175594302813
2012-09-07,17,12,55.85642580476562
2012-09-08,6,3,18.967095131759372
2012-09-09,11,2,-3.4190494345281177
2012-09-10,18,11,76.72795849497658
2012-09-11,24,11,65.94292290995156
2012-09-12,17,10,68.03234359049375
2012-09-13,20,12,73.46475765907188
2012-09-14,38,9,66.8885585836422
2012-09-15,12,0,11.76800990444844
2012-09-16,12,3,7.000785208814072
2012-09-17,27,14,53.19140353855001
2012-09-18,27,22,82.39339759654689
2012-09-19,37,10,57.033438746393756
2012-09-20,24,9,34.55286019576094
2012-09-21,15,10,70.83734576325782
2012-09-22,12,6,17.44744852933438
2012-09-23,7,7,-7.295653067126553
2012-09-24,19,31,38.40344286375626
2012-09-25,24,8,47.32405816194376
2012-09-26,21,19,66.57973339514845
2012-09-27,17,9,47.977218026076564
2012-09-28,20,8,38.629465343690626
2012-09-29,16,2,19.67821893073594
2012-09-30,14,3,2.9575198370609463
2012-10-01,48,9,41.140866960096886
2012-10-02,45,4,73.98319292874845
2012-10-03,18,9,83.55213061035313
2012-10-04,35,8,67.31035042412968
2012-10-05,25,8,49.916775491624996
2012-10-06,21,12,0.21751867485625098
2012-10-07,11,34,4.625122001778134
2012-10-08,28,13,48.048425193543764
2012-10-09,26,15,80.2598451424297
2012-10-10,37,18,70.658061013125
2012-10-11,36,11,58.197233805898435
2012-10-12,26,9,59.56034766334844
2012-10-13,8,1,12.564660338831253
2012-10-14,9,1,10.17460222948907
2012-10-15,28,3,57.79137128808751
2012-10-16,16,12,59.396121750732824
2012-10-17,14,10,52.54664920996251
2012-10-18,20,5,68.30402433253282
2012-10-19,15,6,64.72429567963438
2012-10-20,9,4,9.214586305764065
2012-10-21,13,11,9.297992226212507
2012-10-22,24,15,25.97667384276095
2012-10-23,40,1,64.79119030605939
2012-10-24,26,3,77.99144765811407
2012-10-25,25,4,64.9818535955125
2012-10-26,28,6,71.53166167994219
2012-10-27,10,1,18.32640802164844
2012-10-28,13,2,-6.069152501170304
2012-10-29,61,11,62.74513596838439
2012-10-30,26,14,62.400295482595325
2012-10-31,39,15,69.36070737823282
2012-11-01,22,32,54.42257718306563
2012-11-02,26,11,53.90823434636094
2012-11-03,13,0,6.198193248110943
2012-11-04,13,3,-5.9186275515781155
2012-11-05,31,2,30.045010997743766
2012-11-06,68,14,68.67655304078595
2012-11-07,38,20,31.224432872673443
2012-11-08,15,15,20.974969209139065
2012-11-09,21,6,34.82442265176876
2012-11-10,11,3,18.63769168025157
2012-11-11,19,0,7.311970493787506
2012-11-12,32,13,61.454100706778135
2012-11-13,24,12,67.06774474588906
2012-11-14,21,11,79.10798407036407
2012-11-15,21,8,77.15744500344218
2012-11-16,29,7,60.70196248831562
2012-11-17,11,9,23.019338265059375
2012-11-18,13,2,-0.4931665558718663
2012-11-19,27,7,24.632197073906262
2012-11-20,32,5,31.42728348006095
2012-11-21,27,9,36.86671881178595
2012-11-22,17,0,7.482366082442194
2012-11-23,23,2,14.445116650137509
2012-11-24,9,7,7.608088037835945
2012-11-25,7,7,12.330502006718758
2012-11-26,22,27,48.031413145756254
2012-11-27,22,17,97.87835539214844
2012-11-28,33,4,52.09047048278437
2012-11-29,34,6,92.82778427818906
2012-11-30,20,10,56.58875580542656
2012-12-01,12,5,25.695614059406253
2012-12-02,11,0,-6.303736622862493
2012-12-03,30,6,54.30293647712814
2012-12-04,28,10,120.77173155022345
2012-12-05,48,7,77.5312607753875
2012-12-06,25,17,80.42964584859219
2012-12-07,19,2,60.837637506868745
2012-12-08,10,2,2.0371251394312573
2012-12-09,10,4,13.627796105831262
2012-12-10,21,10,47.932461227528144
2012-12-11,27,19,74.00394448741095
2012-12-12,24,13,80.3760884155547
2012-12-13,16,16,89.03154934233595
2012-12-14,9,6,52.20752147079688
2012-12-15,9,2,-0.41035142701406
2012-12-16,9,2,1.950278670856262
2012-12-17,10,24,65.1668786279344
2012-12-18,20,8,72.6698579787547
2012-12-19,17,4,94.79198658316719
2012-12-20,26,7,111.01884661075468
2012-12-21,22,12,96.29951369847343
2012-12-22,4,27,-2.5226363801250002
2012-12-23,4,2,-2.4327287905078023
2012-12-24,1,5,24.05124667603127
2012-12-25,3,1,15.951521137737522
2012-12-26,3,2,35.060896823143764
2012-12-27,9,2,33.34221497982188
2012-12-28,4,8,10.561261039860945
2012-12-29,4,3,12.346907277314068
2012-12-30,1,3,18.107777321990632
2012-12-31,4,0,40.90927547015313
2013-01-01,4,2,5.766049851632815
2013-01-02,44,18,59.05864482996719
2013-01-03,38,5,25.95889274972344
2013-01-04,31,7,75.1120567433422
2013-01-05,5,1,58.6777664414875
2013-01-06,14,9,8.891134552829687
2013-01-07,30,16,122.90080349830313
2013-01-08,25,7,72.37412029056563
2013-01-09,20,15,75.34186571804062
2013-01-10,24,6,102.43684797917969
2013-01-11,12,18,81.6617800573
2013-01-12,3,7,31.65295072359219
2013-01-13,8,3,11.026194549304698
2013-01-14,26,12,87.52276379250158
2013-01-15,24,2,59.547142143793764
2013-01-16,23,2,78.69336150973126
2013-01-17,15,12,63.327540242157816
2013-01-18,15,27,75.99684313136251
2013-01-19,6,5,28.011403206621885
2013-01-20,9,3,44.49937460676407
2013-01-21,15,6,83.21856196645157
2013-01-22,18,16,65.72187601897501
2013-01-23,13,14,74.43645428199687
2013-01-24,15,9,61.601734790526564
2013-01-25,14,2,115.2770272070625
2013-01-26,5,3,31.30358946012813
2013-01-27,4,1,21.915905111431258
2013-01-28,14,14,65.60593839193282
2013-01-29,29,15,97.20319840190783
2013-01-30,16,28,104.08174902151094
2013-01-31,22,23,96.36191658237344
2013-02-01,14,13,73.3042310019875
2013-02-02,5,12,4.736033833840633
2013-02-03,13,17,10.043959321420328
2013-02-04,22,19,22.86276534199377
2013-02-05,16,14,113.80420654940784
2013-02-06,39,6,60.53965270918907
2013-02-07,26,6,102.85687053604532
2013-02-08,22,20,62.18399791572812
2013-02-09,13,8,9.372202077251565
2013-02-10,2,4,15.606293024135947
2013-02-11,19,13,50.33651618643283
2013-02-12,20,10,82.33228272436408
2013-02-13,24,14,68.24787594888438
2013-02-14,15,29,93.39912747260313
2013-02-15,22,29,62.73895245182969
2013-02-16,5,3,33.05551937318438
2013-02-17,3,2,6.749005232873444
2013-02-18,8,7,49.225377917350016
2013-02-19,12,19,85.26664085335001
2013-02-20,17,25,92.87808606716877
2013-02-21,20,24,106.89480270860312
2013-02-22,10,23,75.82398847805625
2013-02-23,1,8,12.907684535309375
2013-02-24,6,10,6.58723802230001
2013-02-25,11,22,39.64627140888283
2013-02-26,20,22,61.76870173286721
2013-02-27,16,29,61.268239874407826
2013-02-28,24,31,56.252791735604696
2013-03-01,17,35,59.40714172890782
2013-03-02,3,14,3.2937534727343802
