,youzan/vant,ElemeFE/element,ant-design/ant-design
2016-12-27,1.0,23,8
2016-12-28,-0.30000000000000004,25,4
2016-12-29,-0.10499999999999993,26,2
2016-12-30,-0.05949999999999997,22,16
2016-12-31,-0.0401625,2,6
2017-01-01,-0.029720249999999997,0,6
2017-01-02,-0.023280862499999996,0,4
2017-01-03,-0.018957273750000003,14,7
2017-01-04,-0.015876716765625045,5,10
2017-01-05,-0.013583413232812524,17,13
2017-01-06,0.0,13,6
2017-01-07,0.0,0,8
2017-01-08,0.0,2,14
2017-01-09,0.0,12,29
2017-01-10,0.0,3,9
2017-01-11,0.0,6,10
2017-01-12,0.0,14,8
2017-01-13,0.0,25,14
2017-01-14,0.0,4,12
2017-01-15,6.0,2,6
2017-01-16,-1.8000000000000003,25,9
2017-01-17,-0.6299999999999996,12,7
2017-01-18,-0.3569999999999998,19,0
2017-01-19,-0.240975,2,14
2017-01-20,-0.17832149999999997,2,16
2017-01-21,-0.13968517499999997,4,3
2017-01-22,-0.11374364250000002,4,12
2017-01-23,-0.09526030059375026,17,13
2017-01-24,-0.08150047939687514,4,9
2017-01-25,0.0,0,9
2017-01-26,0.0,3,8
2017-01-27,0.0,0,11
2017-01-28,0.0,1,0
2017-01-29,0.0,1,0
2017-01-30,0.0,0,9
2017-01-31,0.0,0,13
2017-02-01,0.0,0,1
2017-02-02,0.0,2,0
2017-02-03,0.0,3,5
2017-02-04,0.0,27,5
2017-02-05,0.0,0,1
2017-02-06,1.0,6,7
2017-02-07,0.7,3,13
2017-02-08,-0.40499999999999997,1,13
2017-02-09,-0.1644999999999999,7,16
2017-02-10,7.9003375,1,12
2017-02-11,-2.4698827500000005,0,0
2017-02-12,2.1069988875000005,3,0
2017-02-13,7.58176186375,2,16
2017-02-14,1.628866009484375,5,7
2017-02-15,2.109277870001563,0,15
2017-02-16,4.119182186767188,16,21
2017-02-17,3.47521856,3,13
2017-02-18,-3.7976510716250003,2,9
2017-02-19,-0.8759806396124992,2,20
2017-02-20,3.5191113234531253,8,42
2017-02-21,-1.4890106218390633,7,21
2017-02-22,9.448071540826563,18,20
2017-02-23,0.8143698962578121,10,16
2017-02-24,6.743212250226563,7,22
2017-02-25,-4.597765522489063,0,9
2017-02-26,5.9505467711203135,1,12
2017-02-27,18.343320801984376,4,20
2017-02-28,21.641759991689064,15,17
2017-03-01,8.508069393320312,5,14
2017-03-02,19.403877708595314,1,21
2017-03-03,10.17028913311094,3,11
2017-03-04,-14.276151633820312,4,0
2017-03-05,-5.004191297328122,2,13
2017-03-06,3.8008376183750006,7,22
2017-03-07,7.649038350293749,3,9
2017-03-08,20.098047669659373,2,13
2017-03-09,7.603564502187497,16,10
2017-03-10,8.554735258626561,1,22
2017-03-11,-11.460322704357814,0,3
2017-03-12,-5.417661140820311,0,2
2017-03-13,5.646282027718751,0,13
2017-03-14,7.81502174014375,1,12
2017-03-15,15.219649331185938,11,5
2017-03-16,6.020021420303124,1,11
2017-03-17,11.67802211916875,4,15
2017-03-18,-10.667797349968751,4,13
2017-03-19,0.09186572284375139,5,10
2017-03-20,1.480787823750001,5,12
2017-03-21,1.4545495153593748,0,12
2017-03-22,27.53017289045156,2,9
2017-03-23,-3.1058991333703148,5,8
2017-03-24,14.242458441878126,8,18
2017-03-25,-8.535446476303125,0,2
2017-03-26,-1.4287447216390614,3,1
2017-03-27,6.635677098671875,0,53
2017-03-28,-3.0119658592578133,10,18
2017-03-29,-0.02009180249062492,7,11
2017-03-30,19.338059645353123,11,12
2017-03-31,8.899650078159373,1,7
2017-04-01,11.897013264560938,5,16
2017-04-02,-10.470817857153124,0,10
2017-04-03,-4.687664792278123,2,2
2017-04-04,-3.034963558603125,9,4
2017-04-05,8.813286371642187,4,17
2017-04-06,0.11654482198906102,8,8
2017-04-07,-1.9046271785406255,9,5
2017-04-08,-2.775802154885938,4,4
2017-04-09,-1.527199990268751,0,3
2017-04-10,3.0680130721109373,3,14
2017-04-11,6.3149842624999994,2,10
2017-04-12,1.7956251762499997,2,21
2017-04-13,15.106008021828124,0,19
2017-04-14,-0.8283656768890628,3,4
2017-04-15,-2.527351499695312,0,8
2017-04-16,-2.859864776465624,10,1
2017-04-17,7.299397755,0,2
2017-04-18,7.0734911304375,0,0
2017-04-19,24.80116421919375,8,7
2017-04-20,7.581092507809373,1,3
2017-04-21,-4.3799658354453115,4,4
2017-04-22,-6.666946036284374,0,17
2017-04-23,0.384920574571876,1,1
2017-04-24,0.3344332222843751,2,5
2017-04-25,5.524493912859375,8,5
2017-04-26,3.1557292964828116,1,8
2017-04-27,-1.8692424247796886,5,10
2017-04-28,-2.3779346580312506,20,12
2017-04-29,-2.0178121020171877,2,0
2017-04-30,-1.122735274396875,1,7
2017-05-01,-0.7666132245625001,0,10
2017-05-02,-0.6040261337437502,8,10
2017-05-03,1.5515548686781244,15,14
2017-05-04,-0.9294171369703133,3,6
2017-05-05,-0.38525472990937515,5,9
2017-05-06,-0.17562695646406257,7,2
2017-05-07,-0.09390841323281252,0,0
2017-05-08,-0.05944049999999999,1,5
2017-05-09,2.953438275,2,4
2017-05-10,-0.9379145475000001,10,4
2017-05-11,0.6532465664687501,0,10
2017-05-12,-0.505666826465625,7,1
2017-05-13,-0.22548749999999992,6,4
2017-05-14,-0.14866074999999995,4,3
2017-05-15,2.8899949125,3,15
2017-05-16,-0.9865920712500001,0,6
2017-05-17,0.6140889872031251,1,8
2017-05-18,-0.5382075134484375,5,9
2017-05-19,6.758635783234375,2,4
2017-05-20,-2.262244163232813,0,0
2017-05-21,-0.8450050874999995,3,0
2017-05-22,-0.5030920712499998,0,9
2017-05-23,-0.3520485127968751,4,10
2017-05-24,3.7322507365515625,1,8
2017-05-25,12.621157245734375,0,4
2017-05-26,-4.766284329482813,1,1
2017-05-27,-1.819137017359374,1,11
2017-05-28,-1.0887338926296872,0,7
2017-05-29,-0.681156,3,5
2017-05-30,-0.5092069499999999,2,1
2017-05-31,-0.40176116999999995,2,8
2017-06-01,-0.32890869956250024,2,13
2017-06-02,2.7233923123499992,3,14
2017-06-03,-1.0901677852593754,15,0
2017-06-04,-0.3149999999999998,1,0
2017-06-05,-0.1784999999999999,0,8
2017-06-06,-0.1204875,0,11
2017-06-07,-0.08916074999999998,1,6
2017-06-08,-0.06984258749999998,0,6
2017-06-09,0.94312817875,19,21
2017-06-10,-0.34763015029687516,1,1
2017-06-11,-0.1457502396984375,0,2
2017-06-12,-0.05949999999999997,0,7
2017-06-13,-0.0401625,0,9
2017-06-14,-0.029720249999999997,0,3
2017-06-15,3.9767191375,5,17
2017-06-16,-1.21895727375,1,5
2017-06-17,-0.4358767167656247,1,1
2017-06-18,-0.2515834132328124,12,2
2017-06-19,2.83935,0,9
2017-06-20,-1.0188810000000001,0,6
2017-06-21,-0.4081234499999998,1,6
2017-06-22,-0.2543290949999999,0,2
2017-06-23,-0.18399436706250016,2,11
2017-06-24,-0.14349440293125007,0,2
2017-06-25,-0.06984258749999998,0,5
2017-06-26,2.94312817875,0,11
2017-06-27,1.0523698497031249,0,8
2017-06-28,-0.9557502396984374,0,10
2017-06-29,-0.38849999999999973,0,4
2017-06-30,-0.23948749999999994,0,18
2017-07-01,-0.16948575,0,5
2017-07-02,-0.12928308749999998,6,2
2017-07-03,-0.10343354625000001,0,7
2017-07-04,4.914455302203125,1,10
2017-07-05,-1.572503673229688,3,2
2017-07-06,2.4478331735343755,1,6
2017-07-07,-1.1975,2,15
2017-07-08,-0.5158124999999998,0,6
2017-07-09,-0.3271012499999999,0,0
2017-07-10,-0.23689181249999997,2,2
2017-07-11,3.81605288125,3,6
