,tajo/ladle,storybookjs/storybook,histoire-dev/histoire
2022-01-21,0,8.0,1
2022-01-22,0,1.1999999999999993,3
2022-01-23,2,1.4399999999999995,0
2022-01-24,0,25.482,0
2022-01-25,2,23.087699999999998,0
2022-01-26,2,22.002740999999997,0
2022-01-27,0,7.310145399999997,0
2022-01-28,0,42.204467904999994,0
2022-01-29,0,17.037681578375,0
2022-01-30,0,-6.21898766381875,6
2022-01-31,0,34.27543174139688,0
2022-02-01,0,27.475901729021878,1
2022-02-02,0,15.739202943159377,1
2022-02-03,0,0.4944747656593762,8
2022-02-04,0,27.351436750378127,9
2022-02-05,0,-5.292638839149997,8
2022-02-06,0,-2.878850204028119,2
2022-02-07,0,13.357035906637504,4
2022-02-08,0,5.508974895406254,3
2022-02-09,0,4.8233333598531285,3
2022-02-10,0,9.297748290668752,0
2022-02-11,0,16.208471158064064,0
2022-02-12,0,-1.5010641930015622,4
2022-02-13,0,-0.20736824041562363,3
2022-02-14,0,3.477691581948439,4
2022-02-15,0,5.400380272964065,14
2022-02-16,0,1.2032665722843767,6
2022-02-17,0,24.633602730551562,29
2022-02-18,0,3.510839169774999,6
2022-02-19,0,4.488183154771875,0
2022-02-20,0,-2.1975170292140627,0
2022-02-21,0,7.7163878501468774,0
2022-02-22,0,13.155045818600001,8
2022-02-23,0,20.353079382460937,4
2022-02-24,0,10.187615653201561,0
2022-02-25,0,8.507774842735937,4
2022-02-26,0,-3.3034924807937496,0
2022-02-27,0,-0.9002170213609348,0
2022-02-28,0,18.54197432849844,0
2022-03-01,4,13.926168951609377,0
2022-03-02,2,2.5195614431921878,0
2022-03-03,6,-1.614972384898437,0
2022-03-04,0,-1.7441210955453104,0
2022-03-05,0,6.864836795809378,0
2022-03-06,0,2.3984200733187517,9
2022-03-07,0,9.667440549484375,7
2022-03-08,0,9.008553225901561,2
2022-03-09,2,21.715337438015624,4
2022-03-10,0,2.368631932545311,8
2022-03-11,0,3.54948797176875,0
2022-03-12,0,23.891631777464063,0
2022-03-13,2,8.020112323375,0
