,apache/avro,protocolbuffers/protobuf,apache/thrift
2009-04-09,12.0,0.0,1
2009-04-10,-2.6000000000000005,0.0,2
2009-04-11,-1.5599999999999992,0.0,0
2009-04-12,-0.8189999999999995,0.0,0
2009-04-13,0.45855,0.0,2
2009-04-14,3.3031945,0.0,0
2009-04-15,0.38590940000000007,1.0,1
2009-04-16,-1.3302681474999998,1.7,0
2009-04-17,-0.6976403749375002,-0.7050000000000001,0
2009-04-18,-0.4882479255593753,4.7305,0
2009-04-19,-0.23607027573281247,-1.6591625,0
2009-04-20,-0.17152122374999998,-0.6350452499999997,1
2009-04-21,0.8617324632343749,0.6197786375000001,1
2009-04-22,0.5849951722046872,4.43366850125,0
2009-04-23,-0.49108708646250016,-0.8073925142656253,0
2009-04-24,-0.19166682646562494,-1.0462411592640624,0
2009-04-25,-0.09966249999999996,0.43538430478437506,0
2009-04-26,-0.06988275,-0.6694163338281253,0
2009-04-27,2.9469988875,0.6150383213359374,2
2009-04-28,0.05776186374999992,8.47541816375,0
2009-04-29,-0.6498339905156248,-2.9791064480156253,3
2009-04-30,-0.3129601299984374,-1.146144520810937,0
2009-05-01,-0.1935709132328125,3.3172628545703127,0
2009-05-02,-0.12932324999999997,-1.6237234369828126,0
2009-05-03,-0.09956283749999997,-0.7266398292656246,0
2009-05-04,-0.08015268375000001,-0.48006844948281235,2
2009-05-05,-0.06658742404687513,-0.34714218051562507,5
2009-05-06,-0.056626956464062614,4.724645135876562,2
2009-05-07,-0.013583413232812524,-1.715374169095313,1
2009-05-08,0.0,-0.6008290949999997,0
2009-05-09,0.0,-0.36100686706250007,0
2009-05-10,0.0,-0.2551461529312501,1
2009-05-11,1.0,0.85139875,1
2009-05-12,0.7,-0.41640431250000004,5
2009-05-13,1.595,0.8002136312500001,0
2009-05-14,0.23550000000000004,-0.43888358382812526,0
2009-05-15,-0.6096624999999999,-0.21307956616406254,0
2009-05-16,-0.29388274999999986,-0.08922024999999997,0
2009-05-17,-0.19282611249999995,0.9365566375000001,0
2009-05-18,0.85815886375,0.65132247625,0
2009-05-19,0.5888840344843749,-0.44415757926562505,0
2009-05-20,0.5043444600015625,-0.1970406869828124,1
2009-05-21,-0.5287941205140625,-0.11553921676562501,7
2009-05-22,4.75229395676875,-0.08346616323281252,6
2009-05-23,-1.6429661632328127,-0.05300111249999999,0
2009-05-24,-0.6181636124999996,-0.04223813625,0
2009-05-25,-0.3694583862499999,-0.03483399051562505,0
2009-05-26,1.741072646984375,0.9705398700015624,0
2009-05-27,0.2029813462515624,-0.3135834132328126,0
2009-05-28,-0.6558644424984374,2.895,0
2009-05-29,-0.3323697819828124,0.04049999999999987,3
2009-05-30,-0.2192085838281252,2.3448375,0
2009-05-31,-0.16752006616406262,-1.21322025,0
2009-06-01,0.923718025,0.48173163750000025,0
2009-06-02,1.63880459,-0.6267805237499999,0
2009-06-03,3.24428929271875,-0.340927054265625,0
2009-06-04,-1.5125435432312502,1.7576031530171876,10
2009-06-05,0.4072540867671879,3.223407488453125,0
2009-06-06,-0.6480452499999999,-1.5532190277140625,0
2009-06-07,-0.3483713624999999,-0.6234944260296873,0
2009-06-08,1.75610000125,-0.37803251344843747,0
2009-06-09,-0.787077214265625,-0.23596721676562504,0
2009-06-10,-0.36088619176406245,3.8209738617671873,0
2009-06-11,-0.23295455602812515,0.6689620024999998,0
2009-06-12,-0.15361592668125007,-1.12758252853125,0
2009-06-13,-0.07531721676562504,-0.5386736935281249,0
2009-06-14,-0.06014513823281251,0.66601634706875,0
2009-06-15,0.9620854525,2.500794,0
2009-06-16,-0.33175343353125014,-0.15756395000000012,0
2009-06-17,0.8678331735343751,7.20310918,1
2009-06-18,0.6405,-2.8250839145625,1
2009-06-19,0.5548375000000001,-1.1357948364624995,0
2009-06-20,-0.4942202499999999,0.3442290610343752,0
2009-06-21,-0.22794336249999989,2.2601798887499998,0
2009-06-22,-0.14834002374999997,2.661208599484375,0
2009-06-23,2.8909596707343748,2.1590822627203123,0
2009-06-24,-0.9855417994828126,-1.0469476464640626,1
2009-06-25,3.626885146984375,11.751195102642187,0
2009-06-26,-1.4269174037484378,-4.624758918362501,0
2009-06-27,-0.5699476299984373,-0.792830861249999,0
2009-06-28,-0.34074416323281237,3.6015845119843757,0
2009-06-29,-0.23049258749999996,-2.3869988585296875,0
2009-06-30,0.82424717875,0.8257696857390626,0
2009-07-01,2.5592463997031247,-0.3771115062437502,0
2009-07-02,3.8784206653015625,1.942812321553125,3
2009-07-03,-0.9380068670625001,6.484137156314062,0
2009-07-04,1.9020038470687504,-1.1667709582765626,0
2009-07-05,-1.4527077499999999,-1.8287660855156245,0
2009-07-06,0.31224588750000026,7.024263527939063,0
2009-07-07,0.24393638875000012,0.9414267738359374,0
2009-07-08,0.2556393994843751,7.52135970521875,0
2009-07-09,0.26705845522031235,2.75839723551875,0
2009-07-10,-0.7135961847765626,-0.9687334785296873,0
2009-07-11,-0.37504835417968757,-1.8340905213234375,0
2009-07-12,-0.21387717602968762,-1.8786736393937495,0
2009-07-13,-0.15287112594843755,-1.1337884664656248,1
2009-07-14,2.912164896984375,-0.8236807041250003,1
2009-07-15,-0.9716982662484377,-0.6540361979250003,0
2009-07-16,0.6365825962515627,-0.4453645743375006,0
2009-07-17,-0.5079601299984375,0.6728761665624994,4
2009-07-18,0.7609290867671875,-0.46167131667656286,0
2009-07-19,-0.44866075,-0.16162695646406255,0
2009-07-20,0.7849949125000001,3.9269165867671876,0
2009-07-21,-0.44609207125000006,2.7598374999999997,9
