,pytorch/vision,tensorflow/models,huggingface/transformers
2019-05-26,-0.6861671018015612,1,0
2019-05-27,1.499436875104689,0,2
2019-05-28,-0.5981919528296866,13,0
2019-05-29,2.6264443756953133,7,0
2019-05-30,0.4367028243375002,2,4
2019-05-31,0.6035235319156254,7,8
2019-06-01,-0.30859206687343743,0,11
2019-06-02,-0.1797786905515622,0,0
2019-06-03,2.8719010049640628,12,3
2019-06-04,-0.39540191353125,2,0
2019-06-05,2.785642443678125,14,0
2019-06-06,0.5615393522031248,6,6
2019-06-07,3.657153933126563,1,0
2019-06-08,-0.5968174155515628,0,0
2019-06-09,-0.3183723900359373,0,0
2019-06-10,-0.21629383874999975,1,1
2019-06-11,3.8330422734531258,2,3
2019-06-12,1.4638933411421875,3,1
2019-06-13,3.527553314703125,12,0
2019-06-14,5.316860344376562,4,14
2019-06-15,0.033677895401562186,0,5
2019-06-16,-0.62338741014375,0,0
2019-06-17,0.6164684500000004,0,10
2019-06-18,0.6123591900000007,4,32
2019-06-19,0.6245283054375006,6,12
2019-06-20,3.6343043538250006,8,10
2019-06-21,-0.628957647134375,5,5
2019-06-22,-0.3473782344874997,2,7
2019-06-23,-0.22390269073124974,0,2
2019-06-24,6.868578688714063,2,5
2019-06-25,0.20170897823437473,1,4
2019-06-26,2.5032910881984374,1,9
2019-06-27,-0.6068419505515628,0,3
2019-06-28,1.645190395401563,4,5
2019-06-29,0.5474248398562502,0,2
2019-06-30,-0.3602383374999996,0,0
2019-07-01,0.7588318637500003,0,1
2019-07-02,1.7126170751406253,3,9
2019-07-03,1.600462630482813,1,9
2019-07-04,5.601955433417188,0,3
2019-07-05,1.171791537392187,0,19
2019-07-06,1.38532792771875,0,0
2019-07-07,-0.5740865305875,0,0
2019-07-08,0.650974926214063,5,3
2019-07-09,1.6468947694843754,2,17
2019-07-10,0.5527465539328129,1,6
2019-07-11,0.6204459663968753,5,17
2019-07-12,3.6546184993343753,0,11
2019-07-13,-0.622658883746875,0,4
2019-07-14,-0.31049234360312483,0,2
2019-07-15,1.7950053236781252,3,19
2019-07-16,0.6563155319843753,3,23
2019-07-17,0.6937418126828128,0,9
2019-07-18,-0.2921077643374999,7,6
2019-07-19,3.822833049448438,9,0
2019-07-20,-0.5280681045984376,3,1
2019-07-21,-0.27669868514374985,1,2
2019-07-22,0.834533845,1,4
2019-07-23,4.7739576652187505,5,16
2019-07-24,2.3530732856625,10,3
2019-07-25,-0.6241152155515628,5,7
2019-07-26,4.649063862464063,2,11
2019-07-27,-0.7432025020624999,0,3
2019-07-28,-0.41432867264374956,0,0
2019-07-29,-0.2677540087499997,2,1
2019-07-30,-0.2078353317656243,8,0
2019-07-31,2.829894743635938,2,3
2019-08-01,1.5634907357734376,5,1
2019-08-02,0.5843349611421875,5,0
2019-08-03,-0.3233415650781251,1,1
2019-08-04,0.7940182373203127,0,4
2019-08-05,2.78182475,3,20
2019-08-06,3.5626179625,6,5
2019-08-07,2.3607781362499995,5,9
2019-08-08,3.3497831559531246,2,8
2019-08-09,-0.7825311298890626,8,3
2019-08-10,-0.43602828058749965,2,2
2019-08-11,-0.29943308628593696,0,1
2019-08-12,0.7735022982343758,4,5
2019-08-13,-0.28543161408281204,9,4
2019-08-14,-0.1943989484203121,12,4
2019-08-15,-0.13517513419062474,3,6
2019-08-16,-0.08413230967031227,9,10
2019-08-17,-0.049712160143749864,2,2
2019-08-18,-0.01316201249999996,0,6
2019-08-19,-0.011093696249999967,13,6
2019-08-20,-0.009568313015624975,15,32
2019-08-21,0.9916011474640625,6,13
2019-08-22,-0.10000000000000009,8,5
2019-08-23,-0.04500000000000003,7,8
2019-08-24,-0.028500000000000022,1,2
2019-08-25,-0.020662499999999924,1,0
2019-08-26,-0.016116749999999947,6,5
2019-08-27,-0.01316201249999996,5,12
2019-08-28,3.98890630375,5,44
2019-08-29,2.590431686984375,3,6
2019-08-30,3.511601147464062,4,57
2019-08-31,-0.6490000000000005,0,23
2019-09-01,-0.34814999999999985,0,1
2019-09-02,1.7595455000000004,0,8
2019-09-03,-0.38364829999999955,3,0
2019-09-04,-0.23832782249999962,4,10
2019-09-05,-0.1812023908124997,6,23
2019-09-06,1.8519998658093755,7,6
2019-09-07,-0.29570330967031244,0,0
2019-09-08,-0.1499194351437499,0,19
2019-09-09,3.9208126075,3,16
2019-09-10,2.5395383739687496,1,10
2019-09-11,0.4709687949281247,3,8
2019-09-12,0.6246759749999998,2,4
2019-09-13,-0.33533739249999983,2,3
2019-09-14,-0.21909112603124958,0,0
2019-09-15,-0.1669585050718746,0,0
2019-09-16,0.8793599275000004,2,8
2019-09-17,2.7991668966875003,6,2
2019-09-18,4.568443942059375,6,18
2019-09-19,-0.7093585668734379,2,27
2019-09-20,4.650870334448437,8,2
2019-09-21,-0.7290031025359378,0,0
2019-09-22,0.6101752375000005,0,1
2019-09-23,3.6263365162500003,4,12
2019-09-24,5.343028035734376,2,38
2019-09-25,-0.9816560228328126,1,14
2019-09-26,0.45648931481406274,2,40
2019-09-27,1.532770506070313,2,18
2019-09-28,-0.4944455775781244,0,2
2019-09-29,-0.320936508929687,1,2
2019-09-30,3.7894223269843756,3,3
2019-10-01,1.4293239679015626,2,6
2019-10-02,2.4835991992625,1,6
2019-10-03,1.4081891635343748,3,37
2019-10-04,2.493594294484375,3,10
2019-10-05,-0.6088274785671874,1,0
2019-10-06,-0.3556667550718746,0,2
2019-10-07,3.7541259400000007,4,20
2019-10-08,3.4058323179375005,2,17
2019-10-09,-0.740687399925,4,22
2019-10-10,-0.4011760741187499,9,26
2019-10-11,0.725735727610938,10,15
2019-10-12,0.7073803558812506,3,2
2019-10-13,-0.2873116076078122,2,3
2019-10-14,-0.17052283499999976,1,13
2019-10-15,2.8681894629375004,6,30
2019-10-16,8.59135208779375,5,8
2019-10-17,0.9021258273562494,9,13
2019-10-18,9.285244291249999,6,3
2019-10-19,-1.429149509265626,4,1
2019-10-20,-0.7592799155515619,1,2
2019-10-21,4.480739359964063,8,5
2019-10-22,2.109402298750001,6,11
2019-10-23,0.1589602697031255,5,3
2019-10-24,0.35738110775156295,6,7
2019-10-25,0.4605242386453132,1,0
2019-10-26,2.5714479147718756,0,0
2019-10-27,-0.5923113378593747,0,3
2019-10-28,1.7047662312500003,7,9
