,golang/go,swiftlang/swift,rust-lang/rust
2010-07-17,5,1,2.0
2010-07-18,0,18,4.8
2010-07-19,7,22,8.16
2010-07-20,5,0,8.968
2010-07-21,14,1,-3.0432000000000006
2010-07-22,5,14,2.6407039999999995
2010-07-23,2,8,2.794201599999999
2010-07-24,0,13,-9.995758080000002
2010-07-25,3,11,-3.0461117439999996
2010-07-26,12,0,11.2337780736
2010-07-27,11,16,-8.000153907200001
2010-07-28,4,2,2.9873770495999996
2010-07-29,10,0,26.9711594496
2010-07-30,14,7,-20.758167756800002
2010-07-31,0,2,-3.7242309632
2010-08-01,1,7,-2.9362904064
2010-08-02,1,0,-0.5170739199999992
2010-08-03,19,7,0.3649827839999995
2010-08-04,4,8,13.911813734399999
2010-08-05,15,8,-1.4030062592000014
2010-08-06,7,0,-2.8642588672000002
2010-08-07,2,3,4.648960409599999
2010-08-08,0,2,-6.714391552
2010-08-09,7,0,15.1970940928
2010-08-10,12,0,-5.157906432000001
2010-08-11,5,0,4.746973388799999
2010-08-12,17,0,-1.6926347264000015
2010-08-13,7,0,-3.7209234432000002
2010-08-14,2,0,-4.9526939648
2010-08-15,1,0,-1.951568896
2010-08-16,7,0,1.787718656
2010-08-17,9,0,0.39664711679999964
2010-08-18,5,0,20.2340414464
2010-08-19,9,0,-10.682023014400002
2010-08-20,3,0,16.3347506176
2010-08-21,1,0,-14.246721945600003
2010-08-22,2,0,-4.3896178687999985
2010-08-23,4,0,-2.1009459199999996
2010-08-24,7,0,11.658241024
2010-08-25,21,0,7.242910822399999
2010-08-26,19,0,0.13350154239999767
2010-08-27,10,0,3.6139761663999987
2010-08-28,0,0,-8.447221452800001
2010-08-29,3,0,-5.1840098304
2010-08-30,7,0,-2.1390876671999997
2010-08-31,9,0,3.65131008
2010-09-01,9,0,-2.9629660160000006
2010-09-02,13,0,-1.9341945856000007
2010-09-03,7,0,3.1086609407999997
2010-09-04,5,2,-2.9095660544000004
2010-09-05,1,0,-0.7778899968000001
2010-09-06,1,0,-0.3561302016000001
2010-09-07,14,0,3.7842176
2010-09-08,8,0,12.443980799999999
2010-09-09,17,0,-5.599871488000002
2010-09-10,19,0,-1.4842038272
2010-09-11,7,0,-3.2957614079999997
2010-09-12,16,0,-0.21340026879999963
2010-09-13,10,0,-0.3121408000000001
2010-09-14,10,0,3.7847782399999996
2010-09-15,6,0,0.4531921919999995
2010-09-16,14,0,12.6193190912
2010-09-17,3,0,-10.624116736000001
2010-09-18,2,2,-2.4166325248
2010-09-19,3,0,-1.1998268415999997
2010-09-20,16,0,0.26396620800000037
2010-09-21,5,0,10.8839415808
2010-09-22,17,0,0.30001121279999854
2010-09-23,12,0,-2.586678784000001
2010-09-24,29,0,3.7349460992
2010-09-25,2,0,-6.290081075200001
2010-09-26,0,0,-1.7437311999999998
2010-09-27,12,0,2.02082816
2010-09-28,10,0,2.540320768
2010-09-29,14,0,-2.8457946112000005
2010-09-30,16,0,3.2615090175999994
2010-10-01,5,0,-1.7135814656000004
2010-10-02,0,0,-1.2092750847999998
2010-10-03,1,0,-1.3861221376000001
2010-10-04,3,0,0.45459968000000006
2010-10-05,2,0,1.0501565439999998
2010-10-06,13,0,3.4267945984
2010-10-07,13,0,-0.46983628800000066
2010-10-08,2,0,3.3515900927999995
2010-10-09,1,17,4.59383552
2010-10-10,0,11,-4.5457956864
2010-10-11,11,3,-0.8859779072
2010-10-12,16,3,8.665888768
2010-10-13,9,0,-0.5355635712000009
2010-10-14,10,0,1.8871545855999994
2010-10-15,10,4,-4.6707768320000005
2010-10-16,2,0,-2.2046836736
2010-10-17,4,4,-1.9779648512
2010-10-18,14,1,8.0319066112
2010-10-19,7,0,-1.0031350784000006
2010-10-20,17,0,-0.5145636864000007
2010-10-21,17,0,11.1703328768
2010-10-22,12,0,1.752756633599999
2010-10-23,0,0,-1.6992546816000011
2010-10-24,1,1,-7.506781286400001
2010-10-25,11,0,-2.4359990271999994
2010-10-26,14,0,3.581368832
2010-10-27,8,0,-1.9742261248000004
2010-10-28,14,0,5.538400255999999
2010-10-29,7,0,-5.798260428800001
2010-10-30,4,0,-1.595018752
2010-10-31,4,0,-0.8141876224000001
2010-11-01,18,0,-0.4662885375999999
2010-11-02,6,0,1.7190784
2010-11-03,6,0,7.58840576
2010-11-04,10,0,-2.8065945600000006
2010-11-05,14,0,4.9082730496
2010-11-06,4,0,3.2007834623999996
2010-11-07,0,0,-6.876096
2010-11-08,6,0,0.1320576
2010-11-09,5,0,-0.2179916799999999
2010-11-10,9,0,-1.112459264
2010-11-11,4,5,0.5594827775999998
2010-11-12,8,0,1.1390600191999996
2010-11-13,3,0,-1.4334539776000002
2010-11-14,0,0,5.6541138944
2010-11-15,0,0,-3.7139278848000012
2010-11-16,0,0,-0.7057827840000002
2010-11-17,2,0,-1.2982646784000003
2010-11-18,8,0,0.4624910336000001
2010-11-19,5,0,3.0657497088
2010-11-20,1,0,2.2453149695999994
2010-11-21,1,0,2.2980721663999994
2010-11-22,4,0,1.4318348287999996
2010-11-23,2,0,2.1599717375999994
2010-11-24,1,0,-1.550989619200001
2010-11-25,0,4,6.0197116928
2010-11-26,1,0,2.643493887999999
2010-11-27,1,1,-6.0113098752
2010-11-28,1,0,-3.5181298688
2010-11-29,5,1,3.4732165120000005
2010-11-30,10,0,2.0529666047999995
2010-12-01,4,0,1.161671372799999
2010-12-02,9,0,2.9566217215999995
2010-12-03,5,0,7.6758234112
2010-12-04,0,0,-5.2261150720000025
2010-12-05,3,0,-5.656165376000001
2010-12-06,13,0,-0.9720505343999997
2010-12-07,28,0,7.2370304
2010-12-08,29,0,-1.3240186880000007
2010-12-09,17,0,7.298729164799999
2010-12-10,5,0,1.2639326207999986
2010-12-11,1,0,2.6773433343999997
2010-12-12,4,0,-5.033117900800001
2010-12-13,18,0,3.9963274240000004
2010-12-14,17,0,-0.31662131200000054
2010-12-15,14,0,6.5306651647999985
2010-12-16,17,0,0.019394355199999325
2010-12-17,12,0,-3.825948160000001
2010-12-18,0,0,0.21653903360000015
2010-12-19,0,0,-5.7579991040000005
2010-12-20,2,0,4.9984764928
2010-12-21,2,0,1.632152883199999
2010-12-22,0,0,0.15967621119999897
2010-12-23,5,0,-3.376057446400001
2010-12-24,1,0,-0.9262887936000004
2010-12-25,0,0,1.6145889279999999
2010-12-26,0,0,-3.3353748480000003
2010-12-27,3,0,-1.0550648832
2010-12-28,0,0,-0.6002877440000001
2010-12-29,0,0,0.5769440255999999
2010-12-30,1,0,6.1276901376
2010-12-31,0,0,12.5154352128
2011-01-01,0,0,-10.185386598400001
2011-01-02,0,0,-3.1239655424
2011-01-03,2,0,7.6359437312
2011-01-04,13,0,7.7961088
2011-01-05,14,0,-6.032227840000003
2011-01-06,6,0,1.0074951679999993
2011-01-07,8,0,-0.4837722111999998
2011-01-08,5,0,-2.8682578944
2011-01-09,3,0,-2.8959442944000005
2011-01-10,5,0,10.8276041728
2011-01-11,15,0,-2.958128128000001
2011-01-12,16,0,5.0050435072
2011-01-13,11,0,-6.6394149888000005
2011-01-14,11,0,4.3226120192
2011-01-15,1,0,-3.4507410432000007
2011-01-16,3,0,-2.81049344
2011-01-17,1,0,5.8500345856
2011-01-18,14,0,2.0736885759999986
2011-01-19,31,0,-0.5668721664000014
2011-01-20,32,0,2.446178304
2011-01-21,9,0,2.353450495999999
2011-01-22,3,0,-4.421871411200001
2011-01-23,0,0,-3.0774175744
2011-01-24,10,0,3.7377913856000005
2011-01-25,12,0,0.21262745599999944
2011-01-26,12,0,2.4362054655999996
2011-01-27,13,0,6.258568089599999
2011-01-28,7,0,-0.9638067200000009
2011-01-29,4,0,-6.272728166400001
2011-01-30,4,0,1.0785347584
2011-01-31,16,0,1.1526598656
2011-02-01,24,0,1.5495372799999996
2011-02-02,18,0,4.846332415999999
2011-02-03,23,0,-3.6803166208
2011-02-04,13,1,-1.6181783552000004
2011-02-05,6,0,-2.5395628032000004
2011-02-06,0,0,-0.9899515903999998
2011-02-07,6,0,4.415069184
2011-02-08,7,0,-2.4180356096000004
2011-02-09,25,0,8.5019994112
2011-02-10,11,0,3.3921397759999987
2011-02-11,16,0,1.442609459199999
2011-02-12,3,0,-7.3540269056000005
2011-02-13,2,0,-2.0996281343999996
2011-02-14,9,0,3.8501376
2011-02-15,7,0,7.236940799999999
2011-02-16,19,0,-0.7552890880000014
2011-02-17,14,0,-5.191956787200001
2011-02-18,13,0,0.47124684799999983
2011-02-19,2,0,1.0260761600000001
2011-02-20,1,0,-3.4628226048000004
2011-02-21,5,0,-0.09047040000000006
2011-02-22,10,10,2.7411839999999996
2011-02-23,24,0,9.013568511999999
2011-02-24,10,0,-0.056488243200000454
2011-02-25,17,0,5.3267480576
2011-02-26,1,3,-3.0804728832000006
2011-02-27,0,1,-6.0662148096
2011-02-28,7,0,-0.04893050879999983
2011-03-01,9,4,6.614911488000001
2011-03-02,11,6,20.5452136448
2011-03-03,14,0,-1.9916464128000015
2011-03-04,10,1,-1.8515841024000004
2011-03-05,10,0,-8.2497494016
2011-03-06,12,1,0.5535906816000002
2011-03-07,31,2,11.9858439168
2011-03-08,19,0,3.9538319360000003
2011-03-09,12,0,9.201886617599998
2011-03-10,14,0,0.11827845119999836
2011-03-11,14,0,1.1457396735999996
2011-03-12,6,0,-11.0298888192
2011-03-13,2,4,-5.1214081024
2011-03-14,4,7,22.632651366399998
2011-03-15,13,2,-6.488704819200002
2011-03-16,20,0,2.997482086399998
2011-03-17,16,7,-4.010451558400002
2011-03-18,7,4,14.5066768384
2011-03-19,1,3,-2.754131353600002
2011-03-20,1,7,-0.826313830400002
2011-03-21,8,9,19.8061417472
2011-03-22,11,20,5.685341081599997
2011-03-23,18,4,0.2813295615999962
2011-03-24,7,0,-4.227103846400002
2011-03-25,19,0,13.141643263999999
2011-03-26,6,3,-17.825922252800005
2011-03-27,3,3,0.31565598719999954
2011-03-28,11,0,-3.281022464000001
2011-03-29,31,0,7.9292033023999995
2011-03-30,8,0,-1.8300253184000024
2011-03-31,10,0,11.588195123199998
2011-04-01,3,0,8.419742003199996
2011-04-02,6,2,-14.502589542400003
2011-04-03,3,0,0.6070584319999988
2011-04-04,13,1,-8.7759741952
2011-04-05,20,2,3.867855564800001
2011-04-06,11,0,-1.059925401600001
