,JetBrains/kotlin,apple/swift,rust-lang/rust
2015-03-18,80,38,37
2015-03-19,8,49,57
2015-03-20,28,35,41
2015-03-21,10,15,10
2015-03-22,0,19,23
2015-03-23,29,36,96
2015-03-24,30,44,65
2015-03-25,24,49,24
2015-03-26,15,46,44
2015-03-27,19,39,79
2015-03-28,0,29,26
2015-03-29,0,19,34
2015-03-30,34,24,37
2015-03-31,41,35,75
2015-04-01,45,49,95
2015-04-02,30,61,34
2015-04-03,44,35,37
2015-04-04,7,30,42
2015-04-05,1,31,18
2015-04-06,21,19,21
2015-04-07,88,51,43
2015-04-08,18,36,68
2015-04-09,41,41,38
2015-04-10,16,28,57
2015-04-11,0,11,45
2015-04-12,0,6,21
2015-04-13,30,17,36
2015-04-14,15,25,86
2015-04-15,24,36,49
2015-04-16,89,42,31
2015-04-17,18,51,75
2015-04-18,4,10,35
2015-04-19,0,12,22
2015-04-20,12,38,35
2015-04-21,26,24,99
2015-04-22,47,74,30
2015-04-23,46,44,45
2015-04-24,29,37,63
2015-04-25,0,9,50
2015-04-26,0,53,25
2015-04-27,42,63,51
2015-04-28,21,44,31
2015-04-29,43,53,97
2015-04-30,7,50,70
2015-05-01,6,41,44
2015-05-02,32,31,36
2015-05-03,0,10,23
2015-05-04,0,34,43
2015-05-05,4,47,52
2015-05-06,7,40,58
2015-05-07,28,69,56
2015-05-08,51,41,43
2015-05-09,1,36,37
2015-05-10,0,15,54
2015-05-11,4,39,54
2015-05-12,15,45,63
2015-05-13,132,41,66
2015-05-14,50,45,52
2015-05-15,23,57,53
2015-05-16,25,14,39
2015-05-17,8,20,40
2015-05-18,32,43,33
2015-05-19,24,58,84
2015-05-20,47,52,36
2015-05-21,52,31,35
2015-05-22,16,33,21
2015-05-23,0,37,34
2015-05-24,7,22,26
2015-05-25,24,9,34
2015-05-26,97,29,35
2015-05-27,121,40,30
2015-05-28,27,32,41
2015-05-29,20,30,41
2015-05-30,4,13,20
2015-05-31,1,18,22
2015-06-01,38,15,28
2015-06-02,48,37,34
2015-06-03,40,25,26
2015-06-04,43,21,30
2015-06-05,19,11,25
2015-06-06,1,10,30
2015-06-07,0,4,20
2015-06-08,34,12,44
2015-06-09,14,5,58
2015-06-10,29,6,40
2015-06-11,58,0,36
2015-06-12,19,6,35
2015-06-13,4,2,25
2015-06-14,0,3,18
2015-06-15,54,19,35
2015-06-16,18,16,19
2015-06-17,48,57,52
2015-06-18,29,26,51
2015-06-19,22,25,36
2015-06-20,0,10,37
2015-06-21,0,2,28
2015-06-22,8,19,28
2015-06-23,57,23,44
2015-06-24,23,63,40
2015-06-25,46,64,36
2015-06-26,7,33,25
2015-06-27,13,19,21
2015-06-28,0,8,9
2015-06-29,54,19,32
2015-06-30,19,25,57
2015-07-01,16,41,37
2015-07-02,10,35,28
2015-07-03,30,7,26
2015-07-04,6,3,28
2015-07-05,0,0,35
2015-07-06,29,12,35
2015-07-07,33,21,29
2015-07-08,17,49,46
2015-07-09,66,40,32
2015-07-10,60,48,27
2015-07-11,1,25,27
2015-07-12,0,8,32
2015-07-13,7,44,38
2015-07-14,12,22,39
2015-07-15,24,36,11
2015-07-16,94,48,47
