,ruby/ruby,nodejs/node,python/cpython
2017-10-18,8,24,3
2017-10-19,4,52,7
2017-10-20,7,7,2
2017-10-21,108,14,1
2017-10-22,39,15,6
2017-10-23,16,18,6
2017-10-24,23,11,11
2017-10-25,25,28,4
2017-10-26,27,20,10
2017-10-27,36,12,9
2017-10-28,37,17,4
2017-10-29,43,26,0
2017-10-30,8,17,2
2017-10-31,10,9,11
2017-11-01,12,5,7
2017-11-02,18,18,9
2017-11-03,6,20,7
2017-11-04,25,4,9
2017-11-05,12,3,3
2017-11-06,5,23,3
2017-11-07,40,31,20
2017-11-08,7,15,11
2017-11-09,12,8,5
2017-11-10,7,10,6
2017-11-11,3,53,8
2017-11-12,7,24,5
2017-11-13,8,18,5
2017-11-14,12,11,4
2017-11-15,10,10,12
2017-11-16,36,17,8
2017-11-17,13,19,2
2017-11-18,16,26,5
2017-11-19,11,7,3
2017-11-20,13,14,6
2017-11-21,8,29,7
2017-11-22,5,41,3
2017-11-23,6,14,15
2017-11-24,15,5,12
2017-11-25,5,4,10
2017-11-26,7,21,6
2017-11-27,8,7,10
2017-11-28,6,41,15
2017-11-29,15,9,10
2017-11-30,2,8,9
2017-12-01,28,24,10
2017-12-02,8,1,4
2017-12-03,18,5,5
2017-12-04,16,7,7
2017-12-05,19,12,14
2017-12-06,26,32,10
2017-12-07,11,17,4
2017-12-08,15,34,3
2017-12-09,7,13,6
2017-12-10,6,4,5
2017-12-11,26,9,8
2017-12-12,69,33,10
2017-12-13,21,24,11
2017-12-14,26,4,14
2017-12-15,22,19,15
2017-12-16,8,3,8
2017-12-17,11,6,2
2017-12-18,19,19,9
2017-12-19,17,13,13
2017-12-20,18,16,10
2017-12-21,19,20,10
2017-12-22,21,14,2
2017-12-23,16,6,8
2017-12-24,17,8,2
2017-12-25,19,4,5
2017-12-26,9,9,3
2017-12-27,18,17,0
2017-12-28,5,16,2
2017-12-29,2,5,4
2017-12-30,7,4,9
2017-12-31,11,3,2
2018-01-01,6,5,1
2018-01-02,37,8,2
2018-01-03,6,15,1
2018-01-04,13,8,6
2018-01-05,31,21,3
2018-01-06,8,6,7
2018-01-07,19,4,7
2018-01-08,34,4,1
2018-01-09,55,12,10
2018-01-10,13,9,1
2018-01-11,15,24,5
2018-01-12,20,6,8
2018-01-13,13,4,2
2018-01-14,12,9,1
2018-01-15,36,2,7
2018-01-16,19,22,7
2018-01-17,14,14,6
2018-01-18,44,21,4
2018-01-19,32,15,1
2018-01-20,26,2,7
2018-01-21,9,14,2
2018-01-22,4,4,6
2018-01-23,9,35,10
2018-01-24,14,35,15
2018-01-25,9,6,11
2018-01-26,21,11,11
2018-01-27,15,2,19
2018-01-28,7,2,21
2018-01-29,12,20,29
2018-01-30,19,10,19
2018-01-31,9,11,10
2018-02-01,6,55,5
2018-02-02,15,13,9
2018-02-03,11,3,3
2018-02-04,26,19,8
2018-02-05,26,10,5
2018-02-06,32,28,4
2018-02-07,25,16,1
2018-02-08,29,16,1
2018-02-09,12,12,7
2018-02-10,13,21,3
2018-02-11,25,4,7
2018-02-12,14,14,4
2018-02-13,10,4,6
2018-02-14,8,14,5
2018-02-15,7,4,0
