,statsmodels/statsmodels,scikit-learn/scikit-learn,mlpack/mlpack
2018-01-05,0,2,21.0
2018-01-06,0,1,-6.5
2018-01-07,4,1,-2.625
2018-01-08,22,5,0.1875
2018-01-09,1,4,2.1796875
2018-01-10,0,3,-3.73046875
2018-01-11,0,6,13.5693359375
2018-01-12,0,0,-6.40478515625
2018-01-13,1,1,6.467254638671875
2018-01-14,3,3,-5.6994476318359375
2018-01-15,3,1,4.318359375
2018-01-16,1,2,4.12005615234375
2018-01-17,2,3,0.7113800048828125
2018-01-18,2,5,11.287734985351562
2018-01-19,1,2,-6.671966552734375
2018-01-20,1,0,-2.4769439697265625
2018-01-21,3,1,0.105560302734375
2018-01-22,2,4,3.0999755859375
2018-01-23,0,3,3.8002777099609375
2018-01-24,0,6,1.4928131103515625
2018-01-25,2,2,-3.3465728759765625
2018-01-26,0,0,9.129776000976562
2018-01-27,0,1,-1.2861785888671875
2018-01-28,0,1,2.837982177734375
2018-01-29,1,1,10.094100952148438
2018-01-30,0,1,4.903289794921875
2018-01-31,0,3,-1.7010345458984375
2018-02-01,1,4,12.876663208007812
2018-02-02,1,2,-6.639739990234375
2018-02-03,2,1,-8.965133666992188
2018-02-04,1,0,5.0697479248046875
2018-02-05,0,2,14.070938110351562
2018-02-06,0,1,-5.3227081298828125
2018-02-07,0,3,2.5865020751953125
2018-02-08,0,5,4.01190185546875
2018-02-09,0,2,2.032562255859375
2018-02-10,1,3,-4.728546142578125
2018-02-11,0,1,-1.1239013671875
2018-02-12,0,5,4.696136474609375
2018-02-13,2,4,-2.4893341064453125
2018-02-14,0,5,5.6363677978515625
2018-02-15,0,0,140.23110961914062
2018-02-16,0,2,-65.80094909667969
2018-02-17,0,3,-25.638290405273438
2018-02-18,0,5,-4.673431396484375
2018-02-19,2,2,-4.6532135009765625
2018-02-20,0,3,4.1568145751953125
2018-02-21,0,0,-3.375244140625
2018-02-22,0,4,-3.0823516845703125
2018-02-23,0,1,-0.4731597900390625
2018-02-24,0,2,12.675872802734375
2018-02-25,2,2,-5.2738189697265625
2018-02-26,5,7,33.654449462890625
2018-02-27,0,5,-5.5909576416015625
2018-02-28,0,6,-2.02276611328125
2018-03-01,0,3,16.880386352539062
2018-03-02,0,1,-1.35675048828125
2018-03-03,13,1,16.4278564453125
2018-03-04,3,1,-16.080886840820312
2018-03-05,40,3,-9.706817626953125
2018-03-06,2,2,6.3097076416015625
2018-03-07,0,6,-4.5198822021484375
2018-03-08,0,4,-3.178497314453125
2018-03-09,0,1,22.639556884765625
2018-03-10,0,1,-11.6888427734375
2018-03-11,0,0,6.3670196533203125
2018-03-12,1,1,-5.4458160400390625
2018-03-13,1,2,-1.2006988525390625
2018-03-14,0,2,6.6683349609375
2018-03-15,0,2,9.519851684570312
2018-03-16,0,2,17.937835693359375
2018-03-17,0,1,-15.10992431640625
2018-03-18,0,2,-6.179534912109375
2018-03-19,6,0,1.1728057861328125
2018-03-20,8,0,-0.70892333984375
2018-03-21,7,0,0.9659271240234375
2018-03-22,20,5,2.6955718994140625
2018-03-23,5,0,-0.2835693359375
2018-03-24,17,2,1.571014404296875
2018-03-25,2,1,-3.656036376953125
2018-03-26,1,1,9.00439453125
2018-03-27,0,2,-4.444610595703125
2018-03-28,0,1,3.04583740234375
2018-03-29,2,1,2.7204132080078125
2018-03-30,3,1,18.003631591796875
2018-03-31,0,1,-0.20245361328125
2018-04-01,0,1,-8.2908935546875
2018-04-02,0,2,0.3886566162109375
2018-04-03,0,4,16.222930908203125
2018-04-04,0,2,-5.587677001953125
2018-04-05,4,1,-0.3704681396484375
2018-04-06,10,2,0.4536590576171875
2018-04-07,1,0,-1.2120361328125
2018-04-08,0,0,-5.03057861328125
2018-04-09,0,2,1.9788818359375
2018-04-10,2,1,3.8389129638671875
2018-04-11,1,2,-1.787078857421875
2018-04-12,3,2,-3.153350830078125
2018-04-13,12,3,5.8333740234375
2018-04-14,5,2,-4.1334228515625
2018-04-15,1,0,2.77801513671875
2018-04-16,2,5,9.40338134765625
2018-04-17,12,2,4.1853485107421875
2018-04-18,12,1,-6.4395599365234375
2018-04-19,23,1,0.14501953125
2018-04-20,4,1,1.149322509765625
2018-04-21,2,3,0.8164825439453125
2018-04-22,11,2,-3.228790283203125
2018-04-23,3,5,4.8196258544921875
2018-04-24,7,0,-0.7013092041015625
2018-04-25,7,7,2.3172760009765625
2018-04-26,8,4,0.5626220703125
2018-04-27,9,0,-0.058074951171875
2018-04-28,2,0,-2.557830810546875
2018-04-29,5,0,-1.9359283447265625
2018-04-30,4,0,7.0031585693359375
2018-05-01,3,0,-2.6455230712890625
2018-05-02,3,3,0.5236053466796875
2018-05-03,2,3,1.4378662109375
2018-05-04,0,5,4.97161865234375
2018-05-05,4,0,-0.1074066162109375
2018-05-06,0,3,-4.142669677734375
2018-05-07,4,2,-0.5441131591796875
2018-05-08,4,1,0.567138671875
2018-05-09,2,2,0.21710205078125
2018-05-10,0,0,2.26116943359375
2018-05-11,2,1,6.2693939208984375
2018-05-12,1,1,-2.45941162109375
2018-05-13,7,0,-2.181060791015625
2018-05-14,9,0,3.2398834228515625
2018-05-15,2,2,1.640228271484375
2018-05-16,4,1,3.2978668212890625
2018-05-17,2,0,9.144378662109375
2018-05-18,32,3,-1.690887451171875
2018-05-19,40,0,1.750152587890625
2018-05-20,2,1,0.5837249755859375
2018-05-21,2,0,1.0952911376953125
2018-05-22,0,2,-3.8317413330078125
2018-05-23,1,4,10.663681030273438
2018-05-24,2,4,-7.6950225830078125
2018-05-25,3,3,-2.3763580322265625
2018-05-26,9,1,-0.286376953125
2018-05-27,4,0,2.7734832763671875
2018-05-28,1,0,-1.567108154296875
2018-05-29,10,3,-2.3037567138671875
2018-05-30,1,9,0.9833831787109375
2018-05-31,4,3,6.383270263671875
2018-06-01,8,3,2.31219482421875
2018-06-02,5,1,-1.8384552001953125
2018-06-03,4,0,-0.1118011474609375
2018-06-04,5,8,9.2008056640625
2018-06-05,3,0,-4.1764373779296875
2018-06-06,2,7,2.285797119140625
2018-06-07,7,1,-2.62286376953125
2018-06-08,3,2,10.210845947265625
2018-06-09,0,0,14.140899658203125
2018-06-10,7,3,-5.4764862060546875
2018-06-11,8,3,-2.1315765380859375
2018-06-12,6,3,1.7012786865234375
2018-06-13,34,2,2.227264404296875
2018-06-14,1,9,-1.1991729736328125
2018-06-15,3,5,-5.830413818359375
2018-06-16,0,1,4.5003662109375
2018-06-17,2,4,22.872879028320312
2018-06-18,1,5,-12.960968017578125
2018-06-19,1,1,-0.08087158203125
2018-06-20,8,7,-3.836700439453125
2018-06-21,12,9,7.475555419921875
2018-06-22,1,4,3.6718902587890625
2018-06-23,4,4,-0.068878173828125
2018-06-24,0,3,-1.909027099609375
2018-06-25,0,1,-0.2862091064453125
