,nwjs/nw.js,electron/electron,AvaloniaUI/Avalonia
2021-12-05,1,0.0,10
2021-12-06,0,4.0,21
2021-12-07,0,2.5999999999999996,17
2021-12-08,0,0.5199999999999996,1
2021-12-09,0,0.6509999999999997,14
2021-12-10,0,0.6868500000000002,9
2021-12-11,0,-0.2999544999999997,5
2021-12-12,0,-0.19516079999999966,7
2021-12-13,0,1.8508599275000004,17
2021-12-14,0,1.6785043966875002,2
2021-12-15,0,1.607327192059375,8
2021-12-16,0,1.5939794206265625,5
2021-12-17,0,0.5826141381984374,17
2021-12-18,1,0.6614743344484376,13
2021-12-19,4,-0.3102813775359373,14
2021-12-20,3,0.8044300825000004,18
2021-12-21,6,0.7509559564687502,4
2021-12-22,0,0.7337750013968752,25
2021-12-23,0,0.7390995138968751,28
2021-12-24,0,-0.2543525398531249,4
2021-12-25,13,-0.14773896433749983,7
2021-12-26,1,-0.0964084280515623,2
2021-12-27,0,1.9305661887140628,14
2021-12-28,0,0.750059228234375,4
2021-12-29,0,0.7677771256984375,4
2021-12-30,0,-0.2310608618015626,16
2021-12-31,0,0.8672078344484376,10
2022-01-01,0,-0.18979485253593742,8
2022-01-02,1,-0.10810327499999983,2
2022-01-03,2,6.920033845,20
2022-01-04,1,2.23594516521875,6
2022-01-05,1,2.3314235356624997,9
2022-01-06,2,6.334370821948437,3
2022-01-07,0,2.9153699512140623,7
2022-01-08,10,-0.984873063015625,0
2022-01-09,2,-0.5903706900359371,0
2022-01-10,2,6.575870338750001,2
2022-01-11,0,1.9647874326406254,10
2022-01-12,0,4.1076209169515625,5
2022-01-13,0,5.981294579595312,9
2022-01-14,0,-0.2916870337171875,5
2022-01-15,0,-0.829369969814062,1
2022-01-16,0,-0.5218922476437493,20
2022-01-17,0,4.629136838750001,14
2022-01-18,0,3.2004509076406253,10
2022-01-19,0,2.123783774451563,13
2022-01-20,0,3.213643991064062,20
2022-01-21,0,3.1276213499609375,8
2022-01-22,0,-0.8970940307671873,19
2022-01-23,0,-0.494663415035937,13
2022-01-24,0,4.646883218750001,20
2022-01-25,0,5.221180612421875,17
2022-01-26,0,4.9443363465078125,22
2022-01-27,0,2.8281768158093747,25
2022-01-28,0,0.9478429053296875,21
2022-01-29,0,-0.8274274122062496,5
2022-01-30,0,-0.5240809726437491,13
2022-01-31,0,5.629208943750001,18
2022-02-01,3,5.100832182421875,13
2022-02-02,0,5.8791521317265625,15
2022-02-03,0,1.6804981966906245,25
2022-02-04,0,-0.020828759778124928,7
2022-02-05,0,-0.7079075361749995,7
2022-02-06,0,-0.46760778007187404,0
2022-02-07,2,1.651160997500001,11
2022-02-08,0,4.514881106906251,14
2022-02-09,0,3.1689383454406252,3
2022-02-10,0,1.1541855924249997,6
2022-02-11,1,4.337584396951563,5
2022-02-12,0,-0.8743108706234375,7
2022-02-13,0,-0.47995662753593704,3
2022-02-14,0,1.6637105450000005,6
2022-02-15,0,2.5372008427187507,25
2022-02-16,0,1.3940781698500002,17
2022-02-17,0,4.439735030257813,5
2022-02-18,0,1.174974482575,1
2022-02-19,0,-0.6408602701499999,2
2022-02-20,7,-0.3904935376796872,15
2022-02-21,3,5.745780570000001,7
2022-02-22,2,1.1993495102187501,5
2022-02-23,0,4.364266400881251,7
2022-02-24,0,2.112874310110937,13
2022-02-25,0,1.2071983373500004,12
2022-02-26,0,-0.6766563887109373,1
2022-02-27,0,-0.40681578007187436,0
2022-02-28,1,2.7075425475000006,16
2022-03-01,0,2.4649174169062507,9
2022-03-02,0,2.368282240003125,22
2022-03-03,0,3.3552556161,2
2022-03-04,0,0.22462590577343744,0
2022-03-05,2,0.4798290663609377,7
2022-03-06,2,-0.42562149257187465,10
2022-03-07,0,6.722732623750001,11
2022-03-08,0,7.084898434703125,8
2022-03-09,0,3.708390114595312,6
2022-03-10,1,-0.18705504415468788,55
2022-03-11,0,2.214636981579688,19
2022-03-12,0,0.18012533059062574,9
2022-03-13,2,-0.6058477530515616,0
2022-03-14,0,1.5769029237140633,12
2022-03-15,0,4.4718579263906255,19
2022-03-16,0,8.137018284373438,9
2022-03-17,0,2.6362711308843743,10
2022-03-18,0,-0.08683067694531288,6
2022-03-19,0,1.2797565121671877,12
2022-03-20,1,-0.6866351456234367,3
2022-03-21,2,12.557402942464064,38
2022-03-22,3,7.364807280218749,17
2022-03-23,0,8.2404276636,20
2022-03-24,0,2.0066206226796868,2
2022-03-25,0,3.473606853864063,7
2022-03-26,1,-1.4258313656593742,2
2022-03-27,2,-0.889317391067186,20
2022-03-28,0,7.334208631178127,18
2022-03-29,14,11.676369039546875,11
2022-03-30,6,6.900531337392187,15
2022-03-31,1,1.005542349520312,8
2022-04-01,0,0.5814697413281253,3
2022-04-02,0,-1.0704834752218737,4
2022-04-03,0,-0.7182706126796857,9
2022-04-04,0,16.4761060175,23
2022-04-05,0,2.8711020821249997,8
2022-04-06,0,2.371858306759375,11
2022-04-07,0,2.6355949861421872,7
2022-04-08,0,0.7997554956296886,7
2022-04-09,0,-0.9156304336390615,23
2022-04-10,2,-0.6077856675718739,25
2022-04-11,0,7.541480101250001,18
2022-04-12,1,10.823430147484375,20
2022-04-13,1,6.120121606810937,15
2022-04-14,1,3.2810336752578118,44
2022-04-15,0,3.53864394529375,32
2022-04-16,0,-1.3826160361749995,29
2022-04-17,0,-0.8482948050718737,15
2022-04-18,2,6.378559780000002,8
2022-04-19,0,-0.1988632091249991,3
2022-04-20,0,3.167846041025001,16
2022-04-21,1,3.0568887216937504,20
2022-04-22,0,5.0763616333843755,5
2022-04-23,0,-1.1173155777578125,3
2022-04-24,0,-0.616895100179687,0
2022-04-25,0,4.591065113750001,3
2022-04-26,0,1.1808380626406256,9
2022-04-27,4,4.312916384232813,11
2022-04-28,2,3.0974810354015623,23
2022-04-29,0,2.0762566602937502,11
2022-04-30,0,0.16458596176250018,0
