,microsoft/vscode,nteract/nteract,nteract/hydrogen
2015-11-13,10,0,0.0
2015-11-14,3,0,0.0
2015-11-15,7,0,0.0
2015-11-16,25,0,0.0
2015-11-17,11,0,0.0
2015-11-18,28,0,2.0
2015-11-19,41,0,-0.20000000000000018
2015-11-20,62,0,1.91
2015-11-21,8,0,-0.25700000000000023
2015-11-22,29,0,-0.13132499999999991
2015-11-23,79,0,-0.08923349999999994
2015-11-24,57,0,-0.06764902499999977
2015-11-25,56,0,-0.05442089249999983
2015-11-26,58,0,0.9545393489687501
2015-11-27,59,0,-0.138985097571875
2015-11-28,1,0,-0.06413662603124998
2015-11-29,4,0,-0.04529770507187498
2015-11-30,18,0,0.9793375000000001
2015-12-01,59,0,-0.11611675000000003
2015-12-02,74,0,-0.05816201249999999
2015-12-03,54,0,-0.03959369624999999
2015-12-04,33,0,-0.0302308130156249
2015-12-05,4,0,0.9754843974640626
2015-12-06,1,0,0.8868379875
2015-12-07,65,0,-0.15609369625000008
2015-12-08,83,0,2.916931686984375
2015-12-09,55,0,0.6424386474640623
2015-12-10,48,0,-0.27177925
2015-12-11,50,0,-0.1597787625
2015-12-12,4,0,-0.11474320874999973
2015-12-13,3,0,-0.08967475926562471
2015-12-14,11,0,0.9264300469484377
2015-12-15,39,0,0.8451580462140625
2015-12-16,31,0,1.815201364703125
2015-12-17,28,0,-0.30826487062343766
2015-12-18,32,0,-0.1475613525359375
2015-12-19,4,0,-0.09377924999999993
2015-12-20,5,0,-0.07060376249999975
2015-12-21,44,0,-0.056489208749999825
2015-12-22,31,0,-0.046986034265624865
2015-12-23,20,0,-0.040154558051562386
2015-12-24,2,0,0.9724645214328126
2015-12-25,3,0,-0.11679770507187505
2015-12-26,11,0,-0.04500000000000003
2015-12-27,4,0,0.9715
2015-12-28,16,0,-0.1206625
2015-12-29,2,0,0.9388832500000001
2015-12-30,12,0,-0.14166201250000007
2015-12-31,6,0,-0.07675619624999992
2016-01-01,8,2,-0.054185063015624944
2016-01-02,14,8,-0.04222336503593736
2016-01-03,5,10,-0.027210446249999916
2016-01-04,57,1,-0.022730325515624934
2016-01-05,45,7,3.9805074512140624
2016-01-06,92,30,-0.40956831301562535
2016-01-07,28,8,-0.1883988525359376
2016-01-08,43,3,-0.11400000000000009
2016-01-09,6,10,-0.0826499999999997
2016-01-10,4,3,-0.06446699999999979
2016-01-11,56,0,-0.05264804999999984
2016-01-12,31,0,-0.04437478499999987
2016-01-13,46,0,-0.0382732520624999
2016-01-14,40,0,-0.033595410143749914
2016-01-15,32,0,0.0
2016-01-16,0,4,0.0
2016-01-17,2,0,0.0
