,neovim/neovim,microsoft/vscode,pulsar-edit/pulsar
2019-11-13,6,81,1
2019-11-14,6,97,0
2019-11-15,0,106,2
2019-11-16,12,13,0
2019-11-17,5,13,0
2019-11-18,7,100,4
2019-11-19,1,77,0
2019-11-20,11,55,0
2019-11-21,22,70,0
2019-11-22,4,57,1
2019-11-23,15,9,2
2019-11-24,9,9,0
2019-11-25,15,42,4
2019-11-26,7,43,4
2019-11-27,7,38,0
2019-11-28,10,32,1
2019-11-29,10,48,7
2019-11-30,6,9,0
2019-12-01,8,29,0
2019-12-02,12,71,1
2019-12-03,4,28,1
2019-12-04,3,62,3
2019-12-05,1,55,3
2019-12-06,1,30,5
2019-12-07,4,5,1
2019-12-08,1,3,0
2019-12-09,0,53,1
2019-12-10,3,64,1
2019-12-11,2,49,1
2019-12-12,7,56,1
2019-12-13,1,54,0
2019-12-14,0,9,0
2019-12-15,0,2,0
2019-12-16,4,54,3
2019-12-17,7,54,0
2019-12-18,3,77,4
2019-12-19,2,48,8
2019-12-20,5,31,3
2019-12-21,3,2,0
2019-12-22,16,1,0
2019-12-23,9,19,0
2019-12-24,6,15,0
2019-12-25,3,2,0
2019-12-26,12,3,0
2019-12-27,1,6,0
2019-12-28,2,2,0
2019-12-29,13,2,0
2019-12-30,16,36,0
2019-12-31,8,31,0
2020-01-01,16,0,3
2020-01-02,7,19,0
2020-01-03,6,16,0
2020-01-04,5,1,0
2020-01-05,3,5,0
2020-01-06,3,58,0
2020-01-07,3,61,7
2020-01-08,7,51,2
2020-01-09,4,59,2
2020-01-10,0,77,1
2020-01-11,2,11,0
2020-01-12,2,13,0
2020-01-13,2,80,0
2020-01-14,3,67,0
2020-01-15,2,75,0
2020-01-16,4,61,0
2020-01-17,14,68,0
2020-01-18,7,8,0
2020-01-19,13,18,0
2020-01-20,5,41,0
2020-01-21,13,88,1
2020-01-22,3,61,0
2020-01-23,2,68,5
2020-01-24,3,58,13
2020-01-25,1,6,2
2020-01-26,18,20,0
2020-01-27,13,94,1
2020-01-28,7,29,0
2020-01-29,2,88,1
2020-01-30,6,49,2
2020-01-31,4,26,1
2020-02-01,2,4,0
2020-02-02,5,4,0
2020-02-03,11,41,0
2020-02-04,1,106,1
2020-02-05,1,110,1
2020-02-06,1,101,1
2020-02-07,9,108,3
2020-02-08,0,9,1
2020-02-09,5,9,0
2020-02-10,9,89,7
2020-02-11,2,83,1
2020-02-12,13,60,1
2020-02-13,22,75,5
2020-02-14,7,59,2
2020-02-15,1,13,0
2020-02-16,12,2,0
2020-02-17,11,66,2
2020-02-18,7,61,0
2020-02-19,5,88,0
2020-02-20,1,102,4
2020-02-21,5,77,0
2020-02-22,2,14,0
2020-02-23,9,31,0
2020-02-24,1,25,1
2020-02-25,1,35,7
2020-02-26,6,88,5
2020-02-27,6,71,5
2020-02-28,1,59,5
2020-02-29,4,4,1
2020-03-01,11,7,0
2020-03-02,20,72,1
2020-03-03,1,52,2
2020-03-04,0,86,3
2020-03-05,0,70,0
2020-03-06,1,62,1
2020-03-07,0,19,0
2020-03-08,6,8,0
2020-03-09,0,65,0
2020-03-10,0,55,1
2020-03-11,0,41,5
2020-03-12,2,58,0
2020-03-13,0,54,0
2020-03-14,0,9,0
2020-03-15,0,5,0
2020-03-16,1,43,1
2020-03-17,1,54,0
2020-03-18,0,58,0
2020-03-19,4,54,0
2020-03-20,0,36,0
2020-03-21,1,8,1
2020-03-22,2,3,0
2020-03-23,2,53,1
2020-03-24,0,72,0
2020-03-25,0,74,0
2020-03-26,0,89,3
2020-03-27,0,113,0
2020-03-28,2,21,2
