,oven-sh/bun,denoland/deno,nodejs/node
2022-01-22,11,1,6
2022-01-23,25,1,19
2022-01-24,16,9,9
2022-01-25,5,3,8
2022-01-26,6,2,1
2022-01-27,5,4,6
2022-01-28,9,0,7
2022-01-29,3,1,9
2022-01-30,15,1,5
2022-01-31,1,8,8
2022-02-01,6,2,7
2022-02-02,8,7,22
2022-02-03,6,1,13
2022-02-04,20,6,4
2022-02-05,4,3,20
2022-02-06,13,3,11
2022-02-07,2,2,5
2022-02-08,14,1,7
2022-02-09,1,2,2
2022-02-10,7,0,7
2022-02-11,15,2,19
2022-02-12,31,1,5
2022-02-13,8,2,4
2022-02-14,11,0,10
2022-02-15,8,7,13
2022-02-16,20,15,8
2022-02-17,6,3,11
2022-02-18,16,1,11
2022-02-19,6,2,6
2022-02-20,0,0,5
2022-02-21,10,1,5
2022-02-22,8,2,8
2022-02-23,0,3,11
2022-02-24,12,5,3
2022-02-25,26,6,7
2022-02-26,0,1,7
2022-02-27,22,3,14
2022-02-28,3,0,2
2022-03-01,3,3,4
2022-03-02,16,5,5
2022-03-03,16,3,4
2022-03-04,10,6,2
2022-03-05,5,2,2
2022-03-06,2,1,7
2022-03-07,8,7,12
2022-03-08,4,9,10
2022-03-09,13,3,8
2022-03-10,8,2,8
2022-03-11,3,12,4
2022-03-12,7,2,0
2022-03-13,4,2,3
2022-03-14,6,6,16
2022-03-15,28,8,3
2022-03-16,19,12,4
2022-03-17,7,6,9
2022-03-18,19,3,9
2022-03-19,20,5,4
2022-03-20,7,5,4
2022-03-21,2,4,10
2022-03-22,4,12,3
2022-03-23,3,6,9
2022-03-24,5,6,1
2022-03-25,10,6,0
2022-03-26,11,0,3
2022-03-27,9,1,7
2022-03-28,11,6,7
2022-03-29,2,8,4
2022-03-30,1,3,4
2022-03-31,19,3,11
2022-04-01,2,5,6
2022-04-02,24,4,9
2022-04-03,5,2,20
2022-04-04,44,6,10
2022-04-05,16,0,5
2022-04-06,10,2,2
2022-04-07,13,2,7
2022-04-08,35,4,9
2022-04-09,3,0,6
2022-04-10,15,1,9
2022-04-11,11,3,4
2022-04-12,7,1,30
2022-04-13,5,6,8
2022-04-14,9,1,12
2022-04-15,2,3,1
2022-04-16,3,5,2
