,seaweedfs/seaweedfs,ceph/ceph,minio/minio
2022-11-30,2,24.0,2.0
2022-12-01,1,29.0,3.6
2022-12-02,0,17.0,4.04
2022-12-03,0,17.0,-1.4160000000000001
2022-12-04,0,35.0,2.3407999999999993
2022-12-05,3,25.0,4.974527999999999
2022-12-06,2,16.0,5.2489984
2022-12-07,1,42.0,2.73275136
2022-12-08,1,25.0,2.8525736959999994
2022-12-09,0,46.0,-0.1813311488
2022-12-10,0,18.0,-0.6115183616000002
2022-12-11,3,5.0,-1.1824517120000004
2022-12-12,3,36.0,4.240594944
2022-12-13,1,30.0,5.412754636800001
2022-12-14,0,33.0,1.7530203136000004
2022-12-15,0,28.0,2.0897487872
2022-12-16,0,30.0,-0.812567552
2022-12-17,1,1.0,-1.1829288960000004
2022-12-18,1,6.0,2.2733775871999997
2022-12-19,4,19.0,2.8753514496
2022-12-20,1,21.0,0.5521152
2022-12-21,7,15.0,-0.20201881599999982
2022-12-22,0,23.0,5.1142280192000005
2022-12-23,1,7.0,3.2886370304000003
2022-12-24,0,4.0,0.17710448639999976
2022-12-25,0,15.0,-1.3176367104000004
2022-12-26,1,5.0,0.22113638399999969
2022-12-27,0,5.0,0.2335428608000002
2022-12-28,1,2.0,-0.6930323455999999
2022-12-29,1,4.0,2.5778972672
2022-12-30,0,2.0,1.0941131776000004
2022-12-31,0,2.0,0.12025589760000033
2023-01-01,3,2.0,0.358913024
2023-01-02,0,4.0,1.4609057792
2023-01-03,5,11.0,2.296877568
2023-01-04,3,10.0,4.0191845376
2023-01-05,3,12.0,0.5007568895999999
2023-01-06,2,13.0,1.8658186239999996
2023-01-07,0,4.0,-1.2554109952
2023-01-08,0,5.0,0.3222812671999997
2023-01-09,4,23.0,-0.6608769024000001
2023-01-10,10,14.0,1.5739590656
2023-01-11,1,29.0,0.2817989632000002
2023-01-12,0,32.0,6.4019135488000005
2023-01-13,2,31.0,2.2565616640000004
2023-01-14,2,0.0,-1.5637306368000001
2023-01-15,0,4.0,-0.7950067712000004
2023-01-16,7,10.0,3.492018688
2023-01-17,4,16.0,-0.17990359039999992
2023-01-18,0,7.0,1.1891522559999999
2023-01-19,0,20.0,3.0884713471999996
2023-01-20,1,13.0,2.6767097856000004
2023-01-21,0,4.0,2.5034196992
2023-01-22,0,10.0,-1.5363286016000002
2023-01-23,1,23.0,3.2143923199999995
2023-01-24,0,17.0,2.656120832
2023-01-25,0,32.0,4.4636222464
2023-01-26,0,16.0,2.9951891456
2023-01-27,0,8.0,1.9616883712000002
2023-01-28,1,8.0,-1.8996791296000002
2023-01-29,1,7.0,-1.0528874496000002
2023-01-30,3,15.0,1.2874845183999999
2023-01-31,1,10.0,3.090089472
2023-02-01,5,15.0,0.6267234304000002
2023-02-02,1,15.0,1.8814475264000001
2023-02-03,0,3.0,0.7663384576000003
2023-02-04,0,0.0,-0.041369599999999895
2023-02-05,0,2.0,0.2359209983999998
2023-02-06,3,5.0,6.356559359999999
2023-02-07,6,21.0,3.1908520960000004
2023-02-08,0,50.0,6.1296986112
2023-02-09,2,15.0,3.4345734144
2023-02-10,7,8.0,4.5368799232
2023-02-11,0,1.0,-1.7142909952000003
2023-02-12,0,8.0,-1.6437347328000007
2023-02-13,0,25.0,5.930623897599999
2023-02-14,0,43.0,1.8023366656000004
2023-02-15,1,22.0,0.010437427200000071
2023-02-16,0,26.0,3.496453632
2023-02-17,3,20.0,5.087803084800001
2023-02-18,4,9.0,-0.40160880639999963
2023-02-19,2,7.0,-1.6140187648000004
2023-02-20,2,31.0,2.0722564095999996
2023-02-21,3,15.0,-0.2681584639999999
2023-02-22,5,41.0,11.0332142592
2023-02-23,0,33.0,-1.9813600255999995
2023-02-24,0,12.0,1.4349780991999994
2023-02-25,1,19.0,3.436877824
2023-02-26,0,6.0,-0.8940832767999998
2023-02-27,0,33.0,7.8198203392
2023-02-28,3,84.0,-0.551571456
2023-03-01,0,30.0,-0.6879532032000006
2023-03-02,3,25.0,0.7833849856000001
2023-03-03,0,19.0,1.7791199232000001
2023-03-04,0,2.0,0.7342811135999998
2023-03-05,0,4.0,-0.1308045311999999
2023-03-06,0,22.0,2.1333314559999996
2023-03-07,1,53.0,1.8758870016000004
2023-03-08,4,33.0,1.7694081024000003
2023-03-09,1,19.0,1.7968617472
2023-03-10,0,27.0,0.7567814656
2023-03-11,0,8.0,-0.0837920768
2023-03-12,0,13.0,0.17419540479999995
2023-03-13,2,32.0,2.2951990272
2023-03-14,1,22.0,-0.0395070463999998
2023-03-15,4,32.0,4.2346902528
2023-03-16,2,12.0,1.5446550528000003
2023-03-17,1,10.0,1.6908105728
2023-03-18,0,0.0,-0.29374699520000025
2023-03-19,0,4.0,-0.8950755328000003
2023-03-20,7,3.0,6.449453977599999
2023-03-21,1,17.0,3.1998887936000004
2023-03-22,1,18.0,2.1320762367999997
2023-03-23,0,16.0,2.2419895295999996
2023-03-24,0,18.0,1.228081152
2023-03-25,1,3.0,-0.5562499072000002
2023-03-26,4,2.0,-0.08887736320000039
2023-03-27,0,20.0,1.1063556095999996
2023-03-28,0,12.0,0.001993216000000242
2023-03-29,1,40.0,2.1731459072000003
2023-03-30,0,44.0,3.9159731200000003
2023-03-31,1,27.0,4.4406267904000005
2023-04-01,0,1.0,-1.9590680576
2023-04-02,0,2.0,-0.9559160832000005
2023-04-03,2,17.0,0.3862526975999998
2023-04-04,1,19.0,6.3512621056
2023-04-05,1,22.0,1.1745334272
2023-04-06,0,21.0,6.5291611136
2023-04-07,0,7.0,8.5794930688
2023-04-08,0,4.0,-3.3934090239999994
2023-04-09,0,9.0,-0.6387969024000011
2023-04-10,2,21.0,-0.23333632000000049
2023-04-11,1,24.0,0.9519508479999996
2023-04-12,6,25.0,4.8637101056
2023-04-13,0,6.0,3.0678208512000005
2023-04-14,1,14.0,1.0261603328000002
2023-04-15,0,4.0,2.3408155648000006
2023-04-16,1,7.0,-1.7071903744
2023-04-17,1,16.0,3.1426119679999998
2023-04-18,5,15.0,0.5962366976
2023-04-19,0,9.0,0.8240429055999998
2023-04-20,1,31.0,-0.11132897279999998
2023-04-21,2,3.0,3.1303499776000003
2023-04-22,1,3.0,-1.3185607679999998
