,hyperledger/besu,NethermindEth/nethermind,ethereum/go-ethereum
2018-11-09,1.0,23,2
2018-11-10,-0.3999999999999999,19,0
2018-11-11,2.88,4,0
2018-11-12,1.7360000000000002,33,3
2018-11-13,3.3984000000000005,17,4
2018-11-14,1.4180480000000006,8,8
2018-11-15,-0.5397631999999999,30,8
2018-11-16,0.16697344000000003,14,5
2018-11-17,-1.677901312,2,0
2018-11-18,2.1790405631999996,10,1
2018-11-19,7.253597184,28,3
2018-11-20,1.629328793600001,6,6
2018-11-21,2.0345143296000003,0,5
2018-11-22,-1.0280811519999995,39,5
2018-11-23,-0.8865011711999999,13,3
2018-11-24,-2.1879653376,15,0
2018-11-25,0.8513112063999997,0,0
2018-11-26,0.4189066239999999,16,15
2018-11-27,-0.6358544384,25,3
2018-11-28,2.7868653568,1,8
2018-11-29,4.800038707200001,12,9
2018-11-30,1.3538988032000008,9,2
2018-12-01,-2.3121362943999997,8,1
2018-12-02,-0.7526158336000002,4,2
2018-12-03,3.658976256,1,4
2018-12-04,0.2322049023999999,27,4
2018-12-05,-1.3303366656,2,1
2018-12-06,2.5316170752000002,8,1
2018-12-07,4.5779493888000005,13,3
2018-12-08,-1.8252594175999994,0,0
2018-12-09,-2.239789056,1,0
2018-12-10,5.9269517312,0,17
2018-12-11,-0.5056595967999997,0,7
2018-12-12,1.44745472,0,2
2018-12-13,1.2443211776000003,9,3
2018-12-14,1.1888586752,10,7
2018-12-15,-2.8644877311999997,2,0
2018-12-16,-0.2728969216000001,0,0
2018-12-17,3.8347121663999997,14,3
2018-12-18,1.3407375360000002,0,4
2018-12-19,3.3158027264000003,0,0
2018-12-20,3.494047641600001,0,2
2018-12-21,-0.19924971519999968,0,3
2018-12-22,-3.2749386752,0,4
2018-12-23,-1.4817871872000004,0,1
2018-12-24,-0.9257733120000005,0,0
2018-12-25,-0.6759021568000003,0,0
2018-12-26,-0.5153873919999999,0,0
2018-12-27,0.6374263808,0,0
2018-12-28,-0.6563611647999998,0,1
2018-12-29,-0.27020994559999995,0,2
2018-12-30,-0.11519262719999998,6,0
2018-12-31,0.9583999999999999,5,0
2019-01-01,-0.42995199999999995,2,0
2019-01-02,0.8570367999999999,8,2
2019-01-03,0.5176294400000001,4,6
2019-01-04,2.4232442880000002,7,5
2019-01-05,-0.42675015679999984,10,2
2019-01-06,0.11143680000000011,3,1
2019-01-07,6.1980774400000005,2,6
2019-01-08,1.8231290880000004,0,1
2019-01-09,2.9104120832000007,0,1
2019-01-10,0.3780321280000005,1,4
2019-01-11,2.9328192511999998,0,5
2019-01-12,-2.7812630528,0,0
2019-01-13,-1.0080231424000003,0,0
2019-01-14,13.4785242112,3,0
2019-01-15,6.098071859200002,15,7
2019-01-16,0.34724618240000105,1,4
2019-01-17,3.8422615040000005,0,7
2019-01-18,-4.7165503488,2,3
2019-01-19,-2.685540659200001,0,1
2019-01-20,1.5430607871999995,0,0
2019-01-21,5.8943501311999995,0,2
2019-01-22,5.810623283200001,0,2
2019-01-23,3.3969029120000016,0,4
2019-01-24,0.39039426560000123,4,14
2019-01-25,0.4881453055999998,14,2
2019-01-26,-2.8756843520000004,5,2
2019-01-27,-3.034375065600001,0,1
2019-01-28,4.2939287552,1,2
2019-01-29,19.3934338048,3,8
2019-01-30,9.190743756800003,0,7
2019-01-31,7.237386035200002,4,1
2019-02-01,-1.1118213119999982,0,2
2019-02-02,-9.3137744896,8,0
2019-02-03,-1.3017755648000016,0,1
2019-02-04,9.0425867264,0,7
2019-02-05,0.44059084799999937,6,4
2019-02-06,4.4894456832000005,0,5
2019-02-07,1.4840923136000015,5,17
2019-02-08,2.1913461760000006,2,6
2019-02-09,-5.584943411199999,6,0
2019-02-10,-1.2476290048000007,5,0
2019-02-11,7.332137983999999,7,0
2019-02-12,6.4170535936,7,10
2019-02-13,2.8644653056000013,0,3
2019-02-14,1.1657460736000012,0,13
2019-02-15,-1.1093833728,0,2
2019-02-16,-4.714601779200001,0,1
2019-02-17,-2.2841362432000007,0,1
2019-02-18,12.5453064192,9,15
2019-02-19,20.3251518464,0,15
2019-02-20,5.692978688000004,0,6
2019-02-21,-1.3029154815999977,1,7
2019-02-22,-6.331480063999999,0,3
2019-02-23,-3.456691814400001,1,1
2019-02-24,-2.8485795840000008,0,2
2019-02-25,7.2641177599999995,0,5
2019-02-26,14.153242112000001,6,9
2019-02-27,-0.6270702591999981,0,4
2019-02-28,1.9540214784000014,0,9
2019-03-01,-5.4368678911999995,14,6
2019-03-02,-3.017471180800001,0,2
2019-03-03,-1.6117484544000011,1,0
2019-03-04,12.952758374399998,2,4
2019-03-05,5.6718815232000015,7,2
2019-03-06,-2.009937407999999,3,4
2019-03-07,-0.6287042559999989,8,11
2019-03-08,-2.5451950080000003,0,6
2019-03-09,-2.973706752000001,0,0
2019-03-10,0.39745341439999926,1,0
2019-03-11,0.08225413120000002,3,1
2019-03-12,5.110309683200001,2,6
2019-03-13,1.1580600320000007,6,4
2019-03-14,3.5537104896000002,1,7
2019-03-15,-2.1804126207999994,0,4
2019-03-16,-2.451332608,1,1
2019-03-17,-1.2139278336000003,15,0
2019-03-18,6.203245055999999,9,6
2019-03-19,7.6078183424,12,0
2019-03-20,4.315814502400001,2,3
2019-03-21,4.892114022400001,2,2
2019-03-22,-0.8020218879999987,2,4
2019-03-23,-4.1471625216,24,0
2019-03-24,-2.7558107136000003,10,0
2019-03-25,1.3576908799999994,0,7
2019-03-26,4.619129856,2,3
2019-03-27,7.9260872704,5,7
2019-03-28,-1.4941442047999987,0,2
2019-03-29,-1.44068096,11,2
2019-03-30,-3.1991405568,1,0
2019-03-31,0.45030174719999927,1,0
2019-04-01,5.2119237632,10,5
2019-04-02,2.2358205440000005,5,9
2019-04-03,-0.9376031743999995,7,1
2019-04-04,7.1166019584,0,7
2019-04-05,1.620427878400001,0,7
2019-04-06,-4.806648319999999,9,1
2019-04-07,1.9796100096,16,0
2019-04-08,0.14945945599999977,12,47
2019-04-09,3.4184807424,11,9
2019-04-10,6.309070950400001,4,8
2019-04-11,2.4548959232000005,27,4
2019-04-12,0.6528464896000008,12,3
2019-04-13,-3.6653803519999997,5,0
2019-04-14,-1.4596709376000008,2,0
2019-04-15,6.2101662719999995,6,2
2019-04-16,1.6902688768000003,8,6
2019-04-17,7.857948057600001,20,4
2019-04-18,-5.616641740799999,12,2
2019-04-19,-2.969165824,15,1
2019-04-20,-0.6118692864000006,5,0
2019-04-21,-0.4369328128000005,12,0
2019-04-22,0.7662784511999998,0,0
2019-04-23,5.4662223872,14,1
2019-04-24,3.4176705536000007,20,0
2019-04-25,-2.116580044799999,10,6
2019-04-26,2.6071512064,8,2
2019-04-27,-0.09323591679999987,14,0
2019-04-28,1.4916833279999997,46,0
2019-04-29,12.201698611200001,15,0
2019-04-30,-3.2723499007999983,8,5
2019-05-01,2.7632333824,7,0
2019-05-02,4.1565097984,3,2
2019-05-03,-1.7204489216,0,0
2019-05-04,-3.9920193536,0,1
2019-05-05,-1.9943961600000004,24,0
2019-05-06,1.6935074815999995,8,0
2019-05-07,1.8512790527999998,5,5
2019-05-08,11.33233408,7,7
2019-05-09,-1.6864704511999982,11,0
2019-05-10,-0.3602707455999994,8,16
2019-05-11,-3.5280622592,1,1
2019-05-12,-0.6222902272000008,0,0
2019-05-13,6.56970752,18,11
2019-05-14,0.9234058240000005,0,2
2019-05-15,-0.6148291583999992,1,5
2019-05-16,1.1993218048000003,0,15
2019-05-17,4.0288130048,0,4
2019-05-18,-3.067192832,0,0
2019-05-19,-1.0238287872000003,0,0
2019-05-20,3.498807808,0,2
2019-05-21,2.1102057472,4,1
2019-05-22,8.7596077056,0,0
2019-05-23,-2.135234559999999,106,0
2019-05-24,-0.8485264383999995,11,0
2019-05-25,-3.0043763712000002,12,3
2019-05-26,0.4971106303999995,0,2
2019-05-27,0.24755333119999978,7,13
2019-05-28,4.2594040832,10,4
2019-05-29,0.6900751360000008,10,0
2019-05-30,-0.9194311679999996,10,2
2019-05-31,2.9235835904000003,10,3
2019-06-01,-1.9480901631999998,15,0
2019-06-02,-1.5951739904000002,31,0
2019-06-03,2.1521602559999997,4,4
2019-06-04,0.2101121024000001,9,5
2019-06-05,0.4127007744000002,6,5
2019-06-06,9.4490790912,14,4
2019-06-07,-2.0891200511999983,1,7
2019-06-08,-1.9408014336,2,1
2019-06-09,-1.7551400959999999,3,0
2019-06-10,5.0566597632,27,1
2019-06-11,4.953593344,15,5
2019-06-12,-1.4094982143999992,14,8
2019-06-13,1.0991745024000004,9,3
2019-06-14,3.0080159744,12,0
2019-06-15,-3.7891294207999997,6,0
2019-06-16,-1.5317453824000002,0,0
2019-06-17,0.053016883199999754,5,2
2019-06-18,2.923803648,9,4
2019-06-19,1.7552888832000004,12,2
2019-06-20,7.496886169600001,3,5
2019-06-21,0.013159321600000773,20,2
2019-06-22,-3.7944788991999996,4,0
2019-06-23,-1.6259601408000002,3,0
2019-06-24,0.03396863999999944,6,5
2019-06-25,3.911989248,19,2
2019-06-26,0.35370475520000033,18,1
2019-06-27,3.7256629248000004,8,2
2019-06-28,-1.4162025471999993,15,1
