,seaweedfs/seaweedfs,ceph/ceph,minio/minio
2018-11-30,0.0,47.0,4.0
2018-12-01,0.0,9.0,0.5999999999999996
2018-12-02,1.0,13.0,-0.28000000000000025
2018-12-03,7.9,20.0,1.841
2018-12-04,9.155,30.0,1.68885
2018-12-05,3.6114999999999986,38.0,5.6248705
2018-12-06,2.801337499999999,73.0,2.1842352
2018-12-07,3.9085832499999995,36.0,0.2741382024999998
2018-12-08,0.8287789875000005,8.0,-0.5289254483124999
2018-12-09,5.0801302037500005,4.0,-0.35619624815937434
2018-12-10,-1.2256717580156244,35.0,0.7559017299640631
2018-12-11,3.2435281183390634,114.0,0.7106911564687505
2018-12-12,-0.9638992316937494,33.0,5.696900703896875
2018-12-13,-0.578223437937499,46.0,1.2058493155843748
2018-12-14,0.6272394790078132,20.0,5.3906457494875
2018-12-15,1.6347535572781258,1.0,1.067455879376562
2018-12-16,1.5628399337890628,3.0,-0.6886526150359373
2018-12-17,8.554644366834376,33.0,-0.42328120874999964
2018-12-18,1.8375695997843744,63.0,6.687157415734376
2018-12-19,1.1422849979374998,27.0,7.051121131948438
2018-12-20,-0.71181592264375,38.0,0.6857983018703122
2018-12-21,2.568886278750001,75.0,-0.9219159437468751
2018-12-22,7.3778820194843755,13.0,0.4409675243343756
2018-12-23,-0.1928562335671875,7.0,1.495353008753126
2018-12-24,0.2470028651468752,7.0,-0.5241907925718743
2018-12-25,1.4024948640375003,2.0,-0.3336854737499994
2018-12-26,1.3863677456296883,4.0,0.7402857138906256
2018-12-27,12.448084278860938,1.0,2.685032385623438
2018-12-28,5.360845856178124,1.0,1.5232770411812502
2018-12-29,6.469941728453124,2.0,1.5822845736781248
2018-12-30,1.314942729517187,3.0,-0.42791820551562515
2018-12-31,3.7254771454468756,8.0,0.7473602714328127
2019-01-01,1.716366166948438,17.0,-0.2766349675718748
2019-01-02,6.890553716432814,36.0,0.8308617662500004
2019-01-03,-1.5407079698531243,109.0,-0.2299069267656248
2019-01-04,1.0786995019750012,105.0,0.8487222909171878
2019-01-05,2.1250298684234386,5.0,0.7888626738609377
2019-01-06,4.161920126873438,5.0,-0.21475884360312492
2019-01-07,0.9882157219156253,18.0,0.882491848678125
2019-01-08,0.23655968856406284,38.0,1.828107174484375
2019-01-09,2.413830228273438,38.0,3.6987282012140623
2019-01-10,6.318270163267188,33.0,2.4426529244843747
2019-01-11,-0.11427300028750009,54.0,0.40968293871406225
